0	Index      	Bounty	 *	Score 	Summary	Detail	
1	65141 11333	3	 * 	286.12	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR|1ASPD	1ASPD|2aDMG|3DUST|4TLV|56aVULN|7DUR|8aCDMG|9RCR|aBPWR
2	13465 22642	5	 * 	281.60	DCR|4VULN|3DUR|1TLV|1CDMG	1LWND|2MBVNT|356DUR|4567VULN|56BPWR|8RCR|9TLV|aCDMG
3	61442 32312	6	 * 	280.27	DCR|3VULN|3DUR|2ASPD|1TLV|1CDMG	1aASPD|2CDMG|37aVULN|4FEWX|5TLV|6RCR|89aDUR|aBPWR
4	61432 32312	6	   	280.17	DCR|3VULN|3DUR|2ASPD|1TLV|1CDMG	1aASPD|2CDMG|37aVULN|4DUST|5TLV|6RCR|89aDUR|aBPWR
5	61452 32312	6	   	279.28	DCR|4VULN|2DUR|1TLV|1CDMG|1ASPD	1ASPD|2CDMG|379aVULN|48DUR|5TLV|6RCR
6	13465 22643	5	   	278.95	DCR|4VULN|3DUR|1TLV|1ASPD	1LWND|2MBVNT|356DUR|4567VULN|56BPWR|8RCR|9TLV|aASPD
7	61661 21312	7	 * 	278.04	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	1ASPD|2CDMG|35DMG|48DUR|69aVULN|7RCR
8	61661 21312	8	   	278.04	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	1ASPD|2CDMG|35DMG|48DUR|69aVULN|7RCR
9	45223 41232	5	 * 	277.29	DCR|4VULN|3DMG|1DUR	1RCVC|24ZMB|346DMG|46BPWR|567aVULN|8RCR|9DUR
10	43223 41232	5	   	277.09	DCR|4VULN|3DMG|1DUR|1NUKE	1RCVC|246DMG|3NUKE|46BPWR|567aVULN|8RCR|9DUR
11	13465 22644	5	   	276.26	DCR|4VULN|3DUR|1TLV	1LWND|2MBVNT|356DUR|4567VULN|56BPWR|8RCR|9TLV|aLIT
12	61115 32341	6	 * 	274.76	DCR|2VULN|3DUR|2DMG|2ASPD|1CDMG	1aASPD|2CDMG|38aDUR|4MLV|57VULN|6RCR|9aDMG|aBPWR
13	65133 13632	1	 * 	274.60	DCR|3VULN|2DMG|2DUR|2ASPD	18ASPD|29DUR|3BBNT|4TBNT|578VULN|68DMG|8BPWR|aRCR
14	65233 13632	1	   	274.60	DCR|3VULN|2DMG|2DUR|2ASPD	18ASPD|29DUR|3TBNT|4BBNT|578VULN|68DMG|8BPWR|aRCR
15	65133 41333	3	 * 	273.23	DCR|2VULN|2DMG|2ASPD|2TLV|2CDMG|1DUR	15ASPD|2aDMG|3DUST|45VULN|5aBPWR|6aTLV|7DUR|8aCDMG|9RCR
16	13465 22312	5	 * 	271.76	DCR|4VULN|3DUR|1DMG	1LWND|2MBVNT|356DUR|4567VULN|56BPWR|8DMG|9CGEN|aRCR
17	13465 22622	5	   	271.66	DCR|4VULN|3DUR|1DMG	1LWND|2MBVNT|356DUR|4567VULN|56BPWR|8RCR|9DUST|aDMG
18	61653 11312	7	   	270.66	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	14ASPD|2CDMG|3DMG|59aVULN|68DUR|7RCR
19	61653 11312	8	   	270.66	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	14ASPD|2CDMG|3DMG|59aVULN|68DUR|7RCR
20	61432 32362	6	 * 	270.66	DCR|3VULN|2DUR|2ASPD|2TLV|1CDMG	1aASPD|2CDMG|37aVULN|4DUST|59TLV|6RCR|8aDUR|aBPWR
21	65141 13333	3	   	269.87	DCR|3VULN|2DMG|2CDMG|1TLV|1ASPD	1ASPD|2aDMG|3DUST|4TLV|56aVULN|7FEWX|8aCDMG|9RCR|aBPWR
22	32161 61323	1	   	269.41	DCR|3VULN|3DMG|1DUR|2LIT	18LIT|238DMG|478VULN|5TBNT|6RPLT|8BPWR|9RCR|aDUR
23	13243 74115	4	 * 	269.24	DCR|3VULN|3DMG|2DUR	145LWND|2MBVNT|35aVULN|5aBPWR|69aDMG|7aDUR|8RCR
24	43223 41235	5	   	269.04	DCR|3VULN|3DMG|2DUR|1NUKE	1RCVC|246DMG|3NUKE|46BPWR|567VULN|8RCR|9aDUR
25	62641 11333	3	   	268.43	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR|1ASPD	1ASPD|2aDUST|3DMG|4TLV|56aVULN|7DUR|8aCDMG|9RCR|aBPWR
26	21132 32312	6	   	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1MLV|2CDMG|38DUR|479aVULN|5TLV|6RCR
27	21132 62312	5	   	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1MLV|2CDMG|38DUR|479aVULN|5TLV|6RCR
28	21151 62312	3	   	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1MLV|2CDMG|38DUR|4TLV|579aVULN|6RCR
29	21431 34622	4	   	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1MLV|2CDMG|345aVULN|67DUR|8RCR|9TLV
30	21452 32312	6	   	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1MLV|2CDMG|379aVULN|48DUR|5TLV|6RCR
31	21452 62312	5	   	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1MLV|2CDMG|379aVULN|48DUR|5TLV|6RCR
32	21551 62312	2	   	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1MLV|2CDMG|38DUR|4TLV|579aVULN|6RCR
33	13465 22641	5	   	267.95	DCR|4VULN|3DUR|1TLV	1LWND|2MBVNT|356DUR|4567VULN|56BPWR|8RCR|9TLV|aCGEN
34	13462 22647	4	   	267.85	DCR|4VULN|3DUR|1TLV	1LWND|2MBVNT|356DUR|467aVULN|6BPWR|8RCR|9TLV
35	13465 22624	5	   	267.85	DCR|4VULN|3DUR|1TLV	1LWND|2MBVNT|356DUR|4567VULN|56BPWR|8RCR|9DUST|aTLV
36	61433 31631	4	   	266.94	DCR|3VULN|2DUR|2ASPD|1TLV|1CDMG	19ASPD|2CDMG|359VULN|4DUST|6BEXP|79DUR|8RCR|9BPWR|aTLV
37	61452 32112	6	   	266.84	DCR|3VULN|2DUR|2ASPD|1TLV|1CDMG	1aASPD|2CDMG|37aVULN|49DUR|5TLV|6RCR|8aDUST|aBPWR
38	61452 32332	6	   	266.84	DCR|3VULN|2DUR|2ASPD|1TLV|1CDMG	1aASPD|2CDMG|37aVULN|48DUR|5TLV|6RCR|9aDUST|aBPWR
39	13243 74135	4	 * 	266.81	DCR|3VULN|3DUR|2DMG	145LWND|2MBVNT|35aVULN|5aBPWR|6aDMG|79aDUR|8RCR
40	61432 32336	6	   	266.70	DCR|3VULN|2DUR|2ASPD|1TLV|1CDMG|1SELL	1aASPD|2CDMG|37aVULN|4DUST|5TLV|6RCR|8aDUR|9SELL|aBPWR
41	66432 32312	6	   	266.28	DCR|3VULN|3DUR|2ASPD|1TLV|1SELL	1aASPD|2SELL|37aVULN|4DUST|5TLV|6RCR|89aDUR|aBPWR
42	21132 32316	6	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1MLV|2CDMG|38DUR|479VULN|5TLV|6RCR|aDMG
43	21132 62316	5	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1MLV|2CDMG|38DUR|479VULN|5TLV|6RCR|aDMG
44	21151 62316	3	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1MLV|2CDMG|38DUR|4TLV|579VULN|6RCR|aDMG
45	21452 32316	6	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1MLV|2CDMG|379VULN|48DUR|5TLV|6RCR|aDMG
46	13465 23442	5	   	265.37	DCR|3VULN|3DUR|1DMG|1TLV	1LWND|2MBVNT|356DUR|456VULN|56BPWR|7CGEN|8DMG|9TLV|aRCR
47	13465 22632	5	   	265.35	DCR|4VULN|3DUR|1CDMG	1LWND|2MBVNT|356DUR|4567VULN|56BPWR|8RCR|9MLV|aCDMG
48	13465 48432	6	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	1LWND|2MBVNT|359DUR|458VULN|5BPWR|6DMG|7TLV|aRCR
49	13465 22623	5	   	265.25	DCR|4VULN|3DUR|1CDMG	1LWND|2MBVNT|356DUR|4567VULN|56BPWR|8RCR|9DUST|aCDMG
50	32161 61322	1	   	264.16	DCR|3VULN|3DMG|2LIT|1ASPD	18LIT|238DMG|478VULN|5TBNT|6RPLT|8BPWR|9RCR|aASPD
51	61413 32312	6	   	264.02	DCR|3VULN|3DUR|2ASPD|1CDMG	1aASPD|2CDMG|37aVULN|4MLV|5FEWX|6RCR|89aDUR|aBPWR
52	61443 32312	6	   	264.02	DCR|3VULN|3DUR|2ASPD|1CDMG	1aASPD|2CDMG|37aVULN|4FEWX|5MLV|6RCR|89aDUR|aBPWR
53	34221 34315	4	 * 	263.98	DCR|3VULN|3DUR|2TLV|2LIT	18LIT|2LHND|389VULN|456DUR|78TLV|8BPWR|aRCR
54	61414 32312	6	   	263.92	DCR|3VULN|3DUR|2ASPD|1CDMG	1aASPD|2CDMG|37aVULN|4MLV|5DUST|6RCR|89aDUR|aBPWR
55	61433 32312	6	   	263.92	DCR|3VULN|3DUR|2ASPD|1CDMG	1aASPD|2CDMG|37aVULN|4DUST|5MLV|6RCR|89aDUR|aBPWR
