0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31432 34211	8	 * 	285.37	DCR|4VULN|3DUR|1TLV|1DMG|1SELL	18BEXP|2568VULN|358DUR|4SELL|58BPWR|7RCR|9DMG|aTLV
2	14661 31322	6	 * 	282.15	DCR|3VULN|3DUR|2DMG|1TLV	148DUR|25DMG|358ZMB|58BPWR|6RCR|78aVULN|9TLV
3	14661 32322	7	   	282.15	DCR|3VULN|3DUR|2DMG|1TLV	148DUR|25DMG|358ZMB|58BPWR|6RCR|78aVULN|9TLV
4	33551 52211	8	   	278.11	DCR|3VULN|3DUR|1TLV|1DMG|1CDMG	18BEXP|2CDMG|358VULN|478DUR|6RCR|8BPWR|9DMG|aTLV
5	11361 13342	6	 * 	277.65	DCR|5VULN|3DUR|3LIT	18aDUR|2458aVULN|38aLIT|6RCVC|7RCR|8aBPWR|9BELT
6	11361 23342	5	   	277.65	DCR|5VULN|3DUR|3LIT	18aDUR|2458aVULN|38aLIT|6DMSP|7RCR|8aBPWR|9BELT
7	13122 41142	8	   	277.55	DCR|5VULN|3DUR|3LIT	14aDUR|2BELT|36aLIT|5678aVULN|6aBPWR|9RCR
8	11361 22661	10	 * 	275.06	DCR|4VULN|2TLV|2DUR|2LIT	1aDUR|2459VULN|3aLIT|6aTLV|7MBVNT|8RCR|aBPWR
9	11361 13333	6	 * 	274.59	DCR|4VULN|2DUR|1DMG|2LIT|1CDMG	18DUR|2458VULN|38LIT|6RCVC|7RCR|8BPWR|9CDMG|aDMG
10	11361 23333	5	   	274.59	DCR|4VULN|2DUR|1DMG|2LIT|1CDMG	18DUR|2458VULN|38LIT|6DMSP|7RCR|8BPWR|9CDMG|aDMG
11	31432 34261	8	 * 	273.61	DCR|4VULN|3DUR|1TLV|1SELL	18BEXP|2568VULN|358DUR|4SELL|58BPWR|7RCR|9ASPD|aTLV
12	14327 32272	3	 * 	272.91	DCR|2VULN|3DMG|3DUR|1TLV|1NUKE	179DUR|279DMG|3RCVC|4MBVNT|5NUKE|6RCR|79BPWR|89VULN|aTLV
13	11361 13336	6	   	272.87	DCR|5VULN|2DUR|2LIT|1CDMG	18DUR|2458aVULN|38LIT|6RCVC|7RCR|8BPWR|9CDMG
14	11361 23336	5	   	272.87	DCR|5VULN|2DUR|2LIT|1CDMG	18DUR|2458aVULN|38LIT|6DMSP|7RCR|8BPWR|9CDMG
15	13463 12142	8	   	272.54	DCR|5VULN|3DUR|2LIT	15aDUR|2BELT|3567aVULN|4DMSP|5aBPWR|8aLIT|9RCR
16	13463 12332	9	   	272.54	DCR|5VULN|3DUR|2LIT	15aDUR|2BELT|3567aVULN|4DMSP|5aBPWR|8RCR|9aLIT
17	11132 34211	8	 * 	272.14	DCR|4VULN|2DUR|1TLV|1DMG|1SELL	18DUR|2568VULN|358BEXP|4SELL|58BPWR|7RCR|9DMG|aTLV
18	11361 47344	7	 * 	271.99	DCR|4VULN|2DUR|1TLV|3LIT	18DUR|2458VULN|378LIT|6MBVNT|8BPWR|9RCR|aTLV
19	14323 48318	3	 * 	271.60	DCR|3VULN|3DMG|3DUR	178DUR|278DMG|3RCVC|4MBVNT|578VULN|6RMIN|78BPWR|9BEXP|aRCR
20	14323 48334	3	   	271.60	DCR|3VULN|3DMG|3DUR	178DUR|278DMG|3RCVC|4MBVNT|578VULN|6RMIN|78BPWR|9DMSP|aRCR
21	14323 48364	3	   	271.60	DCR|3VULN|3DMG|3DUR	178DUR|278DMG|3RCVC|4MBVNT|578VULN|69RMIN|78BPWR|aRCR
22	16141 26643	10	   	271.50	DCR|3VULN|3DMG|3DUR	167DUR|2MBVNT|38FEWX|489DMG|568VULN|68BPWR|aRCR
23	11132 53584	9	   	271.46	DCR|3VULN|3DMG|3DUR|1SELL	19aDUR|25aVULN|359BEXP|4SELL|59aBPWR|6RCR|7MBVNT|89aDMG
24	33551 34233	8	   	271.24	DCR|5VULN|3DUR|1CDMG	18BEXP|2CDMG|35689VULN|48aDUR|7RCR|8BPWR
25	11241 12233	9	 * 	269.09	DCR|3VULN|3DUR|2TLV	178DUR|28aVULN|3ASPD|4FEWX|58TLV|6RCR|8BPWR|9LIT
26	11241 12253	8	   	269.09	DCR|3VULN|3DUR|2TLV	178DUR|28aVULN|3ASPD|4FEWX|58TLV|6RCR|8BPWR|9LIT
27	31432 34213	8	 * 	268.83	DCR|4VULN|3DUR|1DMG|1AART|1SELL	18BEXP|2568VULN|358DUR|4SELL|58BPWR|7RCR|9DMG|aAART
28	31432 34236	9	 * 	268.83	DCR|4VULN|3DUR|1DMG|1AART|1SELL	18BEXP|2568VULN|358DUR|4SELL|58BPWR|7RCR|9AART|aDMG
29	11322 11221	6	   	268.76	DCR|3VULN|3DUR|1TLV|2ASPD	157DUR|28aVULN|3LIT|45ASPD|5BPWR|6TLV|9RCR
30	11322 21221	5	   	268.76	DCR|3VULN|3DUR|1TLV|2ASPD	157DUR|28aVULN|3LIT|45ASPD|5BPWR|6TLV|9RCR
31	16241 48733	6	 * 	268.63	DCR|3VULN|3DUR|3TLV|2ASPD	178DUR|2MBVNT|38ASPD|457TLV|678VULN|78BPWR|9RCVC|aRCR
32	11126 15311	8	   	268.37	DCR|4VULN|2DUR|1TLV|2ASPD	18DUR|2589VULN|3BEXP|4FEWX|6RCR|78ASPD|8BPWR|aTLV
