0	Index      	Bounty	 *	Score 	Summary	Detail	
1	55121 13315	3	 * 	281.58	DCR|3VULN|3DUR|2ASPD|1TLV|2LIT	15aDUR|2aLIT|3TLV|458VULN|5aBPWR|6RMIN|7RCR|9aASPD
2	31425 31111	10	 * 	278.60	DCR|4VULN|2DUR|2TLV|1DMG	17CGEN|26TLV|3478VULN|57DUR|7BPWR|9DMG|aRCR
3	31426 51111	10	   	278.60	DCR|4VULN|2DUR|2TLV|1DMG	17CGEN|25TLV|3478VULN|67DUR|7BPWR|9DMG|aRCR
4	55121 13361	3	   	276.68	DCR|4VULN|2DUR|1TLV|1CDMG	15DUR|2LIT|3TLV|458aVULN|5BPWR|6RMIN|7RCR|9CDMG
5	53211 53341	2	 * 	276.28	DCR|3VULN|3DUR|1DMG|1TLV|1ASPD	123DUR|4ASPD|57aVULN|6DMG|8TLV|9RCR
6	15142 12611	8	 * 	276.15	DCR|4VULN|2DMG|1TLV|2LIT|1SELL	1LEGI|28LIT|3TLV|478aVULN|5SELL|68DMG|8BPWR|9RCR
7	31424 51311	10	   	274.89	DCR|4VULN|2DUR|1DMG|1TLV	178CGEN|2TLV|3457VULN|67DUR|7BPWR|9DMG|aRCR
8	31425 21111	10	   	274.89	DCR|4VULN|2DUR|1DMG|1TLV	167CGEN|2TLV|3478VULN|57DUR|7BPWR|9DMG|aRCR
9	31425 41111	10	   	274.89	DCR|4VULN|2DUR|1DMG|1TLV	17CGEN|2TLV|3478VULN|57DUR|6DMSP|7BPWR|9DMG|aRCR
10	31434 51111	10	   	274.89	DCR|4VULN|2DUR|1DMG|1TLV	17CGEN|2TLV|3578VULN|4RCVC|67DUR|7BPWR|9DMG|aRCR
11	31424 51123	8	 * 	274.26	DCR|5VULN|2DUR|1TLV	17CGEN|2TLV|34578VULN|67DUR|7BPWR|9MBVNT|aRCR
12	34332 34431	10	 * 	274.25	DCR|3VULN|2DMG|2DUR|1ASPD|1AART	18CGEN|2AART|38DUR|46aVULN|5ASPD|78DMG|8BPWR|9RCR
13	34333 24431	10	   	274.25	DCR|3VULN|2DMG|2DUR|1ASPD|1AART	18CGEN|2AART|38DUR|45aVULN|6ASPD|78DMG|8BPWR|9RCR
14	31424 51213	8	   	274.13	DCR|4VULN|2DUR|1TLV|1ASPD	17CGEN|2TLV|3457VULN|67DUR|7BPWR|8RCR|9ASPD|aLIT
15	53211 56133	2	   	273.68	DCR|3VULN|3DUR|1DMG|1CDMG|1ASPD	123DUR|4ASPD|58aVULN|6DMG|7CDMG|9RCR
16	11341 11115	1	 * 	272.81	DCR|4VULN|3DUR|2ASPD	1LEGI|257aVULN|3TBNT|4aASPD|6RCR|89aDUR|aBPWR
17	31424 51221	9	   	272.79	DCR|4VULN|2DUR|1TLV|1AART	17CGEN|2TLV|3457VULN|67DUR|7BPWR|8RCR|9AART|aLIT
18	53433 23151	3	 * 	271.66	DCR|4VULN|3DUR|1DMG	126DUR|379aVULN|4DMG|5BEXP|8RCR
19	15162 12611	8	 * 	271.12	DCR|3VULN|2DMG|2TLV|2LIT|1CDMG	1LEGI|28LIT|38TLV|4CDMG|57aVULN|68DMG|8BPWR|9RCR
20	31425 31225	8	 * 	269.19	DCR|3VULN|3DUR|2TLV|1DMG	17CGEN|26TLV|347VULN|579DUR|7BPWR|8RCR|aDMG
21	31424 51211	9	   	268.05	DCR|4VULN|3DUR|1TLV	17CGEN|2TLV|3457VULN|67aDUR|7BPWR|8RCR|9FEWX
