0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36233 14161	1	 * 	276.36	DCR|4VULN|2DMG|2CDMG|1ASPD	1RPLT|2479VULN|3RCVC|59CDMG|6RCR|89DMG|9BPWR|aASPD
2	42222 11624	8	 * 	273.92	DCR|5VULN|2DUR|1TLV|1SELL	1SELL|2DUST|34679VULN|56DUR|6BPWR|8RCR|aTLV
3	25122 11322	10	 * 	272.79	DCR|4VULN|2DUR|1CDMG|1ASPD|1AART	1CGEN|267aVULN|3CDMG|4ASPD|56DUR|6BPWR|8AART|9RCR
4	25122 11326	9	   	272.79	DCR|4VULN|2DUR|1CDMG|1ASPD|1AART	1CGEN|267aVULN|3CDMG|4ASPD|56DUR|6BPWR|8AART|9RCR
5	36121 61421	8	 * 	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	1RPLT|28DMG|3ERES|489VULN|5RMIN|6RCR|78DUR|8BPWR|aCDMG
6	13215 22436	2	 * 	266.96	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1RCVC|2DMSP|367VULN|47DUR|57TLV|7BPWR|8DMG|9ASPD|aRCR
7	13251 22436	2	   	266.96	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1RCVC|2DMSP|367VULN|47TLV|57DUR|7BPWR|8DMG|9ASPD|aRCR
8	13315 22436	3	   	266.96	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1RCVC|2DMSP|367VULN|47DUR|57TLV|7BPWR|8DMG|9ASPD|aRCR
9	13315 22436	4	   	266.96	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1RCVC|2DMSP|367VULN|47DUR|57TLV|7BPWR|8DMG|9ASPD|aRCR
10	13321 22436	4	   	266.96	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1RCVC|2DMSP|367VULN|47TLV|57DUR|7BPWR|8DMG|9ASPD|aRCR
11	13351 22436	3	   	266.96	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1RCVC|2DMSP|367VULN|47TLV|57DUR|7BPWR|8DMG|9ASPD|aRCR
12	41222 11635	8	 * 	266.51	DCR|4VULN|3DUR|2LIT|1SELL	1SELL|2aFEWX|3467VULN|56aDUR|6aBPWR|8RCR|9aLIT
13	42222 12335	6	 * 	266.31	DCR|4VULN|3DUR|2LIT|1SELL	1SELL|2aDUST|3468VULN|56aDUR|6aBPWR|7aLIT|9RCR
14	42134 12335	3	 * 	265.97	DCR|5VULN|2DUR|1SELL	1SELL|2aDUST|3LIT|4678aVULN|5aDUR|9RCR|aBPWR
15	24212 61112	10	 * 	265.51	DCR|3VULN|2DUR|2ASPD|1DMG	19CGEN|23ASPD|49DUR|5LIT|6DMG|7RCR|89aVULN|9BPWR
16	36233 11164	1	   	265.35	DCR|4VULN|2DMG|2CDMG	1RPLT|249aVULN|37RCVC|59CDMG|6RCR|89DMG|9BPWR
17	36233 14162	1	   	265.35	DCR|4VULN|2DMG|2CDMG	1RPLT|2479VULN|3RCVC|59CDMG|6RCR|89DMG|9BPWR|aCGEN
18	36233 14163	1	   	265.25	DCR|4VULN|2DMG|2CDMG	1RPLT|2479VULN|3RCVC|59CDMG|6RCR|89DMG|9BPWR|aBBNT
19	41222 11663	9	 * 	265.11	DCR|4VULN|3DUR|1CDMG|1SELL	1SELL|2FEWX|3467VULN|56aDUR|6BPWR|8RCR|9CDMG
20	22661 11112	10	   	264.86	DCR|3VULN|2DMG|1DUR|2LIT|1ASPD	19CGEN|25LIT|39DMG|4DUR|6ASPD|7RCR|89aVULN|9BPWR
21	36312 12447	3	 * 	264.83	DCR|5VULN|2DMG	1RPLT|2aDMG|3MBVNT|4679aVULN|5aFEWX|8RCR|aBPWR
22	25122 11324	10	 * 	263.37	DCR|3VULN|3DUR|1CDMG|1ASPD|1AART	1CGEN|267VULN|3CDMG|4ASPD|56aDUR|6BPWR|8AART|9RCR
23	51332 87233	9	   	263.13	DCR|4VULN|2DUR|1CDMG|1ASPD	17FEWX|2ASPD|367aVULN|47DUR|5MBVNT|7BPWR|8RCR|9CDMG
24	51332 87243	8	   	263.13	DCR|4VULN|2DUR|1CDMG|1ASPD	17FEWX|2ASPD|367aVULN|47DUR|5MBVNT|7BPWR|8RCR|9CDMG
25	25122 11612	9	   	263.13	DCR|4VULN|2DUR|1CDMG|1ASPD	1CGEN|267aVULN|3CDMG|4ASPD|56DUR|6BPWR|8RCR|9MLV
26	25122 11622	8	   	263.13	DCR|4VULN|2DUR|1CDMG|1ASPD	1CGEN|267aVULN|3CDMG|4ASPD|56DUR|6BPWR|8RCR|9MLV
27	25122 11652	8	   	263.13	DCR|4VULN|2DUR|1CDMG|1ASPD	1CGEN|2679VULN|3CDMG|4ASPD|56DUR|6BPWR|8RCR|aFEWX
