0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32143 13561	3	 * 	289.67	DCR|4VULN|2DMG|3ASPD|1CDMG	1579VULN|2LEGI|359ASPD|4BBNT|59BPWR|69DMG|8RCR|aCDMG
2	31373 46362	1	 * 	283.99	DCR|3VULN|3DMG|2DUR|2LIT	16aVULN|2MBVNT|34LIT|59aDMG|7aDUR|8RCR|aBPWR
3	35331 31561	1	   	282.79	DCR|3VULN|3DMG|2DUR|1CDMG	169VULN|2BBNT|359DMG|4RMIN|79DUR|8RCR|9BPWR|aCDMG
4	36331 31561	1	   	282.79	DCR|3VULN|3DMG|2DUR|1CDMG	169VULN|2TBNT|359DMG|4RMIN|79DUR|8RCR|9BPWR|aCDMG
5	31341 41251	2	 * 	280.82	DCR|5VULN|1DMG|2AART|1DUR	14567VULN|23AART|4BPWR|8RCR|9DUR|aDMG
6	32523 31241	6	 * 	280.66	DCR|3VULN|3DMG|3CDMG|1DUR	19aVULN|2LEGI|3DUR|4MBVNT|59aCDMG|6RMIN|7RCR|89aDMG|9aBPWR
7	63238 64142	2	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|29DMG|3MBVNT|469VULN|5LIT|7TLV|89DUR|9BPWR|aRCR
8	31136 24132	10	 * 	277.71	DCR|4VULN|3DUR|1TLV|1AART	1789VULN|2AART|3TLV|467DUR|57LWND|7BPWR|aRCR
9	31121 32152	4	 * 	276.71	DCR|3VULN|2DUR|2ASPD|1TLV|1CDMG|1AART	147VULN|2AART|3TLV|57DUR|67ASPD|7BPWR|8LWND|9CDMG|aRCR
10	31121 32552	4	   	276.71	DCR|3VULN|2DUR|2ASPD|1TLV|1CDMG|1AART	147VULN|2AART|3TLV|57DUR|67ASPD|7BPWR|8LHND|9CDMG|aRCR
11	32143 13562	3	   	276.02	DCR|4VULN|2DMG|3ASPD	1579VULN|2LEGI|359ASPD|4BBNT|59BPWR|69DMG|8RCR|aLWND
12	32143 13563	3	   	276.02	DCR|4VULN|2DMG|3ASPD	1579VULN|2LEGI|359ASPD|4BBNT|59BPWR|69DMG|8RCR|aCGEN
13	26113 23177	9	 * 	275.83	DCR|5VULN|2DMG|1ASPD	18CGEN|2ASPD|38DMG|4578aVULN|6MBVNT|8BPWR|9RCR
14	32312 42342	5	 * 	273.39	DCR|4VULN|2DUR|2CDMG|2LIT	145aVULN|2LEGI|35LIT|5aBPWR|6RPLT|7aCDMG|8RCR|9aDUR
15	32135 22134	1	 * 	273.35	DCR|5VULN|3CDMG|1DMG	15789VULN|247CDMG|37BEXP|6RCR|7BPWR|aDMG
16	32235 22134	1	   	273.15	DCR|5VULN|3CDMG|1DMG	15789VULN|247CDMG|37DUST|6RCR|7BPWR|aDMG
17	31241 41251	3	   	273.05	DCR|5VULN|1DMG|1DUR|1AART	14567VULN|2AART|3DMSP|4BPWR|8RCR|9DUR|aDMG
18	31124 23782	9	   	272.95	DCR|5VULN|1DMG|1TLV|1AART	14589VULN|2AART|3TLV|6MBVNT|7DMG|aRCR
19	31124 23782	8	   	272.95	DCR|5VULN|1DMG|1TLV|1AART	14589VULN|2AART|3TLV|6MBVNT|7DMG|aRCR
20	32163 33126	6	 * 	272.91	DCR|4VULN|3DUR|2ASPD	1579VULN|2LEGI|39ASPD|4RCVC|689DUR|9BPWR|aRCR
21	33633 64112	1	   	272.79	DCR|3VULN|2DMG|2DUR|1ASPD	137VULN|2LIT|4RPLT|57DMG|67DUR|7BPWR|8MBVNT|9ASPD|aRCR
22	26113 23178	10	   	272.54	DCR|4VULN|2DMG|1DUR|1ASPD	18CGEN|2ASPD|38DMG|4578VULN|6MBVNT|8BPWR|9RCR|aDUR
23	33631 42333	1	   	272.46	DCR|4VULN|1DMG|1DUR|2LIT|1CDMG	135aVULN|25LIT|4RPLT|5BPWR|6DUR|7CDMG|8RCR|9DMG
24	36631 42333	2	   	272.46	DCR|4VULN|1DMG|1DUR|2LIT|1CDMG	135aVULN|25LIT|4RPLT|5BPWR|6DUR|7CDMG|8RCR|9DMG
25	32312 15533	5	   	272.36	DCR|4VULN|1DMG|1TLV|2LIT|1CDMG	1456VULN|2LEGI|35LIT|5BPWR|7TLV|8DMG|9CDMG|aRCR
26	31253 41387	1	   	272.34	DCR|4VULN|2DMG|1TLV|1ASPD	134aVULN|2MBVNT|5TLV|6ASPD|79DMG|8RCR
27	31121 65162	4	   	271.66	DCR|4VULN|1DUR|1TLV|1CDMG|1AART	1469VULN|2AART|3TLV|5DUR|7LIT|8CDMG|aRCR
28	31122 55162	4	   	271.66	DCR|4VULN|1DUR|1TLV|1CDMG|1AART	1459VULN|2AART|3TLV|6DUR|7LIT|8CDMG|aRCR
29	33533 45383	10	 * 	271.52	DCR|4VULN|3DUR|1DMG|1SELL	1678VULN|2SELL|368DUR|4RMIN|5MBVNT|68BPWR|9DMG|aRCR
30	31121 33145	9	   	271.10	DCR|4VULN|2DMG|1TLV|1AART	149aVULN|2AART|3TLV|5RMIN|67DMG|8RCR
31	31121 33145	10	   	271.10	DCR|4VULN|2DMG|1TLV|1AART	149aVULN|2AART|3TLV|5RMIN|67DMG|8RCR
32	31121 32321	4	   	270.73	DCR|3VULN|2DUR|2ASPD|2AART|1TLV|1NUKE	147VULN|28AART|3TLV|57DUR|67ASPD|7BPWR|9NUKE|aRCR
33	31121 32361	4	   	270.73	DCR|3VULN|2DUR|2ASPD|2AART|1TLV	147VULN|28AART|3TLV|57DUR|67ASPD|7BPWR|9ERES|aRCR
34	31533 18331	1	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	19aVULN|2MBVNT|3LWND|49DUR|5TLV|6ZMB|79DMG|8RCR|9BPWR
35	32135 22135	1	   	269.53	DCR|5VULN|3CDMG|1DUR	15789VULN|247CDMG|37BEXP|6RCR|7BPWR|aDUR
36	32235 22135	1	   	269.33	DCR|5VULN|3CDMG|1DUR	15789VULN|247CDMG|37DUST|6RCR|7BPWR|aDUR
37	35331 31562	1	   	269.14	DCR|3VULN|3DMG|2DUR	169VULN|2BBNT|359DMG|4RMIN|79DUR|8RCR|9BPWR|aLWND
38	35331 31563	1	   	269.14	DCR|3VULN|3DMG|2DUR	169VULN|2BBNT|359DMG|4RMIN|79DUR|8RCR|9BPWR|aCGEN
39	36331 31562	1	   	269.14	DCR|3VULN|3DMG|2DUR	169VULN|2TBNT|359DMG|4RMIN|79DUR|8RCR|9BPWR|aLWND
40	36331 31563	1	   	269.14	DCR|3VULN|3DMG|2DUR	169VULN|2TBNT|359DMG|4RMIN|79DUR|8RCR|9BPWR|aCGEN
41	31341 41236	2	   	269.07	DCR|5VULN|2AART|1TLV	14567VULN|23AART|4BPWR|8RCR|9LIT|aTLV
42	33536 12342	10	 * 	268.94	DCR|3VULN|3DUR|2TLV|1DMG|1SELL	168VULN|2SELL|358DUR|4RMIN|78TLV|8BPWR|9DMG|aRCR
43	31136 24142	10	   	268.72	DCR|3VULN|3DUR|1TLV|1CDMG|1AART	178VULN|2AART|3TLV|467DUR|57LWND|7BPWR|9CDMG|aRCR
44	33631 42323	1	   	268.65	DCR|4VULN|1TLV|1DUR|2LIT|1CDMG	135aVULN|25LIT|4RPLT|5BPWR|6DUR|7CDMG|8RCR|9TLV
45	36631 42323	2	   	268.65	DCR|4VULN|1TLV|1DUR|2LIT|1CDMG	135aVULN|25LIT|4RPLT|5BPWR|6DUR|7CDMG|8RCR|9TLV
46	43314 12233	7	   	268.31	DCR|4VULN|1DMG|1TLV|1DUR	1DUST|2DUR|3LIT|468aVULN|5TLV|7RCR|9DMG
47	43314 52233	5	   	268.31	DCR|4VULN|1DMG|1TLV|1DUR	1DUST|2DUR|3LIT|478aVULN|5TLV|6RCR|9DMG
48	31134 32512	9	   	268.24	DCR|2VULN|3DMG|2DUR|1TLV|1AART	18VULN|2AART|3TLV|48DUR|5CGEN|6ZMB|789DMG|8BPWR|aRCR
49	41163 52332	10	 * 	268.10	DCR|4VULN|2DUR|1DMG|1AART	168DUST|2DMSP|3DMG|48DUR|5689VULN|68BPWR|7AART|aRCR
50	33613 11345	4	   	267.16	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG|1SELL	169VULN|2SELL|39LIT|4CDMG|5TLV|79DMG|8BBNT|9BPWR|aRCR
51	33643 22233	10	   	267.02	DCR|3VULN|2DMG|2CDMG|1DUR|1SELL	179VULN|2SELL|3LIT|4BELT|59CDMG|69DMG|8RCR|9BPWR|aDUR
52	33345 12233	1	   	266.84	DCR|4VULN|2DUR|1DMG	168aVULN|2LIT|3BEXP|46DUR|5RMIN|6BPWR|7RCR|9DMG
53	36245 12233	3	   	266.84	DCR|4VULN|2DUR|1DMG	168aVULN|2LIT|3BEXP|46DUR|5RMIN|6BPWR|7RCR|9DMG
54	36345 12233	2	   	266.84	DCR|4VULN|2DUR|1DMG	168aVULN|2LIT|3BEXP|46DUR|5RMIN|6BPWR|7RCR|9DMG
55	32342 16342	7	   	266.74	DCR|4VULN|2DUR|2CDMG	167aVULN|2LEGI|3LIT|4RPLT|5aCDMG|8RCR|9aDUR|aBPWR
