0	Index      	Bounty	 *	Score 	Summary	Detail	
1	15123 23342	8	 * 	270.84	DCR|5VULN|1TLV|1DUR|2LIT	19FEWX|2TLV|35789VULN|49LIT|6RCR|9BPWR|aDUR
2	61531 35312	1	 * 	265.45	DCR|4VULN|3DUR|1TLV	18MLV|248DUR|3LWND|5TLV|6789VULN|8BPWR|aRCR
3	15123 23322	9	   	264.09	DCR|5VULN|1TLV|1DUR	1FEWX|2TLV|35789VULN|4LIT|6RCR|aDUR
4	15123 23325	10	   	264.09	DCR|5VULN|1TLV|1DUR	1FEWX|2TLV|35789VULN|4LIT|6RCR|aDUR
5	15123 23332	8	   	264.09	DCR|5VULN|1TLV|1DUR	1FEWX|2TLV|35789VULN|4LIT|6RCR|aDUR
6	15123 23351	10	   	264.09	DCR|5VULN|1TLV|1DUR	1FEWX|2TLV|3578aVULN|4LIT|6RCR|9DUR
7	56125 13232	1	 * 	263.42	DCR|4VULN|2DUR|1DMG|2AART	1RCVC|2479VULN|36AART|49BPWR|59DUR|8RCR|aDMG
8	56161 13232	1	   	263.42	DCR|4VULN|2DUR|1DMG|2AART	1RCVC|2579VULN|36AART|49DUR|8RCR|9BPWR|aDMG
9	24223 22531	9	 * 	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	1BELT|2CDMG|3789VULN|4LIT|5TLV|6DMG|aRCR
10	15123 23344	8	   	262.89	DCR|5VULN|1TLV|2LIT	19FEWX|2TLV|35789VULN|49LIT|6RCR|9BPWR|aASPD
11	15123 23344	7	 * 	262.67	DCR|5VULN|2TLV|2LIT	19FEWX|28TLV|3579aVULN|49LIT|6RCR|9BPWR
12	61242 71282	1	 * 	262.45	DCR|3VULN|2DMG|1TLV|1DUR	18MLV|2DUR|3MBVNT|458VULN|68DMG|7RCR|8BPWR|9TLV|aLIT
13	21116 31356	2	 * 	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1BELT|29DMG|3CGEN|489VULN|5DUST|6DUR|79TLV|9BPWR|aRCR
14	15123 23322	10	   	261.49	DCR|5VULN|1TLV|1CDMG	1FEWX|2TLV|35789VULN|4LIT|6RCR|aCDMG
15	15123 23341	7	   	260.57	DCR|4VULN|2TLV|1DUR|2LIT	19FEWX|28TLV|3579VULN|49LIT|6RCR|9BPWR|aDUR
16	15123 23354	10	   	260.33	DCR|4VULN|2DUR|1TLV	1FEWX|2TLV|3578VULN|4LIT|6RCR|9aDUR
17	15155 21223	4	 * 	260.26	DCR|4VULN|3TLV|2DUR|1SELL	18aFEWX|258TLV|358aVULN|4RPLT|58aBPWR|6SELL|7RCR|9aDUR
18	16351 51223	2	 * 	260.26	DCR|4VULN|3TLV|2DUR|1SELL	18aFEWX|2SELL|358TLV|458aVULN|58aBPWR|6RPLT|7RCR|9aDUR
19	24223 22131	9	   	259.75	DCR|3VULN|2DMG|1TLV|1CDMG	1BELT|2CDMG|379VULN|4LIT|5TLV|68DMG|aRCR
20	15123 22126	9	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1FEWX|2TLV|359aVULN|4LIT|6RCR|7CDMG|8DUR
21	15123 22146	8	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1FEWX|2TLV|359aVULN|4LIT|6RCR|7CDMG|8DUR
