0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43114 14332	10	 * 	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1RMIN|2CDMG|35DUR|45DMG|5BPWR|6TLV|78aVULN|9RCR
2	41241 32243	10	 * 	276.48	DCR|3VULN|3DUR|3LIT|1TLV|1ASPD	1RMIN|278LIT|3LWND|478VULN|578DUR|6RCR|78BPWR|9ASPD|aTLV
3	61315 11351	6	   	274.10	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1RPLT|2CDMG|35DUR|457VULN|5BPWR|6TLV|8LIT|9DMG|aRCR
4	54115 11323	6	 * 	273.58	DCR|3VULN|3DUR|1DMG|1TLV	15aDUR|2DUST|3DMG|457VULN|5BPWR|6TLV|8LIT|9RCR
5	43114 21233	10	 * 	271.95	DCR|2VULN|3DMG|2DUR|2CDMG|1AART	1RMIN|28CDMG|35DUR|458DMG|58BPWR|68VULN|7AART|9MBVNT|aRCR
6	41241 32213	10	 * 	271.86	DCR|4VULN|3DUR|3LIT	1RMIN|278LIT|39LWND|478aVULN|578DUR|6RCR|78BPWR
7	41241 32223	10	   	271.86	DCR|4VULN|3DUR|3LIT	19RMIN|278LIT|3LWND|478aVULN|578DUR|6RCR|78BPWR
8	53412 52221	10	   	271.86	DCR|4VULN|3DUR|3LIT	178DUR|2LWND|378LIT|4LHND|5ZMB|678aVULN|78BPWR|9RCR
9	53333 14333	1	   	271.85	DCR|2VULN|3DMG|2DUR|2CDMG|1AART	19DUR|2AART|39aDMG|45VULN|6DUST|79CDMG|8RCR|9BPWR
10	54115 11322	6	   	271.35	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	15DUR|2DUST|3DMG|457VULN|5BPWR|6TLV|8LIT|9RCR|aASPD
11	53333 66323	1	 * 	271.20	DCR|4VULN|2DMG|1DUR|1AART	1DUR|2AART|36DMG|4569VULN|6BPWR|7BELT|8LWND|aRCR
12	61315 61221	6	   	268.86	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1RPLT|2CDMG|35DUR|457VULN|5BPWR|6DMG|8ASPD|9LIT|aRCR
13	61315 11343	6	   	267.27	DCR|3VULN|3DUR|1TLV|1CDMG	1RPLT|2CDMG|35aDUR|457VULN|5BPWR|6TLV|8LIT|9RCR
14	43114 22332	10	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1RMIN|2CDMG|35DUR|45DMG|5BPWR|68aVULN|7ERES|9RCR
15	41241 32215	9	   	265.47	DCR|3VULN|3DUR|3LIT|1TLV	1RMIN|278LIT|39LWND|478VULN|578DUR|6RCR|78BPWR|aTLV
16	41241 32216	10	   	265.47	DCR|3VULN|3DUR|3LIT|1TLV	1RMIN|278LIT|39LWND|478VULN|578DUR|6RCR|78BPWR|aTLV
17	41241 32225	9	   	265.47	DCR|3VULN|3DUR|3LIT|1TLV	19RMIN|278LIT|3LWND|478VULN|578DUR|6RCR|78BPWR|aTLV
18	41241 32226	10	   	265.47	DCR|3VULN|3DUR|3LIT|1TLV	19RMIN|278LIT|3LWND|478VULN|578DUR|6RCR|78BPWR|aTLV
19	41241 32226	8	   	265.47	DCR|3VULN|3DUR|3LIT|1TLV	1RMIN|278LIT|3LWND|478VULN|578DUR|6RCR|78BPWR|9BELT|aTLV
20	41241 32233	10	   	265.47	DCR|3VULN|3DUR|3LIT|1TLV	1RMIN|278LIT|3LWND|478VULN|578DUR|6RCR|78BPWR|9RPLT|aTLV
21	41241 32253	10	   	265.47	DCR|3VULN|3DUR|3LIT|1TLV	1RMIN|278LIT|3LWND|478VULN|578DUR|6RCR|78BPWR|9ZMB|aTLV
22	41241 32216	8	   	265.37	DCR|3VULN|3DUR|3LIT|1TLV	1RMIN|278LIT|3LWND|478VULN|578DUR|6RCR|78BPWR|9ERES|aTLV
23	61315 11221	6	   	265.04	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1RPLT|2CDMG|35DUR|457VULN|5BPWR|6TLV|8ASPD|9LIT|aRCR
24	61315 11342	6	   	265.04	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1RPLT|2CDMG|35DUR|457VULN|5BPWR|6TLV|8LIT|9RCR|aASPD
25	43114 14333	10	   	264.78	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RMIN|2CDMG|35DUR|45DMG|5BPWR|6TLV|78VULN|9RCR|aLIT
26	54222 14222	10	 * 	264.02	DCR|3VULN|3DUR|2ASPD|1CDMG	18aDUR|28DUST|37aVULN|4CDMG|58CGEN|6RCR|8aBPWR|9aASPD
27	52621 53332	1	   	262.57	DCR|3VULN|3DUR|1DMG|1CDMG	124DUR|3CDMG|58aVULN|6DMG|7TBNT|9RCR
28	55321 53332	3	   	262.57	DCR|3VULN|3DUR|1DMG|1CDMG	134DUR|2CDMG|58aVULN|6DMG|7TBNT|9RCR
29	54115 11321	6	   	260.35	DCR|3VULN|2DUR|1DMG|1TLV	15DUR|2DUST|3DMG|457VULN|5BPWR|6TLV|8LIT|9RCR|aRMIN
30	53411 52211	9	   	260.31	DCR|4VULN|3DUR	178DUR|278LWND|3LIT|4LHND|5789VULN|6RMIN|78BPWR|aRCR
31	41241 32352	7	   	260.26	DCR|3VULN|3DUR|1TLV|2LIT	1RMIN|27LIT|3LWND|479VULN|57aDUR|6RCR|7BPWR|8TLV
32	41241 32241	9	   	260.23	DCR|3VULN|3DUR|3LIT|1ASPD	1RMIN|278LIT|3LWND|478VULN|578DUR|6RCR|78BPWR|9ASPD|aFEWX
33	41241 32241	10	   	260.23	DCR|3VULN|3DUR|3LIT|1ASPD	1RMIN|278LIT|3LWND|478VULN|578DUR|6RCR|78BPWR|9ASPD|aFEWX
34	41241 32242	9	   	260.23	DCR|3VULN|3DUR|3LIT|1ASPD	1RMIN|278LIT|3LWND|478VULN|578DUR|6RCR|78BPWR|9ASPD|aBEXP
35	41241 32242	10	   	260.13	DCR|3VULN|3DUR|3LIT|1ASPD	1RMIN|278LIT|3LWND|478VULN|578DUR|6RCR|78BPWR|9ASPD|aERES
