0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32156 22532	8	 * 	278.70	DCR|3VULN|3DMG|2DUR|1AART	128DUST|3AART|46DUR|568VULN|68BPWR|789DMG|aRCR
2	61533 36212	10	 * 	275.13	DCR|3VULN|3DUR|3CDMG|2TLV	18TLV|29aVULN|378DUR|458CDMG|6RCR|8BPWR
3	61531 32612	7	 * 	273.51	DCR|2VULN|3DUR|2DMG|2TLV|1CDMG	1aTLV|29VULN|35aDUR|4CDMG|6RCR|7FEWX|8aDMG|aBPWR
4	61136 21433	2	   	271.45	DCR|3VULN|2DUR|2CDMG|1TLV|1ASPD	1TLV|25aVULN|3ASPD|4LIT|6aDUR|7BEXP|8aCDMG|9RCR|aBPWR
5	61136 23433	2	   	271.35	DCR|3VULN|2DUR|2CDMG|1TLV|1ASPD	1TLV|25aVULN|3ASPD|4LIT|6aDUR|7DUST|8aCDMG|9RCR|aBPWR
6	21531 61333	5	   	268.57	DCR|3VULN|3DUR|2LIT|1CDMG|1ASPD	1ERES|26aVULN|3DUST|4CDMG|56aDUR|6aBPWR|7ASPD|8aLIT|9RCR
7	61533 32612	7	 * 	266.60	DCR|2VULN|2DMG|2DUR|2TLV|2CDMG	1aTLV|29VULN|3aDUR|45CDMG|6RCR|7FEWX|8aDMG|aBPWR
8	61531 31226	6	   	264.94	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1TLV|28aVULN|35DUR|4CDMG|6RCR|7ASPD|9LIT
9	61531 31231	6	   	263.02	DCR|2VULN|3DUR|1DMG|1TLV|1CDMG|1ASPD	1TLV|28VULN|35aDUR|4CDMG|6RCR|7ASPD|9DMG
10	61236 13133	1	 * 	260.55	DCR|3VULN|2DUR|3TLV|1CDMG|1ASPD	156TLV|27DUR|37ZMB|457VULN|57BPWR|8CDMG|9ASPD|aRCR
11	61531 31243	6	   	260.35	DCR|3VULN|2DUR|2TLV|1CDMG|1ASPD	19TLV|28aVULN|35DUR|4CDMG|6RCR|7ASPD
12	21341 64233	5	   	260.25	DCR|3VULN|2DUR|1DMG|1TLV	1ERES|239VULN|47DUR|5LIT|6RCR|8DMG|aTLV
13	52516 22332	9	   	259.62	DCR|2VULN|3DUR|2DMG|2TLV|1SELL	1BELT|2SELL|367DUR|4aVULN|5aTLV|8aDMG|9RCR|aBPWR
14	11136 24513	2	 * 	259.35	DCR|4VULN|1TLV|1DUR|1ASPD	1MLV|2578VULN|3ASPD|4LIT|6DUR|9RCR|aTLV
15	21136 24513	2	   	259.25	DCR|4VULN|1TLV|1DUR|1ASPD	1ERES|2578VULN|3ASPD|4LIT|6DUR|9RCR|aTLV
16	21313 61323	4	 * 	259.00	DCR|3VULN|2DUR|2ASPD|1CDMG	1ERES|23aVULN|4LWND|5CDMG|6RCR|7aASPD|8LIT|9aDUR|aBPWR
17	61531 32214	6	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1TLV|28aVULN|359DUR|4CDMG|6RCR|7MLV
18	11531 32214	6	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1MLV|28aVULN|359DUR|4CDMG|6RCR|7TLV
19	52532 22413	3	 * 	258.64	DCR|3VULN|3DUR|3LIT|1AART|1SELL	1BELT|2SELL|378DUR|478LIT|578VULN|6AART|78BPWR|9RMIN|aRCR
20	52513 34122	4	 * 	258.54	DCR|3VULN|3DUR|1DMG|1AART|1SELL	1BELT|2SELL|356DUR|46aVULN|6BPWR|7AART|8DMG|9RCR
21	52513 34122	3	 * 	258.54	DCR|3VULN|3DUR|1DMG|1AART|1SELL	1BELT|2SELL|356DUR|46aVULN|6BPWR|7AART|8DMG|9RCR
22	61531 31235	6	   	258.10	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	1TLV|28VULN|35DUR|4CDMG|6RCR|7ASPD|9DMG|aLIT
23	21333 13154	7	   	258.00	DCR|4VULN|1TLV|1CDMG|1ASPD|1AART	14ERES|2349VULN|4BPWR|5AART|6ASPD|7TLV|8CDMG|aRCR
24	21333 13454	8	   	258.00	DCR|4VULN|1TLV|1CDMG|1ASPD|1AART	14ERES|2349VULN|4BPWR|5AART|6ASPD|7TLV|8CDMG|aRCR
25	61131 51433	2	   	257.77	DCR|2VULN|3DUR|2CDMG|1TLV|1ASPD	1TLV|2aVULN|3ASPD|4LIT|56aDUR|7BEXP|8aCDMG|9RCR|aBPWR
26	61131 53433	2	   	257.67	DCR|2VULN|3DUR|2CDMG|1TLV|1ASPD	1TLV|2aVULN|3ASPD|4LIT|56aDUR|7DUST|8aCDMG|9RCR|aBPWR
27	66122 23521	3	 * 	257.27	DCR|2VULN|3DMG|2TLV|1DUR|1NUKE|1AART	18TLV|2NUKE|3AART|478DMG|5DMSP|68VULN|8BPWR|9RCR|aDUR
28	11136 52232	2	   	256.77	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1MLV|259VULN|3ASPD|4LIT|6TLV|7DUR|8DMG|aRCR
29	61136 62232	2	   	256.77	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|259VULN|3ASPD|4LIT|6RMIN|7DUR|8DMG|aRCR
30	61533 31226	6	   	256.67	DCR|3VULN|2CDMG|1DUR|1TLV|1ASPD	1TLV|28aVULN|3DUR|45CDMG|6RCR|7ASPD|9LIT
31	21136 52232	2	   	256.67	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1ERES|259VULN|3ASPD|4LIT|6TLV|7DUR|8DMG|aRCR
32	21341 12232	7	   	256.67	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1ERES|239VULN|4DUR|5LIT|6TLV|7ASPD|8DMG|aRCR
33	61531 31253	6	   	256.64	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1TLV|28aVULN|35DUR|4CDMG|6RCR|7ASPD|9RCVC
34	61533 31231	6	   	256.10	DCR|2VULN|2DUR|1DMG|2CDMG|1TLV|1ASPD	1TLV|28VULN|3aDUR|45CDMG|6RCR|7ASPD|9DMG
35	62561 32312	3	 * 	255.97	ACR|3VULN|3DMG|2TLV|1DUR|1CDMG	1aTLV|2RCR|3DUR|49aVULN|5LHND|6CDMG|78aDMG|aBPWR
36	21335 61133	10	 * 	255.35	DCR|5VULN|2TLV	149ERES|2349aVULN|49BPWR|5FEWX|6LIT|7RCR|89TLV
