0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31612 46323	10	 * 	271.05	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|2DUR|3ERES|4569VULN|7TLV|8DMG|aRCR
2	31632 11422	2	 * 	268.62	DCR|3VULN|2DMG|2DUR|3CDMG	178CDMG|28DUR|3CGEN|4aDMG|589VULN|6RCR|8BPWR
3	35632 11422	1	   	268.62	DCR|3VULN|2DMG|2DUR|3CDMG	178CDMG|28DUR|3CGEN|4aDMG|589VULN|6RCR|8BPWR
4	31332 11422	2	   	268.52	DCR|3VULN|2DMG|2DUR|3CDMG	178CDMG|28DUR|3ERES|4aDMG|589VULN|6RCR|8BPWR
5	31632 11422	3	   	268.52	DCR|3VULN|2DMG|2DUR|3CDMG	178CDMG|28DUR|3ERES|4aDMG|589VULN|6RCR|8BPWR
6	35332 11422	1	   	268.52	DCR|3VULN|2DMG|2DUR|3CDMG	178CDMG|28DUR|3ERES|4aDMG|589VULN|6RCR|8BPWR
7	41122 44263	3	 * 	268.11	DCR|3VULN|3DMG|1DUR|2LIT|1AART	19LIT|2MBVNT|3AART|4DUR|59aDMG|679VULN|8RCR|9BPWR
8	36113 66123	3	 * 	267.61	DCR|3VULN|2DMG|1TLV|2CDMG|1AART	18CDMG|28aVULN|39BEXP|4TLV|5AART|6RCR|78DMG|8BPWR
9	32162 44232	1	 * 	265.95	DCR|4VULN|2DUR|1DMG|2CDMG	19CDMG|2TBNT|3469VULN|5DMG|7LHND|89DUR|9BPWR|aRCR
10	36523 22362	4	 * 	265.25	DCR|4VULN|3DUR|3CDMG	159CDMG|2679VULN|389DUR|4RCVC|9BPWR|aRCR
11	36523 22362	3	   	265.25	DCR|4VULN|3DUR|3CDMG	159CDMG|2679VULN|389DUR|4RCVC|9BPWR|aRCR
12	36232 14263	1	 * 	264.60	DCR|3VULN|2TLV|1DMG|2CDMG|2ASPD	1aCDMG|2FEWX|3aTLV|4DMG|579VULN|6RCR|8aASPD|aBPWR
13	41111 14264	6	   	262.41	DCR|3VULN|2DMG|1TLV|2LIT|1AART	19LIT|2MBVNT|3AART|4BEXP|59DMG|679VULN|8RCR|9BPWR|aTLV
14	41111 44264	5	   	262.41	DCR|3VULN|2DMG|1TLV|2LIT|1AART	19LIT|2MBVNT|3AART|4BEXP|59DMG|679VULN|8RCR|9BPWR|aTLV
15	41112 44264	4	   	262.41	DCR|3VULN|2DMG|1TLV|2LIT|1AART	19LIT|2MBVNT|3AART|4BEXP|59DMG|679VULN|8RCR|9BPWR|aTLV
16	36232 14422	1	 * 	261.42	DCR|4VULN|1TLV|1DMG|2CDMG	18CDMG|28FEWX|3TLV|4DMG|578aVULN|6RCR|8BPWR|9RPLT
17	45121 53113	1	 * 	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1LIT|29DUR|3BBNT|4TLV|57aVULN|6DMG|8RCR
