0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12631 63231	10	 * 	323.04	DCR|5VULN|3DMG|3CDMG|1DUR	189CDMG|2DUR|3489aVULN|5RMIN|6RCR|789DMG|89BPWR
2	12631 63233	9	 * 	318.08	DCR|4VULN|3DMG|2DUR|3CDMG	189CDMG|2aDUR|3489VULN|5RMIN|6RCR|789DMG|89BPWR
3	12651 63231	10	   	318.08	DCR|4VULN|3DMG|2DUR|3CDMG	189CDMG|24DUR|389aVULN|5RMIN|6RCR|789DMG|89BPWR
4	12631 63234	10	   	314.50	DCR|4VULN|3DMG|3CDMG|1DUR|1ASPD	189CDMG|2DUR|3489VULN|5RMIN|6RCR|789DMG|89BPWR|aASPD
5	12651 63233	9	 * 	308.67	DCR|3VULN|3DMG|3DUR|3CDMG	189CDMG|24aDUR|389VULN|5RMIN|6RCR|789DMG|89BPWR
6	12631 63232	9	   	303.50	DCR|4VULN|3DMG|3CDMG|1DUR	189CDMG|2DUR|3489VULN|5RMIN|6RCR|789DMG|89BPWR|aCGEN
7	12631 63232	10	   	303.50	DCR|4VULN|3DMG|3CDMG|1DUR	189CDMG|2DUR|3489VULN|5RMIN|6RCR|789DMG|89BPWR|aLWND
8	12631 63231	9	   	303.40	DCR|4VULN|3DMG|3CDMG|1DUR	189CDMG|2DUR|3489VULN|5RMIN|6RCR|789DMG|89BPWR|aDLOT
9	12631 63233	10	   	303.40	DCR|4VULN|3DMG|3CDMG|1DUR	189CDMG|2DUR|3489VULN|5RMIN|6RCR|789DMG|89BPWR|aDUST
10	12631 63234	9	   	303.40	DCR|4VULN|3DMG|3CDMG|1DUR	189CDMG|2DUR|3489VULN|5RMIN|6RCR|789DMG|89BPWR|aDUST
11	12631 63235	10	   	303.40	DCR|4VULN|3DMG|3CDMG|1DUR	189CDMG|2DUR|3489VULN|5RMIN|6RCR|789DMG|89BPWR|aMBVNT
12	12631 63235	9	   	303.40	DCR|4VULN|3DMG|3CDMG|1DUR	189CDMG|2DUR|3489VULN|5RMIN|6RCR|789DMG|89BPWR|aBBNT
13	12632 23237	10	   	303.40	DCR|4VULN|3DMG|3CDMG|1DUR	189CDMG|2DUR|3489VULN|5MBVNT|6RMIN|789DMG|89BPWR|aRCR
14	12631 63262	10	   	296.19	DCR|4VULN|2DMG|2DUR|2CDMG	18CDMG|29DUR|348aVULN|5RMIN|6RCR|78DMG|8BPWR
15	12651 63232	9	   	295.44	DCR|3VULN|3DMG|2DUR|3CDMG	189CDMG|24DUR|389VULN|5RMIN|6RCR|789DMG|89BPWR|aCGEN
16	12651 63232	10	   	295.44	DCR|3VULN|3DMG|2DUR|3CDMG	189CDMG|24DUR|389VULN|5RMIN|6RCR|789DMG|89BPWR|aLWND
17	12652 23237	10	   	295.34	DCR|3VULN|3DMG|2DUR|3CDMG	189CDMG|24DUR|389VULN|5MBVNT|6RMIN|789DMG|89BPWR|aRCR
18	12651 63231	9	   	295.34	DCR|3VULN|3DMG|2DUR|3CDMG	189CDMG|24DUR|389VULN|5RMIN|6RCR|789DMG|89BPWR|aDLOT
19	12651 63233	10	   	295.34	DCR|3VULN|3DMG|2DUR|3CDMG	189CDMG|24DUR|389VULN|5RMIN|6RCR|789DMG|89BPWR|aDUST
