0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11243 24252	8	 * 	283.05	DCR|4VULN|2DUR|3TLV|2LIT|1AART	18LIT|256TLV|3AART|4589VULN|58BPWR|78DUR|aRCR
2	33113 44421	1	 * 	282.56	DCR|3VULN|3DMG|3DUR	1RCVC|248DMG|34aDUR|48BPWR|58LWND|689VULN|7RCR
3	33115 34421	1	   	279.00	DCR|3VULN|3DMG|2DUR|1AART	1RCVC|248DMG|34DUR|48BPWR|589VULN|68FEWX|7RCR|aAART
4	33113 44422	1	   	269.34	DCR|3VULN|3DMG|2DUR	1RCVC|248DMG|34DUR|48BPWR|58LWND|689VULN|7RCR|aBEXP
5	33115 34422	1	   	269.34	DCR|3VULN|3DMG|2DUR	1RCVC|248DMG|34DUR|48BPWR|589VULN|68FEWX|7RCR|aCGEN
6	33125 14431	1	   	264.91	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1RCVC|28DMG|3DUR|48FEWX|568VULN|7RCR|8BPWR|9AART|aTLV
7	33135 14431	1	   	264.91	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1RCVC|28DMG|3DUR|48LWND|568VULN|7RCR|8BPWR|9AART|aTLV
8	11513 24612	2	 * 	262.56	DCR|2VULN|3DMG|2TLV|1DUR|2LIT	1aLIT|2aTLV|3DUR|467DMG|5FEWX|8aVULN|9RCR|aBPWR
9	11513 24612	3	   	262.56	DCR|2VULN|3DMG|2TLV|1DUR|2LIT	1aLIT|2aTLV|3DUR|467DMG|5FEWX|8aVULN|9RCR|aBPWR
10	13152 63124	2	 * 	262.10	DCR|5VULN|2TLV|2LIT	1aLIT|24RCVC|3aTLV|5679aVULN|8RCR|aBPWR
11	11241 12152	4	   	261.72	DCR|4VULN|3TLV|1DUR|1AART	1LIT|257TLV|3AART|4569VULN|5BPWR|8DUR|aRCR
12	11243 12152	6	   	261.72	DCR|4VULN|3TLV|1DUR|1AART	1LIT|257TLV|3AART|4569VULN|5BPWR|8DUR|aRCR
13	11243 12152	5	   	261.72	DCR|4VULN|3TLV|1DUR|1AART	1LIT|257TLV|3AART|4569VULN|5BPWR|8DUR|aRCR
14	62161 21431	1	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1FEWX|2AART|379VULN|45DUR|6RCR|8DMG|aTLV
15	35522 14346	4	 * 	261.04	DCR|4VULN|3DMG	1RCVC|28CGEN|3MBVNT|468aVULN|568DMG|68BPWR|7BELT|9RCR
16	11243 24224	10	   	260.41	DCR|3VULN|2DUR|3TLV|2LIT|1AART	18LIT|256TLV|3AART|458VULN|58BPWR|78DUR|9BEXP|aRCR
17	11243 24252	9	   	260.41	DCR|3VULN|2DUR|3TLV|2LIT|1AART	18LIT|256TLV|3AART|458VULN|58BPWR|78DUR|9DMSP|aRCR
18	11243 24262	9	   	260.41	DCR|3VULN|2DUR|3TLV|2LIT|1AART	18LIT|256TLV|3AART|458VULN|58BPWR|78DUR|9RCVC|aRCR
19	11242 24252	8	   	260.31	DCR|3VULN|2DUR|3TLV|2LIT|1AART	18LIT|256TLV|3AART|489VULN|78DUR|8BPWR|aRCR
20	15232 23352	8	   	260.26	DCR|3VULN|3DUR|1TLV|2LIT	19LIT|259DUR|3BEXP|4TLV|69aVULN|7RPLT|8RCR|9BPWR
21	15232 23452	7	   	260.26	DCR|3VULN|3DUR|1TLV|2LIT	19LIT|259DUR|3BEXP|4TLV|69aVULN|7RPLT|8RCR|9BPWR
22	22124 12254	10	 * 	260.20	DCR|4VULN|2CDMG|1TLV|1DUR	19LHND|259aVULN|3RCVC|4TLV|6DUR|7RCR|89CDMG|9BPWR
23	22324 12254	10	   	260.20	DCR|4VULN|2CDMG|1TLV|1DUR	19LHND|259aVULN|3DMSP|4TLV|6DUR|7RCR|89CDMG|9BPWR
24	33224 12254	10	   	260.20	DCR|4VULN|2CDMG|1TLV|1DUR	1RCVC|29LWND|359aVULN|4TLV|6DUR|7RCR|89CDMG|9BPWR
25	11243 14224	10	 * 	259.24	DCR|3VULN|2TLV|1DMG|1DUR|1AART	1LIT|25TLV|3AART|456VULN|5BPWR|7DMG|8BEXP|9DUR|aRCR
26	11243 14315	8	   	259.24	DCR|3VULN|2TLV|1DMG|1DUR|1AART	1LIT|25TLV|3AART|456VULN|5BPWR|7DMG|8ZMB|9RCR|aDUR
27	11243 62315	6	   	259.24	DCR|3VULN|2TLV|1DMG|1DUR|1AART	1LIT|25TLV|3AART|458VULN|5BPWR|6ZMB|7DMG|9RCR|aDUR
28	62161 21352	1	   	258.68	DCR|3VULN|3DUR|1DMG|1AART	1FEWX|2AART|37aVULN|458DUR|6RCR|9DMG
29	62161 21412	1	   	258.68	DCR|3VULN|3DUR|1DMG|1AART	1FEWX|2AART|37aVULN|459DUR|6RCR|8DMG
30	33113 44431	1	   	258.68	DCR|2VULN|3DMG|2DUR|1TLV	1RCVC|248DMG|34DUR|48BPWR|58LWND|68VULN|7RCR|9FEWX|aTLV
31	62522 32263	10	 * 	257.91	DCR|5VULN|2DUR	19FEWX|2489aVULN|3ERES|5DUST|69DUR|7RCR|9BPWR
32	22124 12255	10	 * 	257.62	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	19LHND|259VULN|3RCVC|4TLV|6DUR|7RCR|89CDMG|9BPWR|aDMG
33	22324 12255	10	   	257.62	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	19LHND|259VULN|3DMSP|4TLV|6DUR|7RCR|89CDMG|9BPWR|aDMG
34	33224 12255	10	   	257.62	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	1RCVC|29LWND|359VULN|4TLV|6DUR|7RCR|89CDMG|9BPWR|aDMG
35	12113 24612	1	   	257.18	DCR|2VULN|3DMG|2DUR|2LIT	1aLIT|2aDUR|3CGEN|467DMG|5FEWX|8aVULN|9RCR|aBPWR
36	12116 24612	1	   	257.18	DCR|2VULN|3DMG|2DUR|2LIT	1aLIT|2aDUR|3CGEN|467DMG|5BEXP|8aVULN|9RCR|aBPWR
37	15113 24612	2	   	257.18	DCR|2VULN|3DMG|2DUR|2LIT	1aLIT|2aDUR|3CGEN|467DMG|5FEWX|8aVULN|9RCR|aBPWR
38	15313 24612	3	   	257.08	DCR|2VULN|3DMG|2DUR|2LIT	1aLIT|2aDUR|3ERES|467DMG|5FEWX|8aVULN|9RCR|aBPWR
39	22423 83122	2	   	256.96	DCR|3VULN|2DMG|1CDMG|1ASPD|1AART	18LHND|289VULN|3ASPD|4CDMG|5MBVNT|68DMG|7AART|8BPWR|aRCR
40	23133 52135	10	 * 	256.80	DCR|5VULN|2CDMG|1AART	1LHND|2AART|3579aVULN|45CDMG|5BPWR|6BEXP|8RCR
41	33113 44432	1	   	255.65	DCR|2VULN|3DMG|3DUR	1RCVC|248DMG|34aDUR|48BPWR|58LWND|68VULN|7RCR|9FEWX
42	33115 51126	1	   	255.45	DCR|2VULN|3DMG|3DUR	1RCVC|246DMG|347DUR|48BPWR|58VULN|9LWND|aRCR
43	33115 51226	1	   	255.45	DCR|2VULN|3DMG|3DUR	1RCVC|246DMG|347DUR|4BPWR|58VULN|9LWND|aRCR
44	56324 33123	6	 * 	255.35	DCR|5VULN|1DMG	1ERES|2LIT|35679VULN|4DMSP|8RCR|aDMG
45	32335 44231	3	   	255.15	DCR|3VULN|2DMG|1TLV|1DUR	1RCVC|28MLV|38DMG|4DUST|5TLV|689VULN|7RCR|8BPWR|aDUR
46	23114 31211	3	   	254.95	DCR|4VULN|2DMG|1AART	18LHND|2AART|3689VULN|48DMG|5RPLT|7TBNT|8BPWR|aRCR
47	23114 31211	2	   	254.95	DCR|4VULN|2DMG|1AART	18LHND|2AART|3689VULN|48DMG|5RPLT|7TBNT|8BPWR|aRCR
48	23114 33211	3	   	254.95	DCR|4VULN|2DMG|1AART	18LHND|2AART|3689VULN|48DMG|5RPLT|7BBNT|8BPWR|aRCR
49	23114 33211	2	   	254.95	DCR|4VULN|2DMG|1AART	18LHND|2AART|3689VULN|48DMG|5RPLT|7BBNT|8BPWR|aRCR
50	62114 31211	1	   	254.95	DCR|4VULN|2DMG|1AART	18FEWX|2AART|3689VULN|48DMG|5RPLT|7TBNT|8BPWR|aRCR
51	62114 33211	1	   	254.95	DCR|4VULN|2DMG|1AART	18FEWX|2AART|3689VULN|48DMG|5RPLT|7BBNT|8BPWR|aRCR
52	35522 14347	4	   	254.65	DCR|3VULN|3DMG|1DUR	1RCVC|28CGEN|3MBVNT|468VULN|568DMG|68BPWR|7BELT|9RCR|aDUR
53	22524 12162	9	   	254.52	DCR|4VULN|2DUR|1TLV	1LHND|2458VULN|34ERES|4BPWR|6aDUR|7RCR|9TLV
54	12423 31441	4	   	253.68	DCR|3VULN|3DUR|2LIT|1AART	19LIT|2LHND|3AART|4RMIN|589DUR|69aVULN|7RCR|9BPWR
55	15132 44223	8	   	253.68	DCR|3VULN|3DUR|2LIT|1AART	17LIT|267DUR|3FEWX|4LWND|578VULN|7BPWR|9AART|aRCR
56	15222 44223	9	   	253.68	DCR|3VULN|3DUR|2LIT|1AART	17LIT|267DUR|3BEXP|4FEWX|578VULN|7BPWR|9AART|aRCR
57	11243 24412	9	   	253.66	DCR|3VULN|2DUR|3TLV|1AART	1LIT|256TLV|3AART|458VULN|5BPWR|79DUR|aRCR
58	23112 46478	4	   	253.51	DCR|4VULN|2CDMG|1TLV|1AART	17LHND|2AART|3478VULN|5MBVNT|67CDMG|7BPWR|9TLV|aRCR
59	23114 34422	3	   	253.51	DCR|4VULN|1DMG|1TLV|1AART	1LHND|2AART|3689VULN|4DMG|5RPLT|7TLV|aRCR
60	23114 34422	2	   	253.51	DCR|4VULN|1DMG|1TLV|1AART	1LHND|2AART|3689VULN|4DMG|5RPLT|7TLV|aRCR
61	23133 52124	8	   	253.51	DCR|4VULN|2CDMG|1TLV|1AART	1LHND|2AART|3579VULN|45CDMG|5BPWR|6BEXP|8RCR|aTLV
62	23133 52125	8	   	253.51	DCR|4VULN|2CDMG|1DUR|1AART	1LHND|2AART|3579VULN|45CDMG|5BPWR|6BEXP|8RCR|aDUR
63	23133 52132	10	   	253.51	DCR|4VULN|2CDMG|1DUR|1AART	1LHND|2AART|3579VULN|45CDMG|5BPWR|6BEXP|8RCR|aDUR
64	23133 52134	9	   	253.51	DCR|4VULN|2CDMG|1TLV|1AART	1LHND|2AART|3579VULN|45CDMG|5BPWR|6BEXP|8RCR|aTLV
65	23133 52135	9	   	253.51	DCR|4VULN|2CDMG|1DUR|1AART	1LHND|2AART|3579VULN|45CDMG|5BPWR|6BEXP|8RCR|aDUR
66	33135 14412	1	   	253.48	DCR|3VULN|2DMG|2DUR	1RCVC|28DMG|3aDUR|48LWND|568VULN|7RCR|8BPWR|9DUST
67	62326 32212	8	   	253.48	DCR|3VULN|2DMG|2DUR	149FEWX|28aVULN|3LEGI|5aDMG|6aDUR|7RCR|aBPWR
68	62346 13232	8	   	253.48	DCR|3VULN|2DMG|2DUR	17FEWX|278VULN|3LEGI|4LWND|59DUR|67DMG|7BPWR|aRCR
69	62346 13321	7	   	253.48	DCR|3VULN|2DMG|2DUR	17FEWX|279VULN|3LEGI|4LWND|5aDUR|67DMG|7BPWR|8RCR
70	62354 13321	7	   	253.48	DCR|3VULN|2DMG|2DUR	17FEWX|279VULN|3LEGI|4aDUR|5LHND|67DMG|7BPWR|8RCR
71	21335 13232	9	   	253.38	DCR|3VULN|2DMG|2DUR	17LHND|27DUR|3LEGI|4DUST|589VULN|67DMG|7BPWR|aRCR
72	21532 32152	2	   	253.35	DCR|2VULN|3DUR|2DMG|1CDMG|1NUKE	1LHND|246DUR|36DMG|5NUKE|6BPWR|7aVULN|8CDMG|9RCR
73	22532 32152	1	   	253.35	DCR|2VULN|3DUR|2DMG|1CDMG|1NUKE	1LHND|246DUR|36DMG|5NUKE|6BPWR|7aVULN|8CDMG|9RCR
74	11361 23233	4	 * 	253.32	DCR|2VULN|3DUR|2CDMG|1TLV|2LIT	19LIT|2TLV|39CDMG|4BEXP|58aDUR|69VULN|7RCR|9BPWR
