0	Index      	 *	Score 	Summary	Detail	
1	14431 87144	 * 	202.82	DCR|3VULN|3DMG|1AART|1ZMB	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8LHND|9ZMB|aAART
2	14431 66212	 * 	199.97	DCR|3VULN|2DMG|1AART|2ZMB|1CDMG	18LWND|2MBVNT|358VULN|45DMG|58BPWR|6CDMG|78ZMB|9RCR|aAART
3	14431 87131	 * 	196.37	DCR|4VULN|3DMG|1CDMG	1LWND|2MBVNT|356aVULN|456DMG|56BPWR|7RCR|8LHND|9CDMG
4	14431 66112	   	195.92	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	1LWND|2MBVNT|358VULN|45DMG|5BPWR|6CDMG|7ZMB|9RCR|aAART
5	14431 87114	   	191.82	DCR|3VULN|3DMG|1AART	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8LHND|9CGEN|aAART
6	14431 87444	   	191.82	DCR|3VULN|3DMG|1AART	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|89LIT|aAART
7	14431 42221	 * 	190.85	DCR|5VULN|3DMG	18LWND|2MBVNT|3568aVULN|458DMG|58BPWR|7RCVC|9RCR
8	14431 86221	   	190.75	DCR|5VULN|3DMG	18LWND|2MBVNT|3567aVULN|456DMG|56BPWR|9RCR
9	14431 86411	   	190.75	DCR|5VULN|3DMG	1LWND|2MBVNT|3567aVULN|456DMG|56BPWR|8RPLT|9RCR
10	35613 51122	   	190.52	DCR|3VULN|3DMG|1AART	1RCVC|26aVULN|38aDMG|4AART|5aERES|7BELT|9RCR|aBPWR
11	14431 87132	   	189.21	DCR|3VULN|3DMG|1CDMG|1DUR	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8LHND|9CDMG|aDUR
12	14431 87411	   	189.21	DCR|3VULN|3DMG|1CDMG|1DUR	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8LIT|9DUR|aCDMG
13	14431 42227	   	189.02	DCR|4VULN|3DMG|1ZMB	18LWND|2MBVNT|3568VULN|458DMG|58BPWR|7RCVC|9RCR|aZMB
14	14431 86344	   	188.25	DCR|5VULN|3DMG	1LWND|2MBVNT|35678VULN|456DMG|56BPWR|9ERES|aRCR
15	14431 18744	   	187.07	DCR|3VULN|2DMG|1AART|1ZMB	1LWND|2MBVNT|35aVULN|45DMG|5BPWR|6AART|7ZMB|8RCR|9LHND
16	14431 18742	   	185.07	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1LWND|2MBVNT|35VULN|45DMG|5BPWR|6AART|7ZMB|8RCR|9LHND|aCDMG
17	14431 14217	   	184.92	DCR|3VULN|2DMG|1AART|1CDMG	19LWND|2MBVNT|359VULN|45DMG|59BPWR|6AART|7CDMG|89DUST|aRCR
18	14431 86412	   	184.86	DCR|4VULN|3DMG|1DUR	1LWND|2MBVNT|3567VULN|456DMG|56BPWR|8RPLT|9RCR|aDUR
19	14431 18711	   	184.82	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	1LWND|2MBVNT|35VULN|45DMG|5BPWR|6AART|7ZMB|8RCR|9SELL|aCDMG
20	14431 14277	   	184.82	DCR|3VULN|2DMG|1AART|1CDMG	1LWND|2MBVNT|359VULN|45DMG|5BPWR|6AART|7CDMG|8DUST|aRCR
21	14431 84245	   	184.76	DCR|4VULN|3DMG|1DUR	1LWND|2MBVNT|356aVULN|456DMG|56BPWR|7DUR|8ERES|9RCR
22	14431 87443	   	182.72	DCR|4VULN|3DMG	1LWND|2MBVNT|356aVULN|456DMG|56BPWR|7RCR|89LIT
23	14431 87232	   	182.62	DCR|4VULN|3DMG	1LWND|2MBVNT|356aVULN|456DMG|56BPWR|7RCR|8ERES|9RCVC
24	14431 14637	 * 	182.52	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1LWND|2MBVNT|35VULN|45DMG|5BPWR|6AART|78CDMG|9DUR|aRCR
25	14431 87414	   	182.50	DCR|3VULN|3DMG|1DUR|1ASPD	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8LIT|9DUR|aASPD
26	14431 87134	   	182.27	DCR|3VULN|3DMG|1CDMG	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8LHND|9CDMG|aCGEN
27	14431 18734	   	182.21	DCR|2VULN|2DMG|1AART|2ZMB|1ASPD	1LWND|2MBVNT|35VULN|45DMG|5BPWR|6AART|7aZMB|8RCR|9ASPD
28	14431 87124	   	182.17	DCR|3VULN|3DMG|1CDMG	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8LHND|9LEGI|aCDMG
29	14431 87133	   	182.02	DCR|3VULN|3DMG|1CDMG|1SELL	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8LHND|9CDMG|aSELL
30	35221 33152	 * 	180.67	DCR|4VULN|1AART|1CDMG|1ZMB	1RCVC|2569VULN|3CDMG|4AART|7RCR|8LEGI|aZMB
31	35221 33632	   	180.67	DCR|4VULN|1AART|1CDMG|1ZMB	1RCVC|2569VULN|3CDMG|4AART|7RCR|8DUST|aZMB
32	14431 12427	 * 	180.61	DCR|2VULN|2DMG|2AART|1CDMG	1LWND|2MBVNT|35VULN|45DMG|5BPWR|68AART|7DUST|9CDMG|aRCR
33	14431 14127	   	180.27	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1LWND|2MBVNT|35VULN|45DMG|5BPWR|6AART|7CDMG|8ZMB|9CGEN|aRCR
34	14431 14137	   	180.17	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1LWND|2MBVNT|35VULN|45DMG|5BPWR|6AART|7CDMG|8ZMB|9ERES|aRCR
35	14431 14157	   	180.17	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1LWND|2MBVNT|35VULN|45DMG|5BPWR|6AART|7CDMG|8ZMB|9TLV|aRCR
36	33264 13243	 * 	179.96	ACR|2VULN|1AART|1DMG|2CDMG|3DUR	1RCVC|268DUR|38CDMG|4RCR|58VULN|7MBVNT|8BPWR|9AART|aDMG
37	14431 87142	   	179.62	DCR|3VULN|3DMG|1ZMB	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8LHND|9ZMB|aRPLT
38	14431 87141	   	179.52	DCR|3VULN|3DMG|1ZMB	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8LHND|9ZMB|aCANHEL
39	14431 87143	   	179.52	DCR|3VULN|3DMG|1ZMB	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8LHND|9ZMB|aERES
40	14431 62324	   	178.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17LWND|2MBVNT|35VULN|45DMG|5BPWR|6CDMG|8RCR|9DUR|aAART
41	14431 18731	   	178.36	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1LWND|2MBVNT|35VULN|45DMG|5BPWR|6AART|7ZMB|8RCR|9ASPD|aRCVC
42	14431 18732	   	178.36	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1LWND|2MBVNT|35VULN|45DMG|5BPWR|6AART|7ZMB|8RCR|9ASPD|aCGEN
43	14431 18733	   	178.36	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1LWND|2MBVNT|35VULN|45DMG|5BPWR|6AART|7ZMB|8RCR|9ASPD|aBEXP
44	14431 18743	   	178.36	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1LWND|2MBVNT|35VULN|45DMG|5BPWR|6AART|7ZMB|8RCR|9LHND|aASPD
45	14431 42222	   	178.02	DCR|4VULN|3DMG	18LWND|2MBVNT|3568VULN|458DMG|58BPWR|7RCVC|9RCR|aLIT
46	14431 42224	   	178.02	DCR|4VULN|3DMG	18LWND|2MBVNT|3568VULN|458DMG|58BPWR|7RCVC|9RCR|aCGEN
47	14431 42225	   	178.02	DCR|4VULN|3DMG	18aLWND|2MBVNT|3568VULN|458DMG|58BPWR|7RCVC|9RCR
48	14431 42226	   	178.02	DCR|4VULN|3DMG	18LWND|2MBVNT|3568VULN|458DMG|58BPWR|7RCVC|9RCR|aRMIN
49	14434 82221	   	178.02	DCR|4VULN|3DMG	18LWND|2MBVNT|368aVULN|468DMG|57RCVC|68BPWR|9RCR
50	14431 86222	   	177.92	DCR|4VULN|3DMG	18LWND|2MBVNT|3567VULN|456DMG|56BPWR|9RCR|aLIT
51	14431 86224	   	177.92	DCR|4VULN|3DMG	18LWND|2MBVNT|3567VULN|456DMG|56BPWR|9RCR|aCGEN
52	14431 86414	   	177.92	DCR|4VULN|3DMG	1LWND|2MBVNT|3567VULN|456DMG|56BPWR|8RPLT|9RCR|aCGEN
53	14431 42223	   	177.92	DCR|4VULN|3DMG	18LWND|2MBVNT|3568VULN|458DMG|58BPWR|7RCVC|9RCR|aERES
54	14431 86223	   	177.82	DCR|4VULN|3DMG	18LWND|2MBVNT|3567VULN|456DMG|56BPWR|9RCR|aERES
55	14431 86413	   	177.68	DCR|4VULN|3DMG|1SELL	1LWND|2MBVNT|3567VULN|456DMG|56BPWR|8RPLT|9RCR|aSELL
56	13163 11661	 * 	177.12	DCR|4VULN|1AART|1DMG|1DUR	1LWND|2459VULN|3DUR|6LIT|7DMG|8RCR|aAART
57	14431 66213	   	176.77	DCR|3VULN|2DMG|2ZMB|1CDMG	18LWND|2MBVNT|358VULN|45DMG|58BPWR|6CDMG|78ZMB|9RCR|aBELT
58	14431 66214	   	176.77	DCR|3VULN|2DMG|2ZMB|1CDMG	18LWND|2MBVNT|358VULN|45DMG|58BPWR|6CDMG|78ZMB|9RCR|aFEWX
59	14431 66211	   	176.67	DCR|3VULN|2DMG|2ZMB|1CDMG	18LWND|2MBVNT|358VULN|45DMG|58BPWR|6CDMG|78ZMB|9RCR|aERES
60	35221 33154	   	176.61	DCR|4VULN|1AART|1CDMG|1ASPD	1RCVC|2569VULN|3CDMG|4AART|7RCR|8LEGI|aASPD
61	35221 33634	   	176.61	DCR|4VULN|1AART|1CDMG|1ASPD	1RCVC|2569VULN|3CDMG|4AART|7RCR|8DUST|aASPD
62	35221 33635	   	176.61	DCR|4VULN|1AART|1CDMG|1DUR	1RCVC|2569VULN|3CDMG|4AART|7RCR|8DUST|aDUR
63	14431 14837	   	176.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	18LWND|2MBVNT|35VULN|45DMG|5BPWR|6AART|7CDMG|9DUR|aRCR
64	35221 33533	 * 	176.08	DCR|4VULN|1AART|2CDMG	1RCVC|256aVULN|38CDMG|4AART|7RCR|9RMIN
65	35221 33551	   	176.08	DCR|4VULN|1AART|2CDMG	1RCVC|2569VULN|38CDMG|4AART|7RCR|aFEWX
66	35221 33552	   	176.08	DCR|4VULN|1AART|2CDMG	1RCVC|2569VULN|38CDMG|4AART|7RCR|aLWND
67	35221 33553	   	176.08	DCR|4VULN|1AART|2CDMG	1RCVC|2569VULN|38CDMG|4AART|7RCR|aLIT
68	35221 33326	   	175.63	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|256VULN|3CDMG|4AART|7RCR|8TLV|9LIT|aDMG
69	14431 42286	   	175.62	DCR|4VULN|3DMG	18LWND|2MBVNT|3568VULN|458DMG|58BPWR|7RCVC|9LHND|aRCR
70	14431 87342	   	175.56	DCR|3VULN|3DMG|1DUR	1aLWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8BEXP|9DUR
71	14431 87343	   	175.56	DCR|3VULN|3DMG|1DUR	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8BEXP|9DUR|aLHND
72	14431 87431	   	175.56	DCR|3VULN|3DMG|1ASPD	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8LIT|9ASPD|aLHND
73	14431 87432	   	175.56	DCR|3VULN|3DMG|1ASPD	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8LIT|9ASPD|aFEWX
74	14431 87433	   	175.56	DCR|3VULN|3DMG|1ASPD	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8LIT|9ASPD|aMLV
75	14431 87434	   	175.56	DCR|3VULN|3DMG|1ASPD	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8LIT|9ASPD|aMGNSTR
76	14431 42246	   	175.52	DCR|4VULN|3DMG	18LWND|2MBVNT|3568VULN|458DMG|58BPWR|7RCVC|9DUST|aRCR
77	14431 87211	   	175.46	DCR|3VULN|3DMG|1DUR	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8ERES|9DUR|aMGNLIT
78	14431 87212	   	175.46	DCR|3VULN|3DMG|1DUR	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8ERES|9DUR|aRPLT
79	14431 87214	   	175.46	DCR|3VULN|3DMG|1DUR	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8ERES|9DUR|aRCVC
80	14431 87341	   	175.46	DCR|3VULN|3DMG|1DUR	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8BEXP|9DUR|aAIRHEA
81	14431 87344	   	175.46	DCR|3VULN|3DMG|1DUR	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8BEXP|9DUR|aERES
82	14431 87412	   	175.46	DCR|3VULN|3DMG|1DUR	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8LIT|9DUR|aERES
83	14431 87213	   	175.36	DCR|3VULN|3DMG|1DUR	1LWND|2MBVNT|356VULN|456DMG|56BPWR|7RCR|8aERES|9DUR
84	14434 82227	   	174.92	DCR|3VULN|3DMG|1ZMB	18LWND|2MBVNT|368VULN|468DMG|57RCVC|68BPWR|9RCR|aZMB
85	35613 41122	   	174.87	DCR|3DMG|2VULN|1AART	16RCVC|2aVULN|38aDMG|4AART|5aERES|7BELT|9RCR|aBPWR
86	35221 33434	   	173.61	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1RCVC|256VULN|3CDMG|4AART|7RCR|8ZMB|9CGEN|aASPD
87	12362 51631	   	173.57	DCR|3VULN|2DMG|1AART	1LWND|2LIT|345VULN|6DUST|79DMG|8RCR|aAART
88	12362 63631	   	173.57	DCR|3VULN|2DMG|1AART	1LWND|2LIT|345VULN|69DMG|7DUST|8RCR|aAART
89	13663 11631	   	173.57	DCR|3VULN|2DMG|1AART	1LWND|245VULN|3DUST|6LIT|79DMG|8RCR|aAART
90	35221 33414	   	173.51	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1RCVC|256VULN|3CDMG|4AART|7RCR|8ZMB|9TLV|aASPD
91	35221 33424	   	173.51	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1RCVC|256VULN|3CDMG|4AART|7RCR|8ZMB|9ERES|aASPD
92	35221 13152	   	172.88	DCR|3VULN|1AART|2CDMG|1ZMB	1RCVC|259VULN|36CDMG|4AART|7RCR|8LEGI|aZMB
93	35221 13632	   	172.88	DCR|3VULN|1AART|2CDMG|1ZMB	1RCVC|259VULN|36CDMG|4AART|7RCR|8DUST|aZMB
94	35221 33142	   	172.88	DCR|3VULN|1AART|2CDMG|1ZMB	1RCVC|256VULN|39CDMG|4AART|7RCR|8LEGI|aZMB
95	35221 33522	   	172.88	DCR|3VULN|1AART|2CDMG|1ZMB	1RCVC|256VULN|38CDMG|4AART|7RCR|9DUST|aZMB
96	35221 33642	   	172.88	DCR|3VULN|1AART|2CDMG|1ZMB	1RCVC|256VULN|39CDMG|4AART|7RCR|8DUST|aZMB
