0	Index      	 *	Score 	Summary	Detail	
1	12125 32874	 * 	188.17	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	16aLWND|2aVULN|3ZMB|4MBVNT|5AART|7RCR|8CDMG|9aDMG|aBPWR
2	63111 45333	 * 	187.52	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2BEXP|3ZMB|458aVULN|6DMG|7AART|9RCR
3	64126 34434	   	184.60	DCR|2VULN|2DMG|1AART|2DUR|1ZMB|1SELL	1aDUR|2aVULN|3ZMB|4MBVNT|5DUST|6SELL|7RCR|8AART|9aDMG|aBPWR
4	12111 45533	 * 	184.07	DCR|3VULN|2DMG|1AART|1ZMB	1LWND|24aVULN|3ZMB|5BEXP|68DMG|7AART|9RCR
5	12111 45333	   	180.58	DCR|4VULN|1AART|1DMG|1ZMB	1LWND|248aVULN|3ZMB|5BEXP|6DMG|7AART|9RCR
6	15111 45333	   	180.58	DCR|4VULN|1AART|1DMG|1ZMB	1LWND|2BEXP|3ZMB|458aVULN|6DMG|7AART|9RCR
7	12111 45336	 * 	180.13	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|248VULN|3ZMB|5BEXP|6DMG|7AART|9RCR|aCDMG
8	43322 15233	 * 	178.79	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1SELL	1ASPD|2SELL|3RCR|4CDMG|5BEXP|6aVULN|7AART|8ZMB|9DMG
9	43214 16321	 * 	178.59	DCR|2DMG|1AART|1VULN|2FLTHEA|2ASPD|1SELL	1aASPD|2SELL|3aDMG|4MBVNT|5VULN|6AART|7RCR|8LHND|9aFLTHEA|aBPWR
10	43214 16521	 * 	178.59	DCR|2DMG|1AART|1VULN|2FLTHEA|2ASPD|1SELL	1aASPD|2SELL|3aDMG|4MBVNT|5VULN|6AART|7RCR|8FEWX|9aFLTHEA|aBPWR
11	43214 16821	 * 	178.59	DCR|2DMG|1AART|1VULN|2FLTHEA|2ASPD|1SELL	1aASPD|2SELL|3aDMG|4MBVNT|5VULN|6AART|7RCR|8LWND|9aFLTHEA|aBPWR
12	43315 22324	 * 	178.19	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1SELL	1ASPD|2SELL|3RCR|4DMSP|5ZMB|67DMG|8AART|9CDMG|aVULN
13	63111 45233	 * 	177.27	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	1DUR|2BEXP|38ZMB|45aVULN|6DMG|7AART|9RCR
14	43213 16254	 * 	177.18	DCR|2VULN|1AART|3ASPD|1DMG|2DUR|1SELL	18aASPD|2SELL|3DMG|4MBVNT|5aDUR|6AART|7RCR|9aVULN|aBPWR
15	43214 16264	 * 	177.18	DCR|2VULN|1AART|3ASPD|1DMG|2DUR|1SELL	18aASPD|2SELL|3DMG|4MBVNT|5aVULN|6AART|7RCR|9aDUR|aBPWR
16	43213 16238	 * 	177.18	DCR|2DMG|1AART|1VULN|3ASPD|2DUR|1SELL	189ASPD|2SELL|39DMG|4MBVNT|59DUR|6AART|7RCR|9BPWR|aVULN
17	43214 13621	 * 	176.19	DCR|2DMG|1AART|1VULN|2FLTHEA|2ASPD|1SELL	1aASPD|2SELL|3aDMG|4MBVNT|5VULN|6AART|7BEXP|8RCR|9aFLTHEA|aBPWR
18	43214 18621	 * 	176.19	DCR|2DMG|1AART|1VULN|2FLTHEA|2ASPD|1SELL	1aASPD|2SELL|3aDMG|4MBVNT|5VULN|6AART|7LWND|8RCR|9aFLTHEA|aBPWR
19	12131 46133	 * 	174.82	DCR|3VULN|3DMG|1ZMB	17LWND|257VULN|3ZMB|4LHND|67aDMG|7BPWR|8DUST|9RCR
20	12136 25313	 * 	174.32	ACR|3DMG|2VULN|2DUR|1ZMB	17LWND|27VULN|3ZMB|4LHND|5RCR|67DUR|7BPWR|89aDMG
21	12156 25313	   	174.32	ACR|3DMG|2VULN|2DUR|1ZMB	17LWND|27VULN|3ZMB|4FEWX|5RCR|67DUR|7BPWR|89aDMG
22	61116 52331	   	174.12	ACR|3DMG|2VULN|2DUR|1ZMB	19DUR|2LEGI|3ZMB|49VULN|5RCR|6CGEN|7BASHEA|89aDMG|9BPWR
23	43331 22354	 * 	173.93	ACR|2VULN|2DMG|1AART|1ASPD|1SELL	1ASPD|2SELL|3RCR|4RMIN|5RCVC|67DMG|8AART|9aVULN
24	43255 23121	 * 	173.72	DCR|2VULN|2DMG|1AART|2ASPD|1SELL	15ASPD|2SELL|35DMG|4RPLT|5BPWR|69VULN|7RCR|8LEGI|aAART
25	12121 56247	 * 	173.72	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1LWND|25VULN|3ZMB|4MBVNT|6DMG|7AART|8RCR|9DUR|aFLTHEA
26	12111 45335	   	173.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1LWND|248VULN|3ZMB|5BEXP|6DMG|7AART|9RCR|aDUR
27	63111 45331	   	173.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2aBEXP|3ZMB|458VULN|6DMG|7AART|9RCR
28	63112 45333	   	173.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|25BEXP|3ZMB|48aVULN|6DMG|7AART|9RCR
29	43323 21611	 * 	173.30	ACR|3VULN|1DMG|2ZMB|1CDMG|1ASPD|1SELL	1ASPD|2SELL|3RCR|4CDMG|5aZMB|679VULN|8DMG
