0	Index      	 *	Score 	Summary	Detail	
1	32164 21142	 * 	200.36	DCR|3VULN|2DMG|3ZMB|3CDMG	168ZMB|238CDMG|4LWND|56DMG|68BPWR|789VULN|aRCR
2	34323 52151	 * 	199.55	ACR|3VULN|2AART|2CDMG|2ZMB|2ASPD	18ZMB|26ASPD|368VULN|4RCR|5DMSP|68BPWR|78CDMG|9aAART
3	34323 52114	 * 	197.90	ACR|3VULN|3ZMB|1DMG|2CDMG|2ASPD	18aZMB|26ASPD|368VULN|4RCR|5DMSP|68BPWR|78CDMG|9DMG
4	61222 53353	 * 	190.69	ACR|3VULN|2AART|1DMG|1ZMB|1DUR	1DUR|2MLV|38aVULN|4RCR|5DMG|67AART|9ZMB
5	34323 52111	 * 	190.40	ACR|3VULN|3CDMG|1DMG|2ZMB|2ASPD	18ZMB|26ASPD|368VULN|4RCR|5DMSP|68BPWR|78aCDMG|9DMG
6	34324 52111	   	190.40	ACR|3VULN|3CDMG|1DMG|2ZMB|2ASPD	18ZMB|26ASPD|368VULN|4RCR|5RCVC|68BPWR|78aCDMG|9DMG
7	33614 21421	 * 	189.47	DCR|3VULN|3ZMB|1AART|2CDMG	158ZMB|27LWND|38CDMG|458VULN|58BPWR|6RCR|9RMIN|aAART
8	34323 52152	   	188.10	ACR|3VULN|1AART|2CDMG|2ZMB|2ASPD	18ZMB|26ASPD|368VULN|4RCR|5DMSP|68BPWR|78CDMG|9AART|aLIT
9	34323 52153	   	188.10	ACR|3VULN|1AART|2CDMG|2ZMB|2ASPD	18ZMB|26ASPD|368VULN|4RCR|5DMSP|68BPWR|78CDMG|9AART|aMLV
10	33634 21131	   	185.70	DCR|2VULN|2DMG|3ZMB|2CDMG|1ASPD	168ZMB|248LWND|34CDMG|468BPWR|56DMG|78VULN|9ASPD|aRCR
11	21222 53453	 * 	185.48	ACR|2VULN|2DMG|2AART|1ZMB	1ERES|2DUST|3aVULN|4RCR|58DMG|67AART|9ZMB
