0	Index      	 *	Score 	Summary	Detail	
1	11622 15116	 * 	212.88	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	134VULN|2RCR|57DMG|6ZMB|8DUR|9CDMG|aAART
2	11622 13251	 * 	210.37	ACR|5VULN|1AART|1DMG|1ZMB|1DUR	1348aVULN|2RCR|5DMG|6ZMB|7AART|9DUR
3	11622 13112	 * 	208.09	ACR|4VULN|2DMG|1AART|1ZMB	134aVULN|2RCR|59DMG|6ZMB|7AART|8ERES
4	22215 23625	 * 	207.52	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG|2DUR	1RCVC|28ASPD|3CDMG|48aVULN|5AART|6RCR|78DUR|8BPWR|9DMG
5	11622 15316	   	205.94	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	134VULN|2RCR|57DMG|6ZMB|8BEXP|9CDMG|aAART
6	11622 13613	 * 	205.54	ACR|3VULN|2DMG|2AART|1ZMB	134VULN|2RCR|59DMG|6ZMB|7aAART|8RMIN
7	11622 13254	   	204.48	ACR|4VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1348VULN|2RCR|5DMG|6ZMB|7AART|9DUR|aASPD
8	11622 13211	   	203.43	ACR|5VULN|1AART|1DMG|1ZMB	1348aVULN|2RCR|5DMG|6ZMB|7AART|9LHND
9	11622 13221	   	203.43	ACR|5VULN|1AART|1DMG|1ZMB	1348aVULN|2RCR|5DMG|6ZMB|7AART|9BEXP
10	11622 13261	   	203.43	ACR|5VULN|1AART|1DMG|1ZMB	1348aVULN|2RCR|5DMG|6ZMB|7AART|9FEWX
11	11622 13231	   	203.33	ACR|5VULN|1AART|1DMG|1ZMB	1348aVULN|2RCR|5DMG|6ZMB|7AART|9DUST
12	11622 21622	   	202.48	ACR|3VULN|2DMG|1AART|1CDMG|1DUR	134VULN|2RCR|58DMG|6DUR|7FEWX|9AART|aCDMG
13	11622 13351	 * 	201.40	ACR|4VULN|1AART|1DMG|2ZMB|1DUR	134aVULN|2RCR|5DMG|68ZMB|7AART|9DUR
14	11622 13413	   	201.03	ACR|3VULN|2DMG|1AART|1ZMB|1DUR	134VULN|2RCR|59DMG|6ZMB|7AART|8CGEN|aDUR
15	11222 13251	   	200.95	ACR|4VULN|1AART|1DMG|1ZMB|1DUR	148aVULN|2RCR|3RCVC|5DMG|6ZMB|7AART|9DUR
16	11652 21315	   	200.79	ACR|4VULN|1AART|1DMG|1CDMG|1DUR	137aVULN|2RCR|4DUR|5RMIN|6AART|8DMG|9CDMG
17	11222 15116	   	200.63	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	14VULN|2RCR|3RCVC|57DMG|6ZMB|8DUR|9CDMG|aAART
18	11622 11116	   	200.58	ACR|3VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	134VULN|2RCR|5DMG|6ZMB|78DUR|9CDMG|aAART
19	11622 26116	   	200.58	ACR|3VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	134VULN|2RCR|5DMG|68DUR|7ZMB|9CDMG|aAART
20	11622 21623	   	200.27	ACR|3VULN|2DMG|2AART|1DUR	134VULN|2RCR|58DMG|6DUR|7FEWX|9aAART
21	11423 42231	 * 	200.23	ACR|3DMG|2VULN|2AART|1DUR|1SELL	17VULN|2RCR|3SELL|4DUR|578DMG|67LHND|7BPWR|9aAART
22	11652 21321	   	199.97	ACR|5VULN|1AART|1DMG|1DUR	1379aVULN|2RCR|4DUR|5RMIN|6AART|8DMG
23	54327 41184	 * 	199.76	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	1MBVNT|29aVULN|39FEWX|4DUR|5AART|6CDMG|7RCR|89DMG|9BPWR
24	11622 13551	   	199.45	ACR|4VULN|1AART|1DMG|1ZMB|1DUR	134aVULN|2RCR|5DMG|6ZMB|7AART|8RCVC|9DUR
25	11622 61133	   	199.02	ACR|5VULN|1DMG|1CDMG|1ZMB|1DUR	13468VULN|2RCR|5DMG|7CDMG|9DUR|aZMB
26	11622 61121	 * 	198.66	ACR|5VULN|2DMG|1CDMG	13468VULN|2RCR|5aDMG|7CDMG|9DMSP
27	11652 21331	 * 	198.59	ACR|4VULN|2AART|1DMG|1DUR	137aVULN|2RCR|4DUR|5RMIN|69AART|8DMG
28	11622 61326	   	198.29	ACR|4VULN|1AART|1DMG|1CDMG|1DUR	1346VULN|2RCR|5DMG|7CDMG|8ERES|9DUR|aAART
29	11622 13214	   	197.54	ACR|4VULN|1AART|1DMG|1ZMB|1ASPD	1348VULN|2RCR|5DMG|6ZMB|7AART|9LHND|aASPD
30	11622 13224	   	197.54	ACR|4VULN|1AART|1DMG|1ZMB|1ASPD	1348VULN|2RCR|5DMG|6ZMB|7AART|9BEXP|aASPD
31	11622 13243	   	197.54	ACR|4VULN|1AART|1DMG|1ZMB|1DUR	1348VULN|2RCR|5DMG|6ZMB|7AART|9MLV|aDUR
32	11622 13255	   	197.54	ACR|4VULN|1AART|1DMG|1ZMB|1DUR	1348VULN|2RCR|5DMG|6ZMB|7AART|9DUR|aRPLT
33	11622 13256	   	197.54	ACR|4VULN|1AART|1DMG|1ZMB|1DUR	1348VULN|2RCR|5DMG|6ZMB|7AART|9DUR|aLIT
