0	Index      	 *	Score 	Summary	Detail	
1	13412 33266	 * 	191.82	DCR|3VULN|2DMG|1AART|3DUR	18CGEN|25aVULN|3AART|458DUR|58BPWR|68DMG|7RCVC|9RCR
2	32335 51633	 * 	191.68	DCR|3VULN|3DMG|1AART|1SELL	129LHND|3SELL|49aDMG|579VULN|6AART|8RCR|9BPWR
3	31452 31613	 * 	187.58	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG	1LHND|25ASPD|3AART|457VULN|5BPWR|6CDMG|8RCR|9DMSP|aDMG
4	32335 51632	   	187.03	DCR|3VULN|2DMG|1AART|1ZMB|1SELL	129LHND|3SELL|49DMG|579VULN|6AART|8RCR|9BPWR|aZMB
5	23332 33313	 * 	185.90	DCR|2VULN|2DMG|3ZMB|1AART	1DLOT|2aVULN|34aZMB|5MLV|6CGEN|7AART|8aDMG|9RCR|aBPWR
6	31452 31631	   	185.46	DCR|3VULN|1AART|2ASPD|1CDMG|1ZMB|1DUR	1LHND|25ASPD|3AART|457VULN|5BPWR|6CDMG|8RCR|9ZMB|aDUR
7	31452 31632	 * 	184.83	DCR|3VULN|1AART|2CDMG|2ASPD|1ZMB	1LHND|25ASPD|3AART|457VULN|5BPWR|6aCDMG|8RCR|9ZMB
8	23333 36387	 * 	183.57	DCR|3VULN|3DMG|2ZMB	1DLOT|29aVULN|34ZMB|59aDMG|69aCGEN|7RCR|8MBVNT|9aBPWR
9	23333 26387	   	183.27	DCR|3VULN|3DMG|2ZMB	1DLOT|29aVULN|34ZMB|59aDMG|69aERES|7RCR|8MBVNT|9aBPWR
10	31451 31613	   	180.87	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1LHND|2ASPD|3AART|457VULN|6CDMG|8RCR|9DMSP|aDMG
11	31452 31134	   	180.66	DCR|3VULN|1AART|2ASPD|1CDMG|1ZMB|1DUR	1LHND|25ASPD|3AART|457VULN|5BPWR|6CDMG|8DUR|9ZMB|aRCR
12	23631 51313	 * 	180.43	DCR|2VULN|1AART|1DMG|2ASPD|1FLTHEA|1ZMB	1DLOT|26VULN|3AART|4RMIN|56ASPD|6BPWR|7ZMB|8DMG|9RCR|aFLTHEA
13	23512 53313	   	180.11	DCR|3VULN|2DMG|1AART|1ASPD	1DLOT|23aVULN|4aCGEN|5MLV|6ASPD|7AART|8aDMG|9RCR|aBPWR
14	31451 31631	   	178.75	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1LHND|2ASPD|3AART|457VULN|6CDMG|8RCR|9ZMB|aDUR
15	12143 41431	 * 	178.61	DCR|4VULN|3ZMB|1AART	1CGEN|248ZMB|3457VULN|4BPWR|6AART|9RCR|aBEXP
16	12143 41432	   	178.61	DCR|4VULN|3ZMB|1AART	1CGEN|248ZMB|3457VULN|4BPWR|6AART|9RCR|aLIT
17	12143 41433	   	178.61	DCR|4VULN|3ZMB|1AART	1CGEN|248ZMB|3457VULN|4BPWR|6AART|9RCR|aFEWX
18	31452 31612	   	178.52	DCR|3VULN|1AART|2ASPD|1CDMG|1ZMB	1LHND|25ASPD|3AART|457VULN|5BPWR|6CDMG|8RCR|9DMSP|aZMB
19	31452 31633	   	178.52	DCR|3VULN|1AART|2ASPD|1CDMG|1ZMB	1LHND|25ASPD|3AART|457VULN|5BPWR|6CDMG|8RCR|9ZMB|aLWND
20	31452 31623	   	178.28	DCR|3VULN|1AART|2ASPD|1CDMG|1ZMB|1SELL	1LHND|25ASPD|3AART|457VULN|5BPWR|6CDMG|8RCR|9SELL|aZMB
21	31451 31632	   	178.12	DCR|3VULN|1AART|2CDMG|1ZMB|1ASPD	1LHND|2ASPD|3AART|457VULN|6aCDMG|8RCR|9ZMB
22	23631 25115	 * 	178.06	DCR|2VULN|2DMG|1AART|2ASPD	1DLOT|2aVULN|3AART|4RMIN|5aASPD|6TLV|7RCR|8CANSTR|9aDMG|aBPWR
23	15412 33261	   	176.76	DCR|2VULN|2DMG|1AART|3DUR	18CGEN|2AART|35VULN|458DUR|58BPWR|68DMG|7RCVC|9RCR|aLWND
24	15412 33262	   	176.66	DCR|2VULN|2DMG|1AART|3DUR	18CGEN|2AART|35VULN|458DUR|58BPWR|68DMG|7RCVC|9RCR|aERES
25	15412 33263	   	176.66	DCR|2VULN|2DMG|1AART|3DUR	18CGEN|2AART|35VULN|458DUR|58BPWR|68DMG|7RCVC|9RCR|aDUST
26	13412 33261	   	176.16	DCR|2VULN|2DMG|1AART|3DUR	18CGEN|25VULN|3AART|458DUR|58BPWR|68DMG|7RCVC|9RCR|aLWND
27	13412 33264	   	176.16	DCR|2VULN|2DMG|1AART|3DUR	18CGEN|25VULN|3AART|458DUR|58BPWR|68DMG|7RCVC|9RCR|aRPLT
28	13412 33265	   	176.16	DCR|2VULN|2DMG|1AART|3DUR	18CGEN|25VULN|3AART|458DUR|58BPWR|68DMG|7RCVC|9RCR|aLIT
29	13412 33262	   	176.06	DCR|2VULN|2DMG|1AART|3DUR	18CGEN|25VULN|3AART|458DUR|58BPWR|68DMG|7RCVC|9RCR|aERES
30	13412 33263	   	176.06	DCR|2VULN|2DMG|1AART|3DUR	18CGEN|25VULN|3AART|458DUR|58BPWR|68DMG|7RCVC|9RCR|aDUST
31	32335 51631	   	176.02	DCR|3VULN|2DMG|1AART|1SELL	129LHND|3SELL|49DMG|579VULN|6AART|8RCR|9BPWR|aFEWX
32	12143 43431	 * 	175.95	DCR|3VULN|2AART|3ZMB	1CGEN|248ZMB|345VULN|4BPWR|67AART|9RCR|aBEXP
33	12143 43432	   	175.95	DCR|3VULN|2AART|3ZMB	1CGEN|248ZMB|345VULN|4BPWR|67AART|9RCR|aLIT
34	12143 43433	   	175.95	DCR|3VULN|2AART|3ZMB	1CGEN|248ZMB|345VULN|4BPWR|67AART|9RCR|aFEWX
35	13622 16311	 * 	175.47	DCR|3DMG|2VULN|1AART	1CGEN|24VULN|3RPLT|5RMIN|69aDMG|7AART|8RCR
36	13622 16314	   	175.47	DCR|3VULN|2DMG|1AART	1CGEN|24aVULN|3RPLT|5RMIN|69DMG|7AART|8RCR
37	13621 66311	   	175.37	DCR|3DMG|2VULN|1AART	1CGEN|24VULN|3RPLT|59aDMG|6NUKE|7AART|8RCR
38	12143 12115	 * 	174.97	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	1CGEN|24ZMB|345VULN|4BPWR|6DMG|7AART|8DUR|9RPLT|aRCR
39	22352 31422	   	174.86	DCR|4VULN|3ZMB|1AART|1SELL	1DLOT|29LHND|359ZMB|4579VULN|59BPWR|6SELL|8AART|aRCR
40	65221 26313	   	174.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MLV|2AART|3DUR|4RPLT|5DMG|6CDMG|7ZMB|8aVULN|9RCR
41	31452 31622	   	174.21	DCR|3VULN|1AART|2ASPD|1CDMG|1DUR|1SELL	1LHND|25ASPD|3AART|457VULN|5BPWR|6CDMG|8RCR|9SELL|aDUR
42	31451 31134	   	173.95	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1LHND|2ASPD|3AART|457VULN|6CDMG|8DUR|9ZMB|aRCR
43	23631 31313	   	173.72	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1ASPD	1DLOT|26VULN|3AART|4RMIN|5ASPD|7ZMB|8DMG|9RCR|aFLTHEA
44	23631 51311	   	173.72	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB|1DUR	1DLOT|26VULN|3AART|4RMIN|56ASPD|6BPWR|7ZMB|8DMG|9RCR|aDUR
45	13622 16316	 * 	173.46	DCR|2VULN|2DMG|1AART|1CDMG	1CGEN|24VULN|3RPLT|5RMIN|69DMG|7AART|8RCR|aCDMG
46	23612 32253	   	173.46	DCR|2VULN|2DMG|1AART|3DUR	1DLOT|29VULN|3AART|4LWND|569DUR|79DMG|8LEGI|9BPWR|aRCR
47	12633 31435	   	172.54	DCR|3VULN|3ZMB|1AART|1DUR	1CGEN|238ZMB|4AART|567VULN|9RCR|aDUR
