0	Index      	 *	Score 	Summary	Detail	
1	13531 14411	 * 	195.46	DCR|3VULN|2AART|2DMG|1DUR	1RCVC|24DMG|39AART|4BPWR|578VULN|6DUR|aRCR
2	13531 14363	 * 	195.41	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1RCVC|24DMG|3AART|4BPWR|57VULN|6DUR|8CDMG|9RCR|aZMB
3	35622 11642	 * 	193.22	DCR|3VULN|3DMG|1AART	19aVULN|2DMSP|3LIT|49aMLV|5MBVNT|69aDMG|7RCR|8AART|9aBPWR
4	34236 13263	 * 	193.14	ACR|3DMG|2VULN|1AART|2ZMB	1aVULN|2aZMB|3AART|4LWND|5RCR|6VENICY|79aDMG|8LEGI|aBPWR
5	34623 23321	 * 	192.78	DCR|2VULN|2AART|1DMG|2CDMG|1ZMB|1DUR	13VULN|2ZMB|49CDMG|5aAART|6DUR|7DMG|8RCR
6	13516 36312	 * 	191.98	DCR|2AART|2DMG|1VULN|2CDMG|1ASPD	1RCVC|2aDMG|35AART|4aLIT|6RCR|7ASPD|8VULN|9aCDMG|aBPWR
7	34313 16633	 * 	190.85	4VULN|3DMG|3ZMB|1AART|1CDMG	1689VULN|289ZMB|3ERES|4AART|5CGEN|789DMG|89BPWR|aCDMG
8	34623 23312	 * 	190.67	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	13aVULN|2ZMB|4CDMG|5AART|6DUR|7DMG|8RCR|9LIT
9	34623 23342	   	190.67	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	13aVULN|2ZMB|4CDMG|5AART|6DUR|7DMG|8RCR|9BELT
10	34313 16632	 * 	190.03	5VULN|3DMG|3ZMB|1AART	1689aVULN|289ZMB|3ERES|4AART|5CGEN|789DMG|89BPWR
11	33431 11622	 * 	189.82	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	1aVULN|2CGEN|3RCR|4aDUR|5TLV|6CDMG|7aDMG|8BELT|9AART|aBPWR
12	13533 24411	   	188.52	DCR|3VULN|2AART|2DMG	1RCVC|24DMG|39AART|4BPWR|5FEWX|678VULN|aRCR
13	13533 24363	   	188.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1RCVC|24DMG|3AART|4BPWR|5FEWX|67VULN|8CDMG|9RCR|aZMB
14	13531 23411	   	188.42	DCR|3VULN|2AART|2DMG	1RCVC|24DMG|39AART|4BPWR|568VULN|7DUST|aRCR
15	13531 23363	   	188.37	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1RCVC|24DMG|3AART|4BPWR|56VULN|7DUST|8CDMG|9RCR|aZMB
16	34623 23324	 * 	187.37	DCR|2VULN|1AART|3CDMG|1DMG|1ZMB|1DUR	13VULN|2ZMB|49aCDMG|5AART|6DUR|7DMG|8RCR
17	34623 23322	   	186.62	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ZMB	13VULN|2ZMB|49CDMG|5AART|6aDUR|7DMG|8RCR
18	34236 35112	   	185.87	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	16VULN|2ZMB|3AART|4LWND|5RCR|79DMG|8aDUR
19	13531 14431	   	185.48	DCR|3VULN|2DMG|1AART|1DUR	19RCVC|24DMG|3AART|4BPWR|578VULN|6DUR|aRCR
20	34236 32533	 * 	185.35	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	168VULN|2ZMB|3AART|47LWND|5RCR|9CDMG|aDMG
21	33413 25642	 * 	185.23	ACR|4VULN|3ZMB|1AART	179aVULN|2CGEN|3RCR|49aZMB|59aLIT|6MBVNT|8AART|9aBPWR
22	33411 43432	 * 	185.05	ACR|2VULN|1AART|1DMG|2ASPD|1FLTHEA|1ZMB	17VULN|2CGEN|3RCR|4ZMB|5aASPD|6FLTHEA|8AART|9DMG
23	34236 35211	   	184.43	ACR|2VULN|2DMG|1AART|2ZMB|1ASPD	16VULN|29ZMB|3AART|4LWND|5RCR|7aDMG|8ASPD
24	13531 14361	   	184.41	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RCVC|24DMG|3AART|4BPWR|57VULN|6DUR|8CDMG|9RCR|aCGEN
25	13531 14362	   	184.41	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RCVC|24DMG|3AART|4BPWR|57VULN|6DUR|8CDMG|9RCR|aLHND
26	33433 33361	   	183.60	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	16VULN|2CGEN|3RCR|49DUR|5aDMG|7ASPD|8AART
27	34236 35322	 * 	183.05	ACR|2AART|2VULN|1DMG|1FLTHEA|1ZMB	16VULN|2ZMB|39AART|4LWND|5RCR|7DMG|8RCVC|aFLTHEA
28	13516 33362	   	182.57	DCR|2AART|2VULN|2DMG	1RCVC|2aDMG|35AART|4LIT|6RCR|7LEGI|8aVULN|9aCGEN|aBPWR
29	13516 33352	   	182.37	DCR|2AART|2VULN|2DMG	1RCVC|2aDMG|35AART|4LIT|6RCR|7LEGI|8aVULN|9aTLV|aBPWR
30	34623 23333	   	181.96	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	13VULN|2ZMB|4CDMG|5AART|6DUR|7DMG|8RCR|9BEXP|aASPD
31	34236 35113	   	181.88	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	16VULN|2ZMB|3AART|4LWND|5RCR|79DMG|8DUR|aRCVC
32	13531 22411	   	181.88	DCR|2AART|2VULN|2DMG|1DUR	17RCVC|24DMG|39AART|4BPWR|56VULN|8DUR|aRCR
33	13531 14111	   	181.58	DCR|2AART|2VULN|2DMG|1DUR	18RCVC|24DMG|39AART|4BPWR|57VULN|6DUR|aRCR
34	34623 23323	   	181.33	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1DUR	13VULN|2ZMB|49CDMG|5AART|6DUR|7DMG|8RCR|aFEWX
35	34623 23325	   	181.33	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB|1DUR	13VULN|2ZMB|49CDMG|5AART|6DUR|7DMG|8RCR|aLWND
36	34623 23326	   	181.23	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1DUR	13VULN|2ZMB|49CDMG|5AART|6DUR|7DMG|8RCR|aDUST
37	34222 32243	   	180.92	DCR|2VULN|2DMG|1AART|1ZMB	1aVULN|2ZMB|3AART|4aBEXP|5RCVC|6RCR|7AIRHEA|8LWND|9aDMG|aBPWR
38	34222 35262	 * 	180.74	DCR|2VULN|1AART|1DMG|2ZMB|1FLTHEA	19VULN|29ZMB|3AART|4BEXP|5RCVC|6RCR|7DMG|89DUST|9BPWR|aFLTHEA
39	33432 33436	 * 	180.48	ACR|2VULN|2DMG|1AART|3DUR	17VULN|2CGEN|3RCR|456DUR|8AART|9aDMG
40	34236 35111	   	180.47	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	16VULN|2ZMB|3AART|4LWND|5RCR|79DMG|8DUR|aDUST
41	33411 61331	   	179.84	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	178VULN|2CGEN|3RCR|4ZMB|5ASPD|6LHND|9AART|aDMG
42	33416 31331	   	179.84	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	178VULN|2CGEN|3RCR|4ZMB|5DUR|6MLV|9AART|aDMG
43	33416 61331	   	179.74	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	178VULN|2CGEN|3RCR|4ZMB|5DUR|6TLV|9AART|aDMG
44	33432 43432	   	179.67	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR|1ASPD	17VULN|2CGEN|3RCR|45DUR|6FLTHEA|8AART|9DMG|aASPD
45	34151 12633	 * 	179.60	DCR|3VULN|1AART|2ASPD|2DUR|1ZMB	15aVULN|2ZMB|3aASPD|4MGNLIT|6RCR|7AART|8LWND|9aDUR|aBPWR
46	34252 33533	   	178.96	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	18VULN|2ZMB|3AART|4LHND|57RCVC|6RCR|9CDMG|aDMG
