0	Index      	 *	Score 	Summary	Detail	
1	25234 11141	 * 	190.85	DCR|5VULN|3DMG	1568aVULN|2LIT|3aMLV|456DMG|56aBPWR|7aDUST|9RCR
2	25234 12433	   	187.36	DCR|4VULN|3DMG|1DUR	1569VULN|2LIT|3MLV|456DMG|56BPWR|7RCVC|8RCR|aDUR
3	23433 52622	 * 	185.45	DCR|3VULN|1AART|1DMG|2CDMG|1ZMB	138VULN|28LWND|4LIT|5AART|6DMG|78CDMG|8BPWR|9ZMB|aRCR
4	21433 62622	   	184.55	DCR|3VULN|1AART|2CDMG|2DUR|1ZMB|1ASPD	138VULN|28DUR|4LIT|5AART|6ASPD|78CDMG|8BPWR|9ZMB|aRCR
5	23433 32642	   	181.38	DCR|3VULN|1AART|1DMG|2CDMG|1ASPD	138VULN|28LWND|4LIT|5AART|6ASPD|78CDMG|8BPWR|9DMG|aRCR
6	24353 43233	 * 	180.85	DCR|3VULN|2AART|2ZMB|2DUR	15aVULN|25ZMB|3RPLT|49AART|5aBPWR|6aLWND|7RCR|8aDUR
7	25234 12421	   	180.62	DCR|4VULN|3DMG	156aVULN|2LIT|3aMLV|456DMG|56aBPWR|7RCVC|8RCR|9aFEWX
8	25234 12411	   	180.42	DCR|4VULN|3DMG	156aVULN|2LIT|3aMLV|456DMG|56aBPWR|7RCVC|8RCR|9aDUST
9	25234 12432	   	180.42	DCR|4VULN|3DMG	1569VULN|2LIT|3MLV|456DMG|56BPWR|7RCVC|8RCR|aBEXP
10	25234 12431	   	180.32	DCR|4VULN|3DMG	1569VULN|2LIT|3MLV|456DMG|56BPWR|7RCVC|8RCR|aERES
11	33436 31523	 * 	178.71	DCR|4VULN|1AART|1CDMG|1ZMB|1DUR	1BELT|2346VULN|5ZMB|7AART|8CDMG|9DUR|aRCR
12	25234 11341	   	178.02	DCR|4VULN|3DMG	156aVULN|2LIT|3aMLV|456DMG|56aBPWR|7aDUST|8RCVC|9RCR
13	25234 12141	   	178.02	DCR|4VULN|3DMG	156aVULN|2LIT|3aMLV|456DMG|56aBPWR|7RCVC|8aDUST|9RCR
14	25234 11142	   	177.92	DCR|4VULN|3DMG	1568VULN|2LIT|3MLV|456DMG|56BPWR|7DUST|9RCR|aLWND
15	25234 11143	   	177.92	DCR|4VULN|3DMG	1568VULN|2LIT|3MLV|456DMG|56BPWR|7DUST|9RCR|aBEXP
16	23341 52513	   	175.19	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	1aVULN|2LWND|3aBEXP|4ZMB|5DMG|6RMIN|7RCR|8AART|9aCDMG|aBPWR
17	24121 52513	   	175.19	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	1aVULN|2ZMB|3aLWND|4BEXP|5DMG|6RMIN|7RCR|8AART|9aCDMG|aBPWR
18	56313 11321	 * 	174.82	DCR|3DMG|2VULN|2CDMG|1ASPD|1SELL	1SELL|26aDMG|3aVULN|4ASPD|56CDMG|6aBPWR|7RCVC|8aERES|9RCR
19	33432 31523	   	174.65	DCR|4VULN|1AART|1CDMG|1ASPD|1DUR	1BELT|2346VULN|5ASPD|7AART|8CDMG|9DUR|aRCR
20	33432 55222	   	173.71	DCR|4VULN|1AART|1CDMG|1ASPD	1BELT|2348VULN|5ASPD|6RPLT|7RCR|9AART|aCDMG
21	33463 31523	   	173.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1BELT|236VULN|4DMG|5DMSP|7AART|8CDMG|9DUR|aRCR
22	56313 52121	 * 	173.21	DCR|3VULN|2DMG|1CDMG|1ASPD|1SELL	1SELL|28DMG|38aVULN|4ASPD|5CDMG|68DUST|7RCR|8BPWR|9LWND
23	56313 52122	 * 	173.21	DCR|3DMG|2VULN|1CDMG|1ASPD|1SELL	1SELL|28aDMG|38VULN|4ASPD|5CDMG|68DUST|7RCR|8BPWR|9LWND
24	33422 25223	   	172.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1BELT|238VULN|4DUR|5LHND|6DMG|7CDMG|9AART|aRCR
25	23433 32622	   	172.32	DCR|3VULN|1AART|2CDMG|1ZMB|1ASPD	138VULN|28LWND|4LIT|5AART|6ASPD|78CDMG|8BPWR|9ZMB|aRCR
26	33436 31533	   	171.77	DCR|4VULN|1AART|1CDMG|1ZMB	1BELT|2346VULN|5ZMB|7AART|8CDMG|9LHND|aRCR
27	23621 53623	 * 	171.37	DCR|3DMG|2VULN|1AART	17VULN|27LWND|3FEWX|4CGEN|579DMG|6AART|7BPWR|8VENICY|aRCR
28	21414 13216	 * 	171.31	DCR|3VULN|2DMG|3DUR	13aVULN|27aDUR|4TLV|5LEGI|6RCR|8MLV|9aDMG|aBPWR
29	33436 31222	 * 	170.95	DCR|5VULN|1AART|1ZMB	1BELT|23468VULN|5ZMB|7AART|9LIT|aRCR
30	21226 23116	 * 	170.87	ACR|2VULN|2DMG|1AART|2DUR	18VULN|28DUR|3CGEN|4BEXP|5RCR|6RPLT|78DMG|8BPWR|9LHND|aAART
31	56113 12316	 * 	170.82	DCR|2VULN|2DMG|2ASPD|1CDMG|1FLTHEA|1SELL	1SELL|28DMG|3LWND|48ASPD|5CDMG|6FLTHEA|78VULN|8BPWR|9RCVC|aRCR
32	56113 12332	 * 	170.82	DCR|2VULN|2DMG|2ASPD|1CDMG|1FLTHEA|1SELL	1SELL|28DMG|3LWND|48ASPD|5CDMG|6FLTHEA|78VULN|8BPWR|9LSRICY|aRCR
33	56113 12342	 * 	170.82	DCR|2VULN|2DMG|1FLTHEA|2ASPD|1CDMG|1SELL	1SELL|28DMG|3LWND|48ASPD|5CDMG|6FLTHEA|78VULN|8BPWR|9MGNLIT|aRCR
34	21226 23136	   	170.77	ACR|2VULN|2DMG|1AART|2DUR	18VULN|28DUR|3CGEN|4BEXP|5RCR|6RPLT|78DMG|8BPWR|9DUST|aAART
35	21336 23116	   	170.77	ACR|2VULN|2DMG|1AART|2DUR	18VULN|28DUR|3BEXP|4ERES|5RCR|6RPLT|78DMG|8BPWR|9LHND|aAART
36	21336 23136	   	170.67	ACR|2VULN|2DMG|1AART|2DUR	18VULN|28DUR|3BEXP|4ERES|5RCR|6RPLT|78DMG|8BPWR|9DUST|aAART
37	24353 13151	 * 	170.62	DCR|3VULN|1AART|2ZMB|1CDMG	15aVULN|25ZMB|3RPLT|4AART|5BPWR|6BEXP|7RCR|8BELT|9CDMG
38	34635 32432	 * 	170.07	DCR|3VULN|2DMG|1AART	1BELT|2RPLT|36DMG|467VULN|5MBVNT|6BPWR|8AART|9LWND|aRCR
39	23533 52622	   	169.79	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	18VULN|28LWND|3RCVC|4LIT|5AART|6DMG|78CDMG|8BPWR|9ZMB|aRCR
40	24353 43213	   	169.40	DCR|3VULN|1AART|2ZMB|2DUR	15aVULN|25ZMB|39RPLT|4AART|5aBPWR|6aLWND|7RCR|8aDUR
41	21223 12622	   	169.14	DCR|3VULN|2DMG|1ASPD|1DUR	159VULN|2DUR|3CGEN|4BEXP|6RCR|7ASPD|8aDMG
42	21263 12622	   	169.14	DCR|3VULN|2DMG|1ASPD|1DUR	159VULN|2DUR|3CGEN|4FEWX|6RCR|7ASPD|8aDMG
43	21623 12622	   	169.14	DCR|3VULN|2DMG|1ASPD|1DUR	159VULN|2DUR|3FEWX|4CGEN|6RCR|7ASPD|8aDMG
