0	Index      	 *	Score 	Summary	Detail	
1	21112 64113	 * 	188.74	DCR|4VULN|2DMG|2DUR|1ASPD	1aDUR|2BEXP|379aVULN|4ASPD|5FEWX|6RCR|8aDMG|aBPWR
2	21113 16113	 * 	184.36	ACR|4VULN|2DMG|2DUR|1ASPD	1aDUR|2BEXP|369aVULN|4ASPD|5RCR|7LHND|8aDMG|aBPWR
3	21113 11113	   	184.26	ACR|4VULN|2DMG|2DUR|1ASPD	1aDUR|2BEXP|369aVULN|4ASPD|5RCR|7DUST|8aDMG|aBPWR
4	21113 44113	   	184.26	ACR|4VULN|2DMG|2DUR|1ASPD	1aDUR|2BEXP|379aVULN|4ASPD|5RCR|6DUST|8aDMG|aBPWR
5	15331 11152	 * 	181.96	ACR|3VULN|1AART|1DMG|2CDMG	17FEWX|2ERES|3RCR|47CDMG|578VULN|6RPLT|7BPWR|9AART|aDMG
6	15331 11142	 * 	181.64	ACR|4VULN|3CDMG|1AART	179FEWX|2ERES|3RCR|479CDMG|5789VULN|6RPLT|79BPWR|aAART
7	21112 62613	 * 	178.45	DCR|3VULN|2DMG|3DUR|1ASPD	18aDUR|2BEXP|39aVULN|4ASPD|5FEWX|6RCR|7aDMG|aBPWR
8	21133 54241	 * 	176.87	ACR|3VULN|2DMG|1CDMG|2DUR	19DUR|2BEXP|379VULN|4MLV|5RCR|6AIRHEL|89DMG|9BPWR|aCDMG
9	21123 54241	   	176.77	ACR|3VULN|2DMG|1CDMG|2DUR	19DUR|2BEXP|379VULN|4TLV|5RCR|6AIRHEL|89DMG|9BPWR|aCDMG
10	21113 26622	 * 	176.61	ACR|3VULN|2AART|1CDMG|1ASPD|1DUR	1DUR|2BEXP|379VULN|4ASPD|5RCR|6CDMG|8aAART
11	51113 15152	 * 	175.99	ACR|3VULN|2AART|1DMG|1ASPD	1DUST|2BEXP|367VULN|4ASPD|5RCR|89AART|aDMG
12	21112 64135	 * 	175.36	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUR|2BEXP|37aVULN|4ASPD|5FEWX|6RCR|8DMG|9AART
13	21113 16133	 * 	174.07	ACR|3VULN|2DMG|3DUR|1ASPD	19aDUR|2BEXP|36aVULN|4ASPD|5RCR|7LHND|8aDMG|aBPWR
14	21113 42613	   	173.97	ACR|3VULN|2DMG|3DUR|1ASPD	18aDUR|2BEXP|39aVULN|4ASPD|5RCR|6DUST|7aDMG|aBPWR
15	26511 11152	   	173.89	ACR|3VULN|1AART|1DMG|2DUR|1SELL	17DUR|2SELL|3RCR|47ERES|578VULN|6RPLT|7BPWR|9AART|aDMG
16	15325 26322	 * 	172.47	ACR|2VULN|2DMG|1AART|1ASPD	1FEWX|2ERES|3RCR|4CGEN|58VULN|6AART|7ASPD|9aDMG
17	51113 15124	   	171.48	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUST|2BEXP|367VULN|4ASPD|5RCR|8AART|9DMG|aDUR
18	51323 14113	 * 	171.37	ACR|3VULN|2DMG|2ASPD|1DUR	1aDUST|2BEXP|3aASPD|4DUR|5RCR|679VULN|8aDMG|aBPWR
19	21133 13352	   	171.27	ACR|2VULN|2DMG|1AART|2DUR	17DUR|2BEXP|36VULN|4MLV|5RCR|8aDMG|9AART
20	51335 15123	 * 	171.23	ACR|3DMG|2VULN|1ZMB|1ASPD	1aDUST|2aBEXP|3ASPD|4RCR|589DMG|6ZMB|7aVULN|aBPWR
21	21123 13352	   	171.17	ACR|2VULN|2DMG|1AART|2DUR	17DUR|2BEXP|36VULN|4TLV|5RCR|8aDMG|9AART
22	21113 11135	   	170.88	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUR|2BEXP|36aVULN|4ASPD|5RCR|7DUST|8DMG|9AART
