0	Index      	 *	Score 	Summary	Detail	
1	12551 15323	 * 	191.60	ACR|3VULN|3DMG|3ASPD	159LWND|28aASPD|3RCR|4BELT|69aVULN|79aDMG|9aBPWR
2	41221 43225	 * 	191.58	DCR|3DMG|2VULN|3ASPD|3DUR	19aDUR|28VULN|39aDMG|4LIT|5LHND|6RCR|79aASPD|9aBPWR
3	41133 22435	 * 	190.45	DCR|5VULN|1AART|1DMG|1DUR	1DUR|2468aVULN|3BASICY|5AART|7DMG|9RCR
4	24323 81425	 * 	189.57	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68DMG|78DUR|8BPWR|9aVULN
5	41433 14223	 * 	188.66	DCR|4VULN|1DMG|1CDMG|2DUR|1ZMB	15DUR|247aVULN|3CDMG|6RCR|8ZMB|9DMG
6	63622 11225	 * 	188.09	DCR|4VULN|3ASPD|1DMG|3DUR	19aASPD|2LHND|389aVULN|4LIT|5DMG|6RCR|79aDUR|9aBPWR
7	24323 81421	 * 	187.63	ACR|3DMG|1AART|1VULN|2DUR|1ZMB	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68aDMG|78DUR|8BPWR|9VULN
8	65113 11223	 * 	186.86	DCR|3VULN|1AART|1DMG|2ASPD|2DUR	19ASPD|2LIT|389VULN|4FEWX|5DMG|6RCR|79DUR|9BPWR|aAART
9	42561 22232	   	186.00	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	19DUR|2ASPD|3RCR|4AART|58VULN|6BELT|7aDMG
10	24323 81411	 * 	185.63	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	1AART|28CGEN|3ZMB|4RCR|5MBVNT|68DMG|78DUR|8BPWR|9CDMG|aVULN
11	12553 15223	   	185.29	ACR|3VULN|3DMG|2ASPD	189LWND|2aASPD|3RCR|4BELT|5RCVC|69aVULN|79aDMG|9aBPWR
12	42561 11323	 * 	184.72	ACR|4VULN|1AART|2ASPD|2DUR	17DUR|26ASPD|3RCR|4AART|569aVULN|6BPWR|8LEGI
13	42561 11111	 * 	184.37	ACR|3VULN|1AART|2ASPD|1CDMG|2DUR	17DUR|26ASPD|3RCR|4AART|56aVULN|6BPWR|8FEWX|9CDMG
