0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13211 24514	9	 * 	296.66	橙4易伤3伤害3暴击1卖塔	1随机矿2卖塔379a易伤4全技能59a暴击69a伤害8核9a序列升级
2	13211 26514	9	 * 	281.79	橙3易伤3伤害3暴击2全技能1卖塔	1随机矿2卖塔39a易伤47全技能59a暴击69a伤害8核9a序列升级
3	13211 62514	9	 * 	281.79	橙3易伤3伤害3暴击2全技能1卖塔	1随机矿2卖塔39a易伤46全技能59a暴击79a伤害8核9a序列升级
4	13213 32514	9	 * 	281.79	橙3易伤3伤害3暴击2全技能1卖塔	1随机矿2卖塔39a易伤45全技能69a暴击79a伤害8核9a序列升级
5	16513 32423	10	 * 	277.81	橙3易伤3时间2伤害1攻速	1随机矿24a时间36a易伤5攻速7核8矿等9a伤害a序列升级
6	14413 32423	10	   	277.81	橙3易伤3时间2伤害1攻速	1随机矿26a易伤34a时间5攻速7核8矿等9a伤害a序列升级
7	14133 66131	2	 * 	277.09	橙4易伤3伤害1时间	1随机矿2378易伤47挖尘567伤害7序列升级9时间a核
8	14432 32423	10	 * 	276.22	橙4易伤2伤害2时间	1随机矿256a易伤3a时间4策反7核8矿等9a伤害a序列升级
9	16532 32423	10	   	276.22	橙4易伤2伤害2时间	1随机矿2a时间356a易伤4策反7核8矿等9a伤害a序列升级
10	13212 32514	9	 * 	274.02	橙3易伤3伤害3暴击1卖塔	1随机矿2卖塔39a易伤4全技能5立即金币69a暴击79a伤害8核9a序列升级
11	13211 21513	9	 * 	273.92	橙3易伤3伤害3暴击1卖塔	1随机矿2卖塔39a易伤4全技能579暴击69a伤害8核9a序列升级
12	62126 24232	1	   	272.54	橙4易伤2伤害1时间1攻速	18低血量敌人28伤害3478易伤5赏金邻近6核8序列升级9时间a攻速
13	63326 24232	2	   	272.54	橙4易伤2伤害1时间1攻速	18低血量敌人2478易伤38伤害5赏金邻近6核8序列升级9时间a攻速
14	62126 32235	1	 * 	271.76	橙4易伤3时间1伤害	18低血量敌人2伤害3468易伤5赏金邻近789时间8序列升级a核
15	12166 31125	2	 * 	269.24	橙3易伤3伤害2时间	1随机矿29最后敌人356易伤459伤害59序列升级79时间8赏金邻近a核
16	13166 31125	1	   	269.24	橙3易伤3伤害2时间	1随机矿29最后敌人356易伤459伤害59序列升级79时间8赏金邻近a核
17	35323 66123	1	   	269.24	橙3易伤3伤害2时间	1立即金币2随机矿37时间478易伤567伤害7序列升级9矿等a核
18	35323 66123	2	   	269.24	橙3易伤3伤害2时间	1立即金币2随机矿37时间478易伤567伤害7序列升级9矿等a核
19	14113 61125	2	   	269.14	橙3易伤3伤害2时间	1随机矿239易伤4最后敌人569伤害79时间8赏金邻近9序列升级a核
20	14213 31125	4	   	269.14	橙3易伤3伤害2时间	1随机矿279易伤3基地爆炸49时间569伤害8赏金邻近9序列升级a核
21	14214 31125	5	   	269.14	橙3易伤3伤害2时间	1随机矿279易伤3基地爆炸49时间569伤害8赏金邻近9序列升级a核
22	14243 31125	3	   	269.14	橙3易伤3伤害2时间	1随机矿279易伤3基地爆炸49时间569伤害8赏金邻近9序列升级a核
23	35323 66111	1	   	269.14	橙3易伤3伤害2时间	1立即金币2随机矿37时间478易伤567伤害7序列升级9挖尘a核
24	35323 66111	2	   	269.14	橙3易伤3伤害2时间	1立即金币2随机矿37时间478易伤567伤害7序列升级9挖尘a核
25	14343 31125	2	   	269.04	橙3易伤3伤害2时间	1随机矿279易伤3挖尘49时间569伤害8赏金邻近9序列升级a核
26	13211 24511	9	 * 	268.38	橙3易伤2伤害2暴击1等级1卖塔	1随机矿2卖塔379易伤4全技能59暴击69伤害8核9序列升级a等级
27	13211 24512	10	 * 	268.38	橙3易伤2伤害2暴击1等级1卖塔	1随机矿2卖塔379易伤4全技能59暴击69伤害8核9序列升级a等级
28	13211 24512	9	 * 	268.38	橙3易伤2伤害2暴击1时间1卖塔	1随机矿2卖塔379易伤4全技能59暴击69伤害8核9序列升级a时间
29	35323 36363	2	   	267.13	橙3易伤2伤害2时间1暴击	1立即金币2随机矿37时间467易伤57伤害7序列升级8掉矿9核a暴击
30	35323 36363	1	   	267.13	橙3易伤2伤害2时间1暴击	1立即金币2随机矿37时间467易伤57伤害7序列升级8掉矿9核a暴击
31	14431 34223	10	   	266.81	橙3易伤3时间2伤害	1随机矿28a易伤37a时间4策反5金币生成6核9a伤害a序列升级
32	16531 34223	10	   	266.81	橙3易伤3时间2伤害	1随机矿27a时间38a易伤4策反5金币生成6核9a伤害a序列升级
33	14413 33125	4	   	266.71	橙3易伤3时间2伤害	1随机矿268易伤348时间58伤害7赏金邻近8序列升级9金币生成a核
34	16143 33125	2	   	266.71	橙3易伤3时间2伤害	1随机矿248时间368易伤58伤害7赏金邻近8序列升级9金币生成a核
35	16423 33125	3	   	266.71	橙3易伤3时间2伤害	1随机矿238时间468易伤58伤害7赏金邻近8序列升级9金币生成a核
36	16513 33125	4	   	266.71	橙3易伤3时间2伤害	1随机矿248时间368易伤58伤害7赏金邻近8序列升级9金币生成a核
37	35323 36361	1	   	266.71	橙3易伤3时间2伤害	1立即金币2随机矿37a时间467易伤57伤害7序列升级8掉矿9核
38	35323 36361	2	   	266.71	橙3易伤3时间2伤害	1立即金币2随机矿37a时间467易伤57伤害7序列升级8掉矿9核
39	63326 32235	2	   	266.71	橙3易伤3时间2伤害	18低血量敌人246易伤38伤害5赏金邻近789时间8序列升级a核
