0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26348 34431	9	 * 	277.19	橙4易伤3伤害1时间	1双倍矿2立即金币3加一467伤害5678易伤67序列升级9核a时间
2	26348 34154	8	   	268.20	橙3易伤3伤害1时间1暴击	1双倍矿2立即金币3加一467伤害567易伤67序列升级8暴击9时间a核
3	26348 34174	9	   	268.20	橙3易伤3伤害1时间1暴击	1双倍矿2立即金币3加一467伤害567易伤67序列升级8暴击9时间a核
4	62523 12314	8	 * 	263.83	橙2易伤2伤害2时间2暴击2全技能1卖塔	1卖塔23全技能48伤害58时间6核78暴击8序列升级9a易伤
5	23242 41611	6	 * 	263.49	橙5易伤1伤害1时间	1双倍矿27基地爆炸34567易伤7序列升级8时间9伤害a核
6	11233 34631	1	   	263.46	橙3易伤2伤害1等级1时间	1策反267易伤3基地爆炸4雷电56伤害6序列升级8等级9核a时间
7	11533 34631	1	   	263.46	橙3易伤2伤害1等级1时间	1策反267易伤3敌人爆炸4雷电56伤害6序列升级8等级9核a时间
8	53233 34631	1	   	263.46	橙3易伤2伤害1等级1时间	1基地爆炸267易伤3策反4雷电56伤害6序列升级8等级9核a时间
9	62512 22834	2	 * 	261.46	橙3易伤2时间2暴击1等级1全技能1卖塔	1卖塔2全技能39暴击459易伤6加一7核89时间9序列升级a等级
10	26348 34431	10	   	260.94	橙4易伤3伤害	1双倍矿2立即金币3加一467伤害5678易伤67序列升级9核a低血量敌人
11	26348 34432	10	   	260.94	橙4易伤3伤害	1双倍矿2立即金币3加一467伤害5678易伤67序列升级9核a策反
12	26348 34433	10	   	260.94	橙4易伤3伤害	1双倍矿2立即金币3加一467伤害5678易伤67序列升级9核a最后敌人
13	26348 34433	9	   	260.94	橙4易伤3伤害	1双倍矿2立即金币3加一467伤害5678易伤67序列升级9核a金币生成
14	26348 34434	10	   	260.94	橙4易伤3伤害	1双倍矿2立即金币3加一467伤害5678易伤67序列升级9核a金币生成
15	26348 34434	9	   	260.94	橙4易伤3伤害	1双倍矿2立即金币3加一467伤害5678易伤67序列升级9核a敌人爆炸
16	26348 34436	10	   	260.94	橙4易伤3伤害	1双倍矿2立即金币3加一467伤害5678易伤67序列升级9核a敌人爆炸
17	26348 34437	10	   	260.94	橙4易伤3伤害	1双倍矿2立即金币3加一467伤害5678易伤67序列升级9核a基地爆炸
18	26348 34437	9	   	260.94	橙4易伤3伤害	1双倍矿2立即金币3加一467伤害5678易伤67序列升级9核a基地爆炸
19	23345 21153	1	   	260.94	橙4易伤3伤害	1双倍矿24随机矿357伤害6789易伤7序列升级a核
20	26348 34435	10	   	260.84	橙4易伤3伤害	1双倍矿2立即金币3加一467伤害5678易伤67序列升级9核a掉矿
21	26348 34435	9	   	260.84	橙4易伤3伤害	1双倍矿2立即金币3加一467伤害5678易伤67序列升级9核a赏金塔
22	26348 34436	9	   	260.84	橙4易伤3伤害	1双倍矿2立即金币3加一467伤害5678易伤67序列升级9核a掉矿
23	26348 34438	9	   	260.84	橙4易伤3伤害	1双倍矿2立即金币3加一467伤害5678易伤67序列升级9核a挖尘
24	24611 41333	2	   	258.85	橙2易伤3伤害1等级1时间2雷电	1双倍矿29a伤害3a易伤4额外掉落5等级6时间7核8a雷电a序列升级
25	26611 41333	1	   	258.85	橙2易伤3伤害1等级1时间2雷电	1双倍矿29a伤害3a易伤4额外掉落5等级6时间7核8a雷电a序列升级
26	46623 21121	3	 * 	257.75	橙3易伤2时间2等级1暴击	1挖青25a易伤3暴击4a时间6雷电7低血量敌人8核9a等级a序列升级
27	46612 21121	3	   	257.75	橙3易伤2时间2等级1暴击	1挖青24a易伤3暴击5a时间6雷电7低血量敌人8核9a等级a序列升级
28	46612 21121	4	   	257.75	橙3易伤2时间2等级1暴击	1挖青24a易伤3暴击5a时间6雷电7低血量敌人8核9a等级a序列升级
29	46612 22121	4	   	257.65	橙3易伤2时间2等级1暴击	1挖青24a易伤3暴击5a时间6雷电7挖尘8核9a等级a序列升级
30	46612 22121	3	   	257.65	橙3易伤2时间2等级1暴击	1挖青24a易伤3暴击5a时间6雷电7挖尘8核9a等级a序列升级
31	46623 22121	3	   	257.65	橙3易伤2时间2等级1暴击	1挖青25a易伤3暴击4a时间6雷电7挖尘8核9a等级a序列升级
32	11315 31242	1	   	254.86	橙4易伤1伤害1时间1攻速	1策反2358易伤4额外掉落6伤害7攻速9时间a核
33	11315 41242	1	   	254.86	橙4易伤1伤害1时间1攻速	1策反2358易伤4额外掉落6攻速7伤害9时间a核
34	31315 31242	1	   	254.76	橙4易伤1伤害1时间1攻速	1掉矿2358易伤4额外掉落6伤害7攻速9时间a核
35	31315 41242	1	   	254.76	橙4易伤1伤害1时间1攻速	1掉矿2358易伤4额外掉落6攻速7伤害9时间a核
36	26348 34351	9	   	254.55	橙3易伤3伤害1时间	1双倍矿2立即金币3加一467伤害567易伤67序列升级8金币生成9核a时间
37	26348 34831	9	   	254.55	橙3易伤3伤害1时间	1双倍矿28立即金币3加一467伤害567易伤67序列升级9核a时间
38	26348 34534	10	   	254.45	橙3易伤3伤害1等级	1双倍矿2立即金币3加一467伤害567易伤67序列升级8挖尘9核a等级
39	26348 38131	9	   	254.45	橙3易伤3伤害1时间	1双倍矿2立即金币3加一468伤害567易伤6序列升级9核a时间
40	53241 22343	9	 * 	253.93	橙2易伤2伤害2时间1等级1攻速	1基地爆炸2平台3a伤害4攻速5金币生成6核7a时间8等级9a易伤a序列升级
41	53242 21353	7	   	253.83	橙2易伤2伤害2时间1等级1攻速	1基地爆炸2平台3a伤害4攻速5等级6核7a易伤8掉矿9a时间a序列升级
42	36221 16243	10	 * 	253.51	橙3易伤3时间1等级	17掉矿2雷电367时间47a易伤5额外掉落7序列升级8核9等级
43	23242 45112	10	   	253.51	橙4易伤1伤害1等级1全技能	1双倍矿2基地爆炸3456易伤7等级8伤害9全技能a核
44	13242 45112	10	   	253.41	橙4易伤1伤害1等级1全技能	1策反2掉矿3456易伤7等级8伤害9全技能a核
45	14226 22321	2	 * 	253.40	橙2易伤3时间1伤害2全技能1暴击	17策反2暴击347时间58全技能67易伤7序列升级9核a伤害
46	12264 31226	9	 * 	253.31	橙4易伤2攻速1等级1核弹	1策反2核弹3569易伤46攻速6序列升级7等级8雷电a核
47	36222 16411	9	 * 	252.16	橙2易伤2时间2攻速1伤害1暴击	1掉矿2雷电3a时间4a易伤5基地爆炸6a攻速7伤害8暴击9核a序列升级
48	36223 16411	9	   	252.16	橙2易伤2时间2攻速1伤害1暴击	1掉矿2雷电3a时间4a易伤5敌人爆炸6a攻速7伤害8暴击9核a序列升级
