0	Index      	 *	Score 	Summary	Detail	
1	32826 52114	 * 	333.65	ACR|ACR|3VULN|1TLV|1AEPOI|1CDMG	1MBVNT|267VULN|3CDMG|45RCR|8LHND|9AEPOI|aTLV
2	52334 13131	 * 	326.10	ACR|DCR|1TLV|3DMG|1VULN|1ASPD|1CDMG	1LHND|2aRCR|359DMG|4CDMG|6VULN|7ASPD|8TLV
3	32826 32448	   	319.96	ACR|ACR|2VULN|1TLV|1AEFBLL|1CDMG|1AART	1MBVNT|27VULN|3CDMG|45RCR|6DMSP|8AART|9AEFBLL|aTLV
4	35422 16147	 * 	319.96	ACR|DCR|2VULN|1TLV|1AEBURN|1CDMG|1AART	1MBVNT|2AEBURN|3AART|47RCR|59VULN|6AAC|8TLV|aCDMG
5	41333 11521	 * 	318.32	ACR|3VULN|1TLV|2DMG|2CDMG|2DUR|1ASPD	18DMG|2RCR|356VULN|48CDMG|78DUR|8BPWR|9TLV|aASPD
6	45261 33131	 * 	316.38	ACR|DCR|2TLV|1VULN|2DMG	19DMG|2RPLT|3RAT|47RCR|59TLV|6MDPS|89LIT|9BPWR|aVULN
7	35422 16143	   	315.97	ACR|DCR|2VULN|1TLV|1AEBURN|1AART	1MBVNT|2AEBURN|3AART|47RCR|59VULN|6AAC|8TLV|aDUR
8	41361 21214	   	315.65	ACR|DCR|2VULN|1TLV|1DMG|1CDMG|1SELL	1DMG|2aRCR|35VULN|4ERES|6TLV|7SELL|8RAT|9CDMG
9	32826 52141	   	313.59	ACR|ACR|3VULN|1TLV|1CDMG	1MBVNT|267VULN|3CDMG|45RCR|8LHND|9FEWX|aTLV
10	32826 52341	   	313.59	ACR|ACR|3VULN|1TLV|1CDMG	1MBVNT|267VULN|3CDMG|45RCR|8BEXP|9FEWX|aTLV
11	32826 52131	   	313.49	ACR|ACR|3VULN|1TLV|1CDMG	1MBVNT|267VULN|3CDMG|45RCR|8LHND|9DUST|aTLV
12	32826 52331	   	313.49	ACR|ACR|3VULN|1TLV|1CDMG	1MBVNT|267VULN|3CDMG|45RCR|8BEXP|9DUST|aTLV
13	35422 16144	   	313.25	ACR|DCR|2VULN|1TLV|1AEBURN|1AART	1MBVNT|2AEBURN|3AART|47RCR|59VULN|6AAC|8TLV|aFRZICY
14	41333 43513	   	309.28	ACR|3VULN|1TLV|2DMG|2AEFBLL|1CDMG	18DMG|2RCR|358VULN|4CDMG|6DUR|78AEFBLL|8BPWR|9LHND|aTLV
15	41333 43523	   	309.28	ACR|3VULN|1TLV|2DMG|2AEFBLL|1CDMG	18DMG|2RCR|358VULN|4CDMG|6DUR|78AEFBLL|8BPWR|9BEXP|aTLV
16	32826 32114	   	308.96	ACR|ACR|2VULN|1TLV|1AEPOI|1CDMG	1MBVNT|27VULN|3CDMG|45RCR|6DMSP|8LHND|9AEPOI|aTLV
17	32826 32514	   	308.96	ACR|ACR|2VULN|1TLV|1AEPOI|1CDMG	1MBVNT|27VULN|3CDMG|45RCR|6DMSP|8LWND|9AEPOI|aTLV
18	32826 33814	   	308.96	ACR|ACR|2VULN|1TLV|1AEPOI|1CDMG	1MBVNT|28VULN|3CDMG|45RCR|6DMSP|7LHND|9AEPOI|aTLV
