0	Index      	 *	Score 	Summary	Detail	
1	43261 53332	 * 	295.31	ACR|DCR|2VULN|1TLV|1AEBURN|1AEPOI	1LIT|2aVULN|3AEPOI|4TLV|58RCR|6ERES|7CGEN|9AEBURN
2	43261 53322	   	295.21	ACR|DCR|2VULN|1TLV|1AEPOI	1LIT|2aVULN|3AEPOI|4TLV|58RCR|69ERES|7CGEN
3	66233 12432	 * 	292.75	DCR|DCR|1TLV|1VULN|1AEBURN|1ASPD|2RAT	1AEBURN|28RAT|3ASPD|4TLV|5LIT|6CGEN|79RCR|aVULN
4	66233 12532	   	286.14	DCR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1AEBURN|2RAT|3ASPD|4TLV|5LIT|6CGEN|79RCR|8RCVC|aVULN
5	64211 33331	 * 	281.93	DCR|3VULN|1TLV|1DMG|1AEBURN|1CDMG	1AEBURN|2TLV|3RMIN|4DMG|5FEWX|69aVULN|7CDMG|8RCR
6	64214 33331	   	281.93	DCR|3VULN|1TLV|1DMG|1AEBURN|1CDMG	1AEBURN|2TLV|3RMIN|4DMG|5BEXP|69aVULN|7CDMG|8RCR
7	43261 16333	   	280.01	ACR|DCR|2VULN|1TLV|1AEPOI|1MSE	1LIT|2aVULN|3AEPOI|4TLV|58RCR|6MSE|7DUST|9CGEN
8	43261 12362	   	279.91	ACR|DCR|2VULN|1TLV|1AEPOI|1MSE	1LIT|2aVULN|3AEPOI|4TLV|58RCR|6MSE|7LEGI|9LSRHEA
9	43261 16323	   	279.91	ACR|DCR|2VULN|1TLV|1AEPOI|1MSE	1LIT|2aVULN|3AEPOI|4TLV|58RCR|6MSE|7DUST|9ERES
10	43261 61312	 * 	279.20	ACR|DCR|1TLV|1VULN|1AEFBLL|1AEPOI|1CDMG	1LIT|2VULN|3AEPOI|4TLV|58RCR|6BEXP|7AEFBLL|9FEWX|aCDMG
11	43261 63312	   	279.20	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	1LIT|2VULN|3AEPOI|4TLV|58RCR|6BEXP|7RCVC|9FEWX|aCDMG
12	43261 53331	   	279.10	ACR|DCR|1TLV|1VULN|1AEPOI|1AEBURN|1CDMG	1LIT|2VULN|3AEPOI|4TLV|58RCR|6ERES|7CGEN|9AEBURN|aCDMG
13	43261 53321	   	279.00	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	1LIT|2VULN|3AEPOI|4TLV|58RCR|69ERES|7CGEN|aCDMG
14	43261 11314	 * 	276.46	ACR|DCR|2TLV|1VULN|1AEFBLL|1AEPOI|1MSE	1LIT|2VULN|3AEPOI|4aTLV|58RCR|6MSE|7AEFBLL|9FEWX
15	43261 13314	 * 	276.46	ACR|DCR|2TLV|1VULN|1AEPOI|1MSE	1LIT|2VULN|3AEPOI|4aTLV|58RCR|6MSE|7RCVC|9FEWX
16	43261 12314	 * 	276.26	ACR|DCR|2TLV|1VULN|1AEPOI|2MSE	1LIT|2VULN|3AEPOI|4aTLV|58RCR|69MSE|7LEGI
17	22314 31611	 * 	275.79	DCR|3VULN|2TLV|1AART|2ZMB	1AAC|28TLV|3LWND|48ZMB|5DMSP|6AART|78aVULN|8BPWR|9RCR
18	43261 53333	   	275.11	ACR|DCR|1TLV|1VULN|1AEPOI|1AEBURN|1DUR	1LIT|2VULN|3AEPOI|4TLV|58RCR|6ERES|7CGEN|9AEBURN|aDUR
19	43261 53323	   	275.01	ACR|DCR|1TLV|1VULN|1AEPOI|1DUR	1LIT|2VULN|3AEPOI|4TLV|58RCR|69ERES|7CGEN|aDUR
20	64211 33311	 * 	274.82	DCR|2VULN|1TLV|2DMG|1AEBURN|1CDMG	1AEBURN|2TLV|3RMIN|49DMG|5FEWX|6aVULN|7CDMG|8RCR
21	64214 33311	   	274.82	DCR|2VULN|1TLV|2DMG|1AEBURN|1CDMG	1AEBURN|2TLV|3RMIN|49DMG|5BEXP|6aVULN|7CDMG|8RCR
22	43561 31233	 * 	274.22	DCR|3VULN|2TLV|1DMG	1LIT|267VULN|3ERES|4MDPS|5aTLV|8DMG|9RCR
