0	Index      	 *	Score 	Summary	Detail	
1	28384 13484	 * 	326.20	DCR|DCR|2TLV|2VULN|2RAT|1AART	1MBVNT|2AART|3aVULN|4aRAT|5LWND|6LHND|7aTLV|89RCR|aBPWR
2	51223 13313	 * 	315.17	DCR|3VULN|2TLV|1AEFBLL|1DMG|2RAT	17TLV|27RAT|3FEWX|4AEFBLL|567VULN|7BPWR|8RCR|9FLTARM|aDMG
3	51523 13313	   	315.07	DCR|3VULN|2TLV|1AEFBLL|1DMG|2RAT	17TLV|27RAT|3DUST|4AEFBLL|567VULN|7BPWR|8RCR|9FLTARM|aDMG
4	27523 14313	 * 	312.07	DCR|3VULN|2TLV|2DMG|3ZMB	1MBVNT|2RCVC|3aDMG|46TLV|56aZMB|6aBPWR|7RCR|89aVULN
5	51223 13642	   	311.48	DCR|3VULN|2TLV|1AEFBLL|1ASPD|2RAT	17TLV|27RAT|3FEWX|4AEFBLL|567VULN|7BPWR|8DUR|9ASPD|aRCR
6	51223 13331	 * 	309.22	DCR|4VULN|2TLV|1AEFBLL|2RAT	17TLV|27RAT|39FEWX|4AEFBLL|567aVULN|7BPWR|8RCR
7	51523 13333	   	309.12	DCR|4VULN|2TLV|1AEFBLL|2RAT	17TLV|27RAT|3DUST|4AEFBLL|567aVULN|7BPWR|8RCR|9FEWX
8	51223 13343	   	309.12	DCR|4VULN|2TLV|1AEFBLL|2RAT	17TLV|27RAT|3FEWX|4AEFBLL|567aVULN|7BPWR|8RCR|9MBVNT
9	51523 13343	   	309.02	DCR|4VULN|2TLV|1AEFBLL|2RAT	17TLV|27RAT|3DUST|4AEFBLL|567aVULN|7BPWR|8RCR|9MBVNT
10	21436 54344	   	308.96	DCR|DCR|2VULN|1TLV|1AEPOI|2FLTHEA	1MBVNT|2RPLT|3LHND|46FLTHEA|56VULN|6BPWR|7AEPOI|89RCR|aTLV
11	51523 13331	   	308.13	DCR|3VULN|2TLV|1AEFBLL|1DMG|2RAT	17TLV|27RAT|3DUST|4AEFBLL|567VULN|7BPWR|8RCR|9FEWX|aDMG
12	51223 13341	   	308.13	DCR|3VULN|2TLV|1AEFBLL|1DMG|2RAT	17TLV|27RAT|3FEWX|4AEFBLL|567VULN|7BPWR|8RCR|9MBVNT|aDMG
13	51523 13341	   	308.03	DCR|3VULN|2TLV|1AEFBLL|1DMG|2RAT	17TLV|27RAT|3DUST|4AEFBLL|567VULN|7BPWR|8RCR|9MBVNT|aDMG
14	52521 24112	 * 	305.75	DCR|3TLV|3VULN|3ASPD	189TLV|2MDPS|3BELT|49aASPD|5AAC|69aVULN|7RCR|9aBPWR
15	11234 26214	 * 	305.31	DCR|DCR|3TLV|1VULN|1AEBURN	1FEWX|2SNITOX|3RMIN|467TLV|5VULN|8aRCR|9AEBURN
16	51223 13314	   	304.77	DCR|3VULN|2TLV|1AEFBLL|2RAT	17TLV|27RAT|3FEWX|4AEFBLL|567VULN|7BPWR|8RCR|9FLTARM|aDUR
17	51523 13314	   	304.67	DCR|3VULN|2TLV|1AEFBLL|2RAT	17TLV|27RAT|3DUST|4AEFBLL|567VULN|7BPWR|8RCR|9FLTARM|aDUR
18	21436 34344	   	302.25	DCR|DCR|2VULN|1TLV|1AEPOI	1MBVNT|2RPLT|3LHND|4FLTHEA|56VULN|7AEPOI|89RCR|aTLV
19	51223 13442	   	301.82	DCR|3VULN|2TLV|1AEFBLL|1ASPD|2RAT	17TLV|27RAT|3FEWX|4AEFBLL|567VULN|7BPWR|8LWND|9ASPD|aRCR
20	51523 13336	   	301.72	DCR|3VULN|2TLV|1AEFBLL|1ASPD|2RAT	17TLV|27RAT|3DUST|4AEFBLL|567VULN|7BPWR|8RCR|9FEWX|aASPD
21	51223 13344	   	301.72	DCR|3TLV|3VULN|1AEFBLL|2RAT	17aTLV|27RAT|3FEWX|4AEFBLL|567VULN|7BPWR|8RCR|9MBVNT
22	51523 13344	   	301.62	DCR|3TLV|3VULN|1AEFBLL|2RAT	17aTLV|27RAT|3DUST|4AEFBLL|567VULN|7BPWR|8RCR|9MBVNT
23	51523 13632	   	301.62	DCR|3TLV|3VULN|1AEFBLL|2RAT	179TLV|27RAT|39DUST|4AEFBLL|567VULN|79BPWR|89ERES|aRCR
24	51223 13316	   	301.42	DCR|3VULN|2TLV|1AEFBLL|3RAT	17TLV|27aRAT|3FEWX|4AEFBLL|567VULN|7BPWR|8RCR|9FLTARM
25	51523 13316	   	301.32	DCR|3VULN|2TLV|1AEFBLL|3RAT	17TLV|27aRAT|3DUST|4AEFBLL|567VULN|7BPWR|8RCR|9FLTARM
26	51223 13366	   	299.07	DCR|3VULN|2TLV|1AEFBLL|2RAT|1AART	17TLV|27RAT|3FEWX|4AEFBLL|567VULN|7BPWR|8RCR|9ERES|aAART
27	51223 13332	   	297.83	DCR|3VULN|2TLV|1AEFBLL|2RAT	17TLV|27RAT|39FEWX|4AEFBLL|567VULN|7BPWR|8RCR|aDUR
28	51223 13612	   	297.83	DCR|3VULN|2TLV|1AEFBLL|2RAT	17TLV|27RAT|3FEWX|4AEFBLL|567VULN|7BPWR|8DUR|9AAC|aRCR
29	51223 13622	   	297.83	DCR|3VULN|2TLV|1AEFBLL|2RAT	17TLV|27RAT|3FEWX|4AEFBLL|567VULN|7BPWR|8DUR|9AME|aRCR
30	51223 13662	   	297.73	DCR|3VULN|2TLV|1AEFBLL|2RAT	17TLV|27RAT|3FEWX|4AEFBLL|567VULN|7BPWR|8DUR|9ERES|aRCR
