0	Index      	 *	Score 	Summary	Detail	
1	32534 21126	 * 	274.63	紫橙3易伤1伤害1矿等	1金币生成2矿等35a易伤46核7敌人爆炸8挖尘9伤害
2	32534 23313	   	272.53	紫橙3易伤1矿等1平台	1金币生成2矿等35a易伤46核7激光减费8平台9时间
3	32534 23333	 * 	271.35	紫橙2易伤2矿等1攻速1平台	1金币生成2a矿等35易伤46核7激光减费8平台9攻速
4	32534 22115	 * 	270.17	紫橙3易伤2矿等	1金币生成29矿等35a易伤46核7毒液对冰8敌人爆炸
5	32534 22215	   	266.04	紫橙2易伤1伤害1矿等1暴击	1金币生成2矿等35易伤46核7毒液对冰8双倍秒伤9伤害a暴击
6	32534 21323	   	264.22	紫橙3易伤1矿等1平台	1金币生成2矿等35a易伤46核7敌人爆炸8激光减费9平台
7	32534 23223	   	264.22	紫橙3易伤1矿等1平台	1金币生成2矿等35a易伤46核7激光减费8低血量敌人9平台
8	32534 23323	   	264.22	紫橙3易伤1矿等1平台	1金币生成2矿等35a易伤46核7激光减费8平台9赏金塔
9	32534 23353	   	264.22	紫橙3易伤1矿等1平台	1金币生成2矿等35a易伤46核7激光减费8平台9低血量敌人
10	32534 23423	   	264.22	紫橙3易伤1矿等1平台	1金币生成2矿等35a易伤46核7激光减费8敌人爆炸9平台
11	32534 24323	   	264.22	紫橙3易伤1矿等1平台	1金币生成2矿等35a易伤46核7低血量敌人8激光减费9平台
12	32534 26323	   	264.22	紫橙3易伤1矿等1平台	1金币生成2矿等35a易伤46核7基地爆炸8激光减费9平台
13	32534 23123	   	264.12	紫橙3易伤1矿等1平台	1金币生成2矿等35a易伤46核7激光减费8挖尘9平台
14	32534 23343	   	264.12	紫橙3易伤1矿等1平台	1金币生成2矿等35a易伤46核7激光减费8平台9挖青
15	32534 25233	   	264.12	紫橙3易伤1矿等1平台	1金币生成2矿等35a易伤46核7双倍秒伤8掉矿9平台
16	32534 22116	 * 	262.30	紫橙2易伤3矿等	1a金币生成29a矿等35易伤46核7毒液对冰8a敌人爆炸a序列升级
17	32534 22216	   	262.05	紫橙2易伤1伤害1矿等1全技能	1金币生成2矿等35易伤46核7毒液对冰8双倍秒伤9伤害a全技能
18	32534 21313	   	261.68	紫橙2易伤2矿等1暴击	1金币生成29矿等35易伤46核7敌人爆炸8激光减费a暴击
19	32534 22335	   	261.68	紫橙2易伤2矿等1暴击	1金币生成2a矿等35易伤46核7毒液对冰8赏金塔9暴击
20	32534 23213	   	261.68	紫橙2易伤2矿等1暴击	1金币生成29矿等35易伤46核7激光减费8低血量敌人a暴击
21	32534 23413	   	261.68	紫橙2易伤2矿等1暴击	1金币生成29矿等35易伤46核7激光减费8敌人爆炸a暴击
