0	Index      	 *	Score 	Summary	Detail	
1	21346 31422	 * 	384.22	橙2双倍秒伤1易伤1等级1时间	1挖尘2雷电3易伤4赏金邻近5金币生成6等级7时间8核9a双倍秒伤
2	25223 24622	   	384.22	橙2双倍秒伤1易伤1等级1时间	1挖尘2时间3金币生成4等级5头目6赏金塔7核8易伤9a双倍秒伤
3	23523 22221	 * 	367.55	紫3易伤1双倍秒伤2时间1伤害	18挖尘248易伤34低血量敌人48序列升级5核6伤害78时间9双倍秒伤a雷电
4	23523 22222	   	367.55	紫3易伤1双倍秒伤2时间1伤害	18挖尘248易伤34低血量敌人48序列升级5核6伤害78时间9双倍秒伤a金币生成
5	23523 22223	   	367.55	紫3易伤1双倍秒伤2时间1伤害	18挖尘248易伤34低血量敌人48序列升级5核6伤害78时间9双倍秒伤a矿等
6	23523 22224	   	367.55	紫3易伤1双倍秒伤2时间1伤害	18挖尘248易伤34低血量敌人48序列升级5核6伤害78时间9双倍秒伤a技能点
7	23523 22225	   	367.55	紫3易伤1双倍秒伤2时间1伤害	18挖尘248易伤34低血量敌人48序列升级5核6伤害78时间9双倍秒伤a最后敌人
8	23523 22226	   	367.55	紫3易伤1双倍秒伤2时间1伤害1挖怪	18挖尘248易伤34低血量敌人48序列升级5核6伤害78时间9双倍秒伤a挖怪
9	55211 31263	 * 	357.10	橙2易伤1双倍秒伤2时间1全技能1卖塔	14随机矿2全技能39易伤5卖塔6核79时间89掉矿9序列升级a双倍秒伤
10	55221 31263	 * 	357.10	橙2易伤1双倍秒伤2时间1全技能1卖塔	1随机矿2全技能39易伤4双倍矿5卖塔6核79时间89掉矿9序列升级a双倍秒伤
11	35261 31263	 * 	357.00	橙2易伤1双倍秒伤2时间1全技能1卖塔	1技能2全技能39易伤4火球减费5卖塔6核79时间89掉矿9序列升级a双倍秒伤
12	14341 52233	 * 	355.57	2双倍秒伤3易伤1时间	1策反2赏金塔346易伤5平台7时间8a双倍秒伤9雷电
