0	Index      	 *	Score 	Summary	Detail	
1	62343 32253	 * 	364.96	橙2易伤1双倍秒伤1伤害1时间1全技能	1时间2敌人爆炸3最后敌人49易伤5伤害6核7全技能8双倍矿a双倍秒伤
2	53533 11431	 * 	361.64	紫2易伤1双倍秒伤2等级1暴击1时间	1核25等级36易伤4暴击7基地爆炸8时间9双倍秒伤a赏金邻近
3	53533 11432	   	361.64	紫2易伤1双倍秒伤2等级1暴击1伤害1时间	1核25等级36易伤4暴击7基地爆炸8时间9双倍秒伤a伤害
4	53533 11433	   	361.64	紫2易伤1双倍秒伤2等级1暴击1时间	1核25等级36易伤4暴击7基地爆炸8时间9双倍秒伤a低血量敌人
5	32261 44232	 * 	357.20	橙2易伤1双倍秒伤1等级1时间1卖塔	1卖塔2随机技能3雷电4敌人爆炸5时间6等级79易伤8核a双倍秒伤
6	32612 44232	 * 	357.20	橙2易伤1双倍秒伤1等级1时间1卖塔	1卖塔2随机技能3时间4雷电5基地爆炸6等级79易伤8核a双倍秒伤
7	53515 33111	 * 	346.59	紫2易伤1双倍秒伤2等级2时间1挖怪	1核28等级38易伤4赏金塔5攻速6暴雪减费78时间8序列升级9双倍秒伤a挖怪
8	53515 33112	 * 	346.59	紫2易伤1双倍秒伤2等级2时间	1核28等级38易伤4赏金塔5攻速6暴雪减费78时间8序列升级9双倍秒伤a赏金邻近
9	53515 33113	   	346.59	紫2易伤1双倍秒伤2等级2时间	1核28等级38易伤4赏金塔5攻速6暴雪减费78时间8序列升级9双倍秒伤a敌人爆炸
10	62342 32253	   	344.79	橙2易伤1双倍秒伤1时间1全技能	1时间2敌人爆炸3最后敌人49易伤5攻速6核7全技能8双倍矿a双倍秒伤
11	13324 23223	 * 	337.98	2双倍秒伤2易伤1等级1时间	1技能点2等级3头目4金币生成5时间68易伤7赏金邻近9a双倍秒伤
12	56231 53113	 * 	335.03	紫3易伤1双倍秒伤1时间	1核27随机技能347易伤5赏金邻近6平台7序列升级8低血量敌人9时间a双倍秒伤
