0	Index      	 *	Score 	Summary	Detail	
1	53311 11313	 * 	285.64	橙橙3易伤1攻速	1攻速2低血量敌人3额外掉落4敌人爆炸59a易伤68核7双倍秒伤
2	53311 11316	   	271.84	橙橙2易伤1攻速1平台	1攻速2低血量敌人3额外掉落4敌人爆炸59易伤68核7双倍秒伤a平台
3	36361 15111	   	271.74	橙橙2易伤1暴击1平台	1平台2导弹对绿34易伤5敌人爆炸6技能点7暴击8a核9最后敌人
4	36362 15111	   	271.74	橙橙2易伤1暴击1平台	1平台2导弹对绿34易伤5基地爆炸6技能点7暴击8a核9最后敌人
5	33333 33335	 * 	262.23	橙3易伤2伤害1矿等1暴击1平台	1平台28掉矿3暴击48a易伤58伤害6赏金塔7核8序列升级9矿等
6	53311 11311	   	262.18	橙橙2易伤1攻速	1攻速2低血量敌人3额外掉落4敌人爆炸59易伤68核7双倍秒伤a金币生成
7	53311 11315	   	262.18	橙橙2易伤1攻速	1攻速2低血量敌人3额外掉落4敌人爆炸59易伤68核7双倍秒伤a赏金塔
8	53311 11363	   	262.18	橙橙2易伤1攻速	1攻速29低血量敌人3额外掉落4敌人爆炸5a易伤68核7双倍秒伤
9	63516 41241	   	262.18	橙橙2易伤1攻速	14最后敌人2加一34易伤4序列升级5基础对甲6a核7随机矿8低血量敌人9攻速
10	63516 41341	   	262.18	橙橙2易伤1攻速	14最后敌人2加一34易伤4序列升级5基础对甲6a核7随机矿8基地爆炸9攻速
11	53311 11312	   	262.08	橙橙2易伤1攻速	1攻速2低血量敌人3额外掉落4敌人爆炸59易伤68核7双倍秒伤a挖尘
12	53311 11356	   	262.08	橙橙2易伤1攻速	1攻速2低血量敌人3额外掉落4敌人爆炸5a易伤68核7双倍秒伤9技能点
13	36316 15111	   	261.19	橙橙1易伤1矿等1暴击1平台	1平台2导弹对绿3易伤4等级5矿等6技能点7暴击8a核9最后敌人
14	34231 15161	   	258.62	橙橙1易伤2时间1暴击1平台	1平台2基地爆炸35时间4导弹对绿6等级7暴击8a核9易伤
15	36261 15111	   	258.52	橙橙1易伤2时间1暴击1平台	1平台2导弹对绿35时间4易伤6技能点7暴击8a核9最后敌人
16	36321 35111	   	258.52	橙橙1易伤2时间1暴击1平台	1平台26导弹对绿3易伤4技能点56时间6序列升级7暴击8a核9最后敌人
17	34163 32216	   	258.39	橙橙2易伤1平台	1平台27基地爆炸37易伤4雷电5加农对壮679金币生成7序列升级8a核
18	36163 63131	 * 	258.38	橙橙1易伤2暴击1平台	1平台2导弹对绿3最后敌人4易伤56暴击7随机矿8a核9时间
19	33333 33345	   	258.35	橙3易伤2伤害1攻速1暴击1平台	1平台28掉矿3暴击48a易伤58伤害6赏金塔7核8序列升级9攻速
20	35233 62631	   	258.28	橙橙1易伤2暴击1平台	1平台2挖青3易伤4激光对绿56暴击7时间8a核9随机矿
21	34163 33216	   	258.19	橙橙2易伤1平台	1平台2基地爆炸37易伤4雷电5加农对壮69金币生成8a核
22	35263 32216	   	258.19	橙橙2易伤1平台	1平台2挖青37易伤4雷电57加农对壮679金币生成7序列升级8a核
23	35263 33216	   	258.09	橙橙2易伤1平台	1平台2挖青37易伤4雷电5加农对壮69金币生成8a核
24	11233 23171	 * 	257.95	橙橙1易伤1伤害1矿等	1低血量敌人2立即金币3矿等4防空对愈5敌人爆炸6加一7伤害8a核9易伤
25	16233 23171	   	257.95	橙橙1易伤1伤害1矿等	12低血量敌人2序列升级3矿等4防空对愈5敌人爆炸6加一7伤害8a核9易伤
26	22351 14841	   	256.29	橙橙2易伤1策反	1策反2挖尘3时间49易伤5掉矿6a核7加一8机枪对壮
