0	Index      	 *	Score 	Summary	Detail	
1	21531 23435	 * 	268.59	橙橙2易伤1伤害	1双倍秒伤2最后敌人3伤害4a易伤5随机矿6赏金塔7额外掉落89核
2	12336 41432	 * 	263.05	橙橙1易伤2矿等1全技能	1技能点2金币生成3挖青46矿等5全技能7a核8易伤9多重对愈
3	12413 24153	   	261.98	橙橙2易伤1暴击	1技能点2金币生成34易伤5雷电69核7基础对愈8挖尘a暴击
4	12413 26153	   	261.98	橙橙2易伤1暴击	1技能点2金币生成34易伤5雷电69核7毒液对毒8挖尘a暴击
5	14236 21334	 * 	260.01	橙橙2伤害1攻速1暴击1全技能	1技能点2双倍秒伤3基地爆炸4全技能59伤害6暴击7攻速8a核
6	14136 21334	   	259.91	橙橙2伤害1攻速1暴击1全技能	1技能点2双倍秒伤3挖尘4全技能59伤害6暴击7攻速8a核
7	12616 61232	   	255.85	橙橙1易伤1矿等1全技能	1技能点26金币生成3矿等4易伤5全技能7a核8时间9多重对愈
8	16335 31432	   	255.85	橙橙1易伤1矿等1全技能	1技能点2时间35金币生成4矿等6全技能7a核8易伤9多重对愈
9	16336 31432	   	255.85	橙橙1易伤1矿等1全技能	1技能点2时间3金币生成4矿等5双倍矿6全技能7a核8易伤9多重对愈
10	21531 23434	   	254.16	橙橙1易伤1伤害1攻速	1双倍秒伤2最后敌人3伤害4易伤5随机矿6赏金塔7额外掉落89核a攻速
11	23216 35134	 * 	253.78	橙3易伤2伤害1矿等2时间	1双倍秒伤2核弹38时间4等级58伤害68a易伤7核8序列升级9矿等
12	44213 53321	   	252.84	橙橙1易伤1矿等2时间	1寒冰对甲2易伤3立即金币49时间5矿等6挖尘78核a赏金邻近
13	44213 53322	   	252.74	橙橙1易伤1矿等2时间	1寒冰对甲2易伤3立即金币49时间5矿等6挖尘78核a散射对喷气
14	44213 53323	   	252.74	橙橙1易伤1矿等2时间	1寒冰对甲2易伤3立即金币49时间5矿等6a挖尘78核
15	52421 31232	 * 	252.48	紫橙2易伤2矿等2策反	1a策反2金币生成3a易伤4低血量敌人58核6散射对绿7额外掉落9a矿等a序列升级
16	21531 23431	   	250.17	橙橙1易伤1伤害1平台	1双倍秒伤2最后敌人3伤害4易伤5随机矿6赏金塔7额外掉落89核a平台
17	51251 21314	 * 	249.69	橙橙1易伤2暴击1平台2策反	14策反24暴击3平台4序列升级5随机矿6a核7挖青8基地爆炸9易伤
18	12413 24151	   	248.33	橙橙2易伤	1技能点2金币生成34易伤5雷电69核7基础对愈8挖尘a赏金邻近
19	12413 26151	   	248.33	橙橙2易伤	1技能点2金币生成34易伤5雷电69核7毒液对毒8挖尘a赏金邻近
20	12413 24152	   	248.23	橙橙2易伤	1技能点2金币生成34易伤5雷电69核7基础对愈8挖尘a挖青
21	12413 26152	   	248.23	橙橙2易伤	1技能点2金币生成34易伤5雷电69核7毒液对毒8挖尘a挖青
22	12616 61132	   	247.54	橙橙1易伤1矿等1全技能	1技能点26金币生成3矿等4易伤5全技能7a核8低血量敌人9多重对愈
23	44213 53313	   	246.29	橙橙1易伤1矿等	1寒冰对甲2易伤3立即金币4时间5矿等6挖尘78核9雷电a金币生成
24	44213 53331	   	246.29	橙橙1易伤1矿等	1寒冰对甲2易伤3立即金币4时间5矿等6挖尘78核9双倍矿a赏金邻近
25	43335 53322	   	246.29	橙橙1易伤1矿等	1寒冰对甲2等级3易伤4随机矿5矿等6挖尘78核9时间a喷火对愈
26	43335 53323	   	246.29	橙橙1易伤1矿等	1寒冰对甲2等级3易伤4随机矿5矿等6挖尘78核9时间a金币生成
27	44213 53311	   	246.19	橙橙1易伤1矿等	1寒冰对甲2易伤3立即金币4时间5矿等6a挖尘78核9雷电
28	44213 53312	   	246.19	橙橙1易伤1矿等1挖怪	1寒冰对甲2易伤3立即金币4时间5矿等6挖尘78核9雷电a挖怪
29	44213 53332	   	246.19	橙橙1易伤1矿等	1寒冰对甲2易伤3立即金币4时间5矿等6挖尘78核9双倍矿a散射对喷气
30	44213 53333	   	246.19	橙橙1易伤1矿等	1寒冰对甲2易伤3立即金币4时间5矿等6a挖尘78核9双倍矿
31	43335 53321	   	246.19	橙橙1易伤1矿等	1寒冰对甲2等级3易伤4随机矿5矿等6挖尘78核9时间a激光对愈
32	11315 41211	 * 	244.55	紫橙1易伤2矿等2暴击	189技能点28暴击38矿等46核5随机矿7双倍物品8序列升级a易伤
33	11315 41241	   	244.55	紫橙1易伤2矿等2暴击	18技能点28暴击38矿等46核5随机矿7双倍物品8序列升级9双倍秒伤a易伤
34	11222 25614	   	243.52	橙橙1易伤1暴击1平台1策反	1技能点2暴击3平台4等级5随机矿6a核7低血量敌人8策反9易伤
35	11212 25614	   	243.42	橙橙1易伤1暴击1平台1策反	1技能点2暴击3平台4掉矿5随机矿6a核7低血量敌人8策反9易伤
36	11222 23614	   	243.42	橙橙1易伤1暴击1平台1策反	1技能点2暴击3平台4等级5随机矿6a核7挖尘8策反9易伤
37	23211 35134	 * 	242.23	橙3易伤2攻速1矿等2时间	1双倍秒伤2核弹38时间4等级58攻速68a易伤7核8序列升级9矿等
38	21531 23432	   	240.51	橙橙1易伤1伤害	1双倍秒伤2最后敌人3伤害4易伤5随机矿6赏金塔7额外掉落89核a雷电
39	21531 23433	   	240.51	橙橙1易伤1伤害	1双倍秒伤2最后敌人3伤害4易伤5随机矿6赏金塔7额外掉落89核a等级
40	21531 23436	   	240.51	橙橙1易伤1伤害	1双倍秒伤2最后敌人3伤害4易伤5a随机矿6赏金塔7额外掉落89核
41	41141 23845	   	240.31	橙橙1易伤1伤害	1寒冰对甲2加一3敌人爆炸4易伤5双倍秒伤6伤害7a核8电塔对黄9雷电
42	41643 44334	   	239.20	橙3易伤1伤害1矿等1平台	1寒冰对甲2加一347易伤5矿等6时间8伤害9平台a核
43	41643 21226	 * 	238.87	橙5易伤1矿等	1寒冰对甲2加一34689易伤5矿等7多重对愈a核
