0	Index      	 *	Score 	Summary	Detail	
1	25226 21522	 * 	272.09	橙橙3易伤	16敌人爆炸2雷电3激光减费456易伤6序列升级7赏金邻近8金币生成9a核
2	23117 41272	   	261.98	橙橙2易伤1攻速	1敌人爆炸2技能点3加一4a易伤5攻速69核7低血量敌人8爆破对壮
3	23117 43784	   	261.98	橙橙2易伤1攻速	1敌人爆炸2技能点3加一48易伤5攻速6a核7赏金塔9掉矿
4	23148 72272	   	261.98	橙橙2易伤1攻速	1敌人爆炸2技能点3加一4喷火对黄5低血量敌人6a易伤79核8攻速
5	23181 44272	   	261.98	橙橙2易伤1攻速	1敌人爆炸2技能点3加一4攻速5最后敌人69核7a易伤8爆破对壮
6	23181 48272	   	261.98	橙橙2易伤1攻速	1敌人爆炸2技能点3加一4攻速5最后敌人69核7导弹对黄8a易伤
7	23117 46272	   	261.88	橙橙2易伤1攻速	1敌人爆炸2技能点3加一4a易伤5攻速69核7挖尘8爆破对壮
8	42331 51313	   	257.84	橙橙2易伤1平台1卖塔	1平台2a易伤3双倍矿4挖尘5双倍秒伤6额外掉落7卖塔89核
9	33354 22122	   	252.84	橙橙1易伤1矿等2时间	1挖青2低血量敌人3易伤48时间5基地爆炸6雷电7矿等9a核
10	33623 53122	   	252.74	橙橙1易伤1矿等2时间	1挖青2低血量敌人3矿等4挖尘58时间6雷电7易伤9a核
11	54323 21522	   	248.73	橙橙2易伤	15立即金币2雷电36低血量敌人46易伤6序列升级7赏金邻近8金币生成9a核
12	25223 21522	   	248.63	橙橙2易伤	16敌人爆炸2雷电3激光减费46易伤5立即金币6序列升级7赏金邻近8金币生成9a核
13	21424 53112	   	248.53	橙橙2易伤	19敌人爆炸2低血量敌人3双倍秒伤4金币生成58易伤6雷电7a核
14	21424 53122	   	248.53	橙橙2易伤	1敌人爆炸2低血量敌人3双倍秒伤4金币生成58易伤69雷电7a核
15	25223 61522	   	248.53	橙橙2易伤	1敌人爆炸2雷电3激光减费46易伤5立即金币7赏金邻近8金币生成9a核
16	21154 33112	   	248.43	橙橙2易伤	19敌人爆炸2低血量敌人3掉矿4双倍秒伤58易伤6雷电7a核
17	21154 33122	   	248.43	橙橙2易伤	1敌人爆炸2低血量敌人3掉矿4双倍秒伤58易伤69雷电7a核
18	21154 33152	   	248.43	橙橙2易伤	1敌人爆炸29低血量敌人3掉矿4双倍秒伤58易伤6雷电7a核
19	51124 33522	   	248.43	橙橙2易伤	1立即金币2技能点35易伤4赏金塔6金币生成7掉矿8雷电9a核
20	54332 23132	   	248.43	橙橙2易伤	1立即金币2雷电3低血量敌人4赏金塔58易伤69掉矿7a核
21	23134 65284	   	248.33	橙橙2易伤	1敌人爆炸2技能点3加一4金币生成5激光对绿6赏金塔78核9a易伤
22	23136 35284	   	248.33	橙橙2易伤	1敌人爆炸2技能点3加一4金币生成5赏金塔6基础对冰78核9a易伤
23	51124 51222	   	248.33	橙橙2易伤	1立即金币2技能点35易伤4赏金塔6雷电78挖尘9a核
24	51124 51322	   	248.33	橙橙2易伤	1立即金币28技能点35易伤4赏金塔6雷电7挖尘9a核
25	21614 32151	   	247.64	橙橙1易伤1矿等1平台	1敌人爆炸2低血量敌人3矿等4易伤5平台6雷电7双倍秒伤8最后敌人9a核
26	33614 32151	   	247.54	橙橙1易伤1矿等1平台	1挖青2低血量敌人3矿等4易伤5平台6雷电7双倍秒伤8最后敌人9a核
27	23117 43584	 * 	246.35	橙橙1易伤2攻速	1敌人爆炸2技能点3加一4易伤58攻速6a核7赏金塔9掉矿
28	21116 44132	   	246.29	橙橙1易伤1矿等	1敌人爆炸2低血量敌人3掉矿4易伤5矿等6a核7时间8雷电9等级
29	33354 22322	   	246.29	橙橙1易伤1矿等	1挖青28低血量敌人3易伤4时间5基地爆炸6雷电7矿等9a核
30	33354 22422	   	246.29	橙橙1易伤1矿等	1挖青2低血量敌人3易伤4时间58基地爆炸6雷电7矿等9a核
31	33326 44122	   	246.19	橙橙1易伤1矿等	1挖青2低血量敌人3易伤4金币生成5矿等6a核7时间8雷电9掉矿
32	33623 53322	   	246.19	橙橙1易伤1矿等	1挖青28低血量敌人3矿等4挖尘5时间6雷电7易伤9a核
33	33623 53522	   	246.19	橙橙1易伤1矿等	1挖青2低血量敌人3矿等4挖尘5时间68雷电7易伤9a核
34	42331 51315	   	243.42	橙橙1易伤1攻速1平台1卖塔	1平台2易伤3双倍矿4挖尘5双倍秒伤6额外掉落7卖塔89核a攻速
35	22345 14311	 * 	242.27	橙橙1伤害1矿等1全技能1平台1策反	19敌人爆炸2全技能3矿等4伤害5平台6策反7低血量敌人8a核
36	22345 15311	 * 	242.27	橙橙1伤害1矿等1全技能1平台1策反	19敌人爆炸2全技能3矿等4伤害5平台6策反7最后敌人8a核
