0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23311 62663	7	 * 	272.47	橙3易伤2伤害2攻速2雷电1暴击	19雷电2平台346易伤59攻速7核89伤害9序列升级a暴击
2	31525 12162	1	 * 	268.40	橙3易伤3伤害1时间1暴击	189最后敌人2掉矿389易伤4基地爆炸5时间6核789伤害89序列升级a暴击
3	31535 12162	1	   	268.40	橙3易伤3伤害1时间1暴击	189最后敌人2掉矿389易伤4敌人爆炸5时间6核789伤害89序列升级a暴击
4	23316 13266	6	 * 	266.66	橙4易伤3时间2雷电	19雷电25平台349a易伤689时间7核9序列升级
5	64131 15133	9	 * 	266.62	橙3易伤3时间2攻速1等级	1立即金币268时间38攻速4等级5策反789易伤8序列升级a核
6	23155 32513	2	 * 	263.98	橙3易伤3时间2等级2雷电	1a雷电2平台368时间4a等级59a易伤7核a序列升级
7	53122 11116	10	 * 	263.54	橙2易伤3伤害2时间2攻速	18金币生成289伤害35攻速47易伤68时间8序列升级a核
8	23311 62651	7	 * 	263.16	橙4易伤1伤害1等级1攻速	1雷电2平台346a易伤5攻速7核8伤害9等级
9	35332 63471	3	   	263.03	橙4易伤2时间1等级	19最后敌人29时间3加一4雷电5等级6核789a易伤9序列升级
10	23311 62211	9	 * 	262.64	橙5易伤1时间1攻速	1雷电2平台3469a易伤5攻速7核8时间
11	23311 62221	7	   	262.64	橙5易伤1时间1攻速	1雷电2平台3469a易伤5攻速7核8时间
12	23311 62221	8	   	262.64	橙5易伤1时间1攻速	1雷电2平台3469a易伤5攻速7核8时间
13	23313 63156	4	   	261.82	橙4易伤1伤害1时间1全技能	1雷电2平台348a易伤5时间6全技能7伤害9核
14	24314 52222	1	   	260.82	橙3易伤2伤害2雷电1暴击1全技能	19雷电2暴击349易伤59伤害6平台7全技能8赏金邻近9序列升级a核
15	23311 62643	7	   	260.56	橙4易伤1伤害1暴击1攻速	1雷电2平台3469易伤5攻速7核8伤害a暴击
16	62241 12212	1	 * 	260.15	橙4易伤2伤害2雷电	1立即金币2369易伤39序列升级49伤害5最后敌人7掉矿89雷电a核
17	62245 12212	1	   	260.15	橙4易伤2伤害2雷电	1立即金币2369易伤39序列升级49伤害5基地爆炸7掉矿89雷电a核
18	33116 31511	3	 * 	259.99	橙3易伤3时间3攻速	129最后敌人356攻速459易伤59序列升级789时间a核
19	63324 11161	10	 * 	259.79	橙4易伤2时间2攻速	1立即金币28敌人爆炸34时间5789易伤68攻速8序列升级a核
20	23311 62625	7	   	258.82	橙3易伤2伤害2攻速2雷电	1a雷电2平台346易伤5a攻速7核8a伤害9随机矿a序列升级
21	23311 62661	7	   	258.82	橙3易伤2伤害2攻速2雷电	19雷电2平台346易伤59攻速7核89伤害9序列升级a双倍矿
22	23311 62662	7	   	258.82	橙3易伤2伤害2攻速2雷电	19雷电2平台346易伤59攻速7核89伤害9序列升级a最后敌人
23	14216 12521	3	 * 	257.75	橙3易伤2时间1伤害1暴击	1低血量敌人2雷电3暴击49a易伤5伤害68时间7核
24	14236 12521	4	   	257.75	橙3易伤2时间1伤害1暴击	1低血量敌人2雷电3暴击49a易伤5伤害68时间7核
25	24216 12521	3	   	257.75	橙3易伤2时间1伤害1暴击	1雷电2低血量敌人3暴击49a易伤5伤害68时间7核
26	24236 12521	4	   	257.75	橙3易伤2时间1伤害1暴击	1雷电2低血量敌人3暴击49a易伤5伤害68时间7核
27	26216 12521	3	   	257.75	橙3易伤2时间1伤害1暴击	1雷电2最后敌人3暴击49a易伤5伤害68时间7核
28	34216 12521	3	   	257.75	橙3易伤2时间1伤害1暴击	1最后敌人2雷电3暴击49a易伤5伤害68时间7核
29	23311 62251	9	   	257.68	橙4易伤2时间1攻速	1雷电2平台346a易伤5攻速7核89时间
30	66312 16132	3	   	257.40	橙4易伤1伤害1等级1暴击	1立即金币2等级3489易伤5赏金塔6核7暴击a伤害
31	23311 63611	8	 * 	256.60	橙5易伤2攻速	1雷电2平台3467a易伤59攻速8核
32	22532 14612	5	 * 	255.86	橙4易伤2等级2雷电1暴击1卖塔	19雷电2卖塔3479易伤5挖尘6暴击89等级9序列升级a核
33	36211 12165	3	 * 	255.76	橙2易伤3伤害3时间	189最后敌人2低血量敌人389时间4a易伤5矿等6核789伤害89序列升级
34	15423 25213	10	   	255.29	橙3易伤2时间1等级1暴击1全技能	1低血量敌人28时间3等级45a易伤6暴击7全技能9核
35	23316 13265	6	   	255.02	橙3易伤3时间2雷电1攻速	19雷电25平台349易伤689时间7核9序列升级a攻速
