0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12345 33232	10	 * 	295.66	橙5易伤2伤害2时间	1a时间2平台3掉矿4789a易伤5a伤害6核a序列升级
2	13235 15322	9	 * 	284.14	橙3易伤3时间2等级2暴击2雷电	157时间29暴击37雷电4平台679易伤79序列升级89等级a核
3	13322 22523	9	 * 	281.50	橙4易伤3时间1等级1暴击	156时间2暴击348a易伤7核9等级
4	13322 24525	10	 * 	281.32	橙4易伤3时间2暴击1全技能	156时间27暴击3478易伤7序列升级9核a全技能
5	12344 33232	10	 * 	279.23	橙5易伤2时间2攻速	1a时间2平台3掉矿4789a易伤5a攻速6核a序列升级
6	53632 33232	10	   	279.23	橙5易伤2时间2攻速	1a攻速2掉矿3a时间4789a易伤5平台6核a序列升级
7	13322 24526	10	 * 	277.70	橙4易伤3时间3暴击	156时间27a暴击3478易伤7序列升级9核
8	12345 32232	10	   	276.12	橙4易伤2伤害2时间	1a时间27平台3掉矿489a易伤5a伤害6核a序列升级
9	12345 34232	10	   	276.12	橙4易伤2伤害2时间	1a时间2平台3掉矿489a易伤5a伤害6核7立即金币a序列升级
10	12345 35232	10	   	276.02	橙4易伤2伤害2时间	1a时间2平台37掉矿489a易伤5a伤害6核a序列升级
11	65212 43233	10	   	274.16	橙5易伤2时间1等级	1挖尘26时间34689易伤5平台6序列升级7核a等级
12	11533 61533	1	   	273.13	橙5易伤1等级1时间1暴击	1时间25678易伤3赏金塔4等级9暴击a核
13	13621 63153	3	   	272.79	橙3易伤3时间3暴击2全技能	19a时间29a暴击3低血量敌人48全技能5策反6核79a易伤9a序列升级
14	33335 64122	10	   	272.29	橙4易伤2时间1伤害1暴击	1a最后敌人2暴击367a易伤4金币生成5伤害8a时间9核a序列升级
15	13335 64222	10	   	272.09	橙4易伤2时间1伤害1暴击	1a时间2暴击367a易伤4金币生成5伤害8a挖尘9核a序列升级
16	63332 23342	10	   	272.09	橙4易伤2时间1伤害1暴击	1a挖尘2暴击389a易伤4伤害5金币生成6a时间7核a序列升级
17	63332 64122	10	   	272.09	橙4易伤2时间1伤害1暴击	1a挖尘2暴击367a易伤4伤害5金币生成8a时间9核a序列升级
18	13325 43632	10	   	271.99	橙4易伤2时间1伤害1暴击	1a时间2暴击349a易伤5挖尘6伤害7a掉矿8核a序列升级
19	14212 43314	7	 * 	271.96	橙4易伤3时间1伤害	18a时间268敌人爆炸3468易伤5平台68序列升级7核9伤害
20	65212 43311	7	   	271.76	橙4易伤3时间1伤害	18挖尘268时间3468易伤5平台68序列升级7核9伤害a金币生成
21	65212 43312	7	   	271.76	橙4易伤3时间1伤害	18挖尘268时间3468易伤5平台68序列升级7核9伤害a策反
22	65212 43313	7	   	271.76	橙4易伤3时间1伤害	18挖尘268时间3468易伤5平台68序列升级7核9伤害a随机矿
23	13368 28444	8	   	271.66	橙4易伤3时间2暴击	167时间27暴击3578易伤4加一7序列升级9最后敌人a核
24	13322 24521	10	   	271.66	橙4易伤3时间2暴击	156时间27暴击3478易伤7序列升级9核a平台
25	13322 24522	10	   	271.66	橙4易伤3时间2暴击	156时间27暴击3478易伤7序列升级9核a金币生成
26	13322 24523	9	   	271.66	橙4易伤3时间2暴击	156时间27暴击3478易伤7序列升级9核a策反
27	13322 24524	10	   	271.66	橙4易伤3时间2暴击	156时间27暴击3478易伤7序列升级9核a额外掉落
28	13322 24525	9	   	271.66	橙4易伤3时间2暴击	156时间27暴击3478易伤7序列升级9核a敌人爆炸
29	13322 24526	9	   	271.66	橙4易伤3时间2暴击	156时间27暴击3478易伤7序列升级9核a低血量敌人
30	65212 43231	9	   	271.56	橙5易伤2时间1暴击	1挖尘26时间34689易伤5平台6序列升级7核a暴击
31	13322 24521	9	   	271.56	橙4易伤3时间2暴击	156时间27暴击3478易伤7序列升级9核a挖尘
32	13322 24522	9	   	271.56	橙4易伤3时间2暴击	156时间27暴击3478易伤7序列升级9核a掉矿
33	13322 24523	10	   	271.56	橙4易伤3时间2暴击	156时间27暴击3478易伤7序列升级9核a挖尘
34	14132 13145	9	   	269.59	橙3易伤2伤害2时间1等级1卖塔	19时间2敌人爆炸3卖塔49伤害5金币生成6等级789易伤9序列升级a核
35	12344 33262	10	 * 	269.21	橙4易伤3攻速2时间	1a时间2平台3掉矿478a易伤59a攻速6核a序列升级
36	53632 33262	10	   	269.21	橙4易伤3攻速2时间	19a攻速2掉矿3a时间478a易伤5平台6核a序列升级
37	56212 33341	7	 * 	268.53	橙3易伤3雷电1伤害1等级1时间1攻速	1攻速246雷电346易伤46序列升级5随机矿7伤害8时间9核a等级
38	13326 25522	10	   	268.47	橙4易伤2时间1等级1暴击	1a时间2暴击346a易伤5矿等7等级8核9a敌人爆炸a序列升级
39	13334 25422	10	   	268.47	橙4易伤2时间1等级1暴击	1a时间2暴击356a易伤4金币生成7等级8a最后敌人9核a序列升级
40	33334 25122	10	   	268.47	橙4易伤2时间1等级1暴击	1a最后敌人2暴击356a易伤4金币生成7等级8a时间9核a序列升级
41	13334 25222	10	   	268.27	橙4易伤2时间1等级1暴击	1a时间2暴击356a易伤4金币生成7等级8a挖尘9核a序列升级
42	13334 25532	10	   	268.27	橙4易伤2时间1等级1暴击	1a时间2暴击3569易伤4金币生成7等级8核
43	13426 11353	2	 * 	267.52	5易伤3伤害3时间1暴击1全技能	19a时间2暴击3全技能49a伤害5679a易伤8双倍矿9a序列升级
44	33335 44122	10	   	267.23	橙3易伤2伤害2时间1暴击	1a最后敌人2暴击37a易伤4金币生成56伤害8a时间9核a序列升级
45	13322 22525	10	   	267.17	橙3易伤3时间1等级1暴击	156时间2暴击348易伤7核9等级a雷电
46	13335 44222	10	   	267.03	橙3易伤2伤害2时间1暴击	1a时间2暴击37a易伤4金币生成56伤害8a挖尘9核a序列升级
47	63332 44122	10	   	267.03	橙3易伤2伤害2时间1暴击	1a挖尘2暴击37a易伤46伤害5金币生成8a时间9核a序列升级
48	11512 22611	10	 * 	266.61	橙3易伤3时间2伤害	12a时间2a序列升级38a易伤4掉矿5敌人爆炸6双倍物品7核9a伤害
49	13322 14512	8	   	265.70	橙3易伤2时间1伤害1等级1暴击	15时间2暴击347易伤6敌人爆炸8核9等级a伤害
50	13322 34512	8	   	265.70	橙3易伤2时间1伤害1等级1暴击	15时间2暴击347易伤6低血量敌人8核9等级a伤害
