0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25623 11132	6	 * 	291.98	橙4易伤3伤害2时间	1358易伤25a伤害4平台58序列升级68时间78策反9核
2	26246 23313	8	 * 	291.73	橙5易伤2时间1伤害1暴击	13479易伤24时间4序列升级5伤害6金币生成8暴击a核
3	26242 53132	10	 * 	291.40	橙5易伤3时间1伤害	13479易伤245时间47序列升级67金币生成8伤害a核
4	26242 23132	10	   	291.30	橙5易伤3时间1伤害	13479易伤245时间47序列升级6随机矿8伤害a核
5	25623 11134	6	 * 	289.55	橙4易伤3时间2伤害	1358易伤25伤害4平台58序列升级68a时间78策反9核
6	26242 35232	10	   	289.55	橙4易伤3时间2伤害	134a易伤245时间4a序列升级6最后敌人7a低血量敌人8a伤害9核
7	26142 26232	10	   	289.55	橙4易伤3时间2伤害	147a易伤234时间4a序列升级5基地爆炸6a敌人爆炸8a伤害9核
8	26143 26232	10	   	289.45	橙4易伤3时间2伤害	147a易伤234时间4a序列升级5挖尘6a敌人爆炸8a伤害9核
9	26243 11513	6	   	287.81	橙5易伤2时间1等级1暴击	13489易伤24时间4序列升级5掉矿6等级7暴击a核
10	26242 53232	9	   	285.51	橙4易伤3时间1伤害1暴击	1347易伤245时间47序列升级67金币生成8暴击9核a伤害
11	26246 23323	9	   	285.41	橙4易伤3时间1伤害1暴击	1347易伤249时间4序列升级5伤害6金币生成8暴击a核
12	26242 53233	9	   	284.99	橙5易伤3时间1暴击	1347a易伤245时间47序列升级67金币生成8暴击9核
13	26242 22252	5	   	284.79	橙5易伤3时间1暴击	13478易伤245时间48序列升级68掉矿9暴击a核
14	25632 15313	9	   	284.43	橙4易伤2伤害2时间	139a易伤2a伤害4挖尘5额外掉落6核7雷电8a时间a序列升级
15	26141 33331	5	   	283.16	橙3易伤3时间2伤害1等级	14a易伤234时间4a序列升级5a金币生成6敌人爆炸7等级8核9a伤害
16	26141 43331	5	   	283.16	橙3易伤3时间2伤害1等级	14a易伤234时间4a序列升级5a金币生成6基地爆炸7等级8核9a伤害
17	26142 36231	9	   	283.16	橙3易伤3时间2伤害1等级	14a易伤234时间4a序列升级5a基地爆炸6矿等7等级8a伤害9核
18	26142 36331	7	   	283.16	橙3易伤3时间2伤害1等级	14a易伤234时间4a序列升级5a基地爆炸6矿等7等级8核9a伤害
19	26143 36231	9	   	282.96	橙3易伤3时间2伤害1等级	14a易伤234时间4a序列升级5a挖尘6矿等7等级8a伤害9核
20	26143 36331	7	   	282.96	橙3易伤3时间2伤害1等级	14a易伤234时间4a序列升级5a挖尘6矿等7等级8核9a伤害
21	26143 53331	6	   	282.96	橙3易伤3时间2伤害1等级	14a易伤234时间4a序列升级5a挖尘6金币生成7等级8核9a伤害
22	26243 43313	8	   	282.57	橙5易伤2时间1暴击1攻速	13479易伤24时间4序列升级5掉矿6攻速8暴击a核
23	26242 53232	10	   	281.70	橙4易伤3时间1等级1暴击	1347易伤245时间47序列升级67金币生成8暴击9核a等级
24	26136 31162	5	   	280.66	橙3易伤3时间2伤害1暴击	189易伤238时间4低血量敌人59伤害6核789金币生成89序列升级a暴击
25	26242 43222	5	   	278.92	橙3易伤3时间1伤害1等级1暴击	134易伤245时间4序列升级6暴击7等级8赏金塔9伤害a核
26	25612 21513	3	   	277.04	橙5易伤1伤害1时间1暴击	13589易伤2伤害4金币生成6时间7暴击a核
27	25612 21513	4	   	277.04	橙5易伤1伤害1时间1暴击	13589易伤2伤害4金币生成6时间7暴击a核
28	25612 63313	8	   	277.04	橙5易伤1伤害1时间1暴击	13679易伤2伤害4金币生成5时间8暴击a核
29	22144 22522	9	   	276.57	橙3易伤3时间2伤害1全技能	179易伤246敌人爆炸349时间49序列升级5全技能89伤害a核
30	22144 24222	9	   	276.57	橙3易伤3时间2伤害1全技能	189易伤246敌人爆炸349时间49序列升级5全技能79伤害a核
31	25623 11133	6	   	276.32	橙4易伤2伤害2时间	1358易伤25伤害4平台58序列升级68时间78策反9核a额外掉落
32	25623 11136	6	   	276.32	橙4易伤2伤害2时间	1358易伤25伤害4平台58序列升级68时间78策反9核a金币生成
33	23342 66232	10	   	276.32	橙4易伤2伤害2时间	147a易伤234基地爆炸4a序列升级5敌人爆炸6a时间8a伤害9核
34	26243 43323	9	   	276.25	橙4易伤3时间1暴击1攻速	1347易伤249时间4序列升级5掉矿6攻速8暴击a核
35	25623 11112	6	   	276.22	橙4易伤2伤害2时间	1358易伤25伤害4平台58序列升级68时间78策反9赏金邻近a核
36	25623 11131	6	   	276.22	橙4易伤2伤害2时间	1358易伤25伤害4平台58序列升级68时间78策反9核a挖尘
37	52243 16232	10	   	276.22	橙4易伤2伤害2时间	1a时间246敌人爆炸347a易伤4a序列升级5挖青8a伤害9核
38	25135 33152	3	 * 	275.87	橙3易伤3伤害2攻速1等级	18a易伤289伤害3低血量敌人4随机矿5等级6核78攻速8序列升级
39	25135 33152	2	   	275.87	橙3易伤3伤害2攻速1等级	18a易伤289伤害3随机矿4低血量敌人5等级6核78攻速8序列升级
40	25623 16212	10	   	275.19	橙4易伤2伤害1时间1暴击	1357易伤25伤害4平台5序列升级6时间8暴击9金币生成a核
41	25623 25132	8	   	275.19	橙4易伤2伤害1时间1暴击	135a易伤25伤害4平台5序列升级6最后敌人7暴击8时间9核
42	26243 11324	9	   	274.44	橙4易伤2时间1伤害1等级1卖塔	134a易伤24时间4序列升级5掉矿6等级7卖塔8核9伤害
