0	Index      	 *	Score 	Summary	Detail	
1	33432 22142	 * 	235.44	橙4易伤2全技能2伤害	18挖尘24全技能38伤害5立即金币689a易伤7核8序列升级
2	33432 22144	   	227.90	橙3易伤2全技能2伤害1时间	18挖尘24全技能38伤害5立即金币689易伤7核8序列升级a时间
3	33432 22141	   	219.59	橙3易伤2全技能2伤害	18挖尘24全技能38伤害5立即金币689易伤7核8序列升级a金币生成
4	33432 22143	   	219.59	橙3易伤2全技能2伤害	18挖尘24全技能38伤害5立即金币689易伤7核8序列升级a基地爆炸
5	33432 22146	   	219.59	橙3易伤2全技能2伤害	18挖尘24全技能38伤害5立即金币689易伤7核8序列升级a雷电
6	33422 22112	   	219.59	橙3易伤2全技能2伤害	18挖尘29全技能38伤害4双倍矿5立即金币68a易伤7核8序列升级
7	33432 22145	   	219.49	橙3易伤2全技能2伤害	18挖尘24全技能38伤害5立即金币689易伤7核8序列升级a等级
8	33422 22142	   	219.36	橙4易伤2伤害1全技能	18挖尘2全技能38伤害4双倍矿5立即金币689a易伤7核8序列升级
9	33452 22111	 * 	219.17	橙3易伤3伤害1全技能	18挖尘2全技能348伤害5立即金币689易伤7核8序列升级a随机矿
10	33452 22115	   	219.17	橙3易伤3伤害1全技能	18挖尘2全技能348伤害5立即金币689易伤7核8序列升级a金币生成
11	33452 22112	   	219.07	橙3易伤3伤害1全技能	18a挖尘2全技能348伤害5立即金币689易伤7核8序列升级
12	33452 22113	   	219.07	橙3易伤3伤害1全技能1挖怪	18挖尘2全技能348伤害5立即金币689易伤7核8序列升级a挖怪
13	33452 22114	   	219.07	橙3易伤3伤害1全技能	18挖尘2全技能348伤害5立即金币689易伤7核8序列升级a掉矿
14	33452 22116	   	219.07	橙3易伤3伤害1全技能	18挖尘2全技能348伤害5立即金币689易伤7核8序列升级a防空对甲
15	33432 22136	 * 	217.91	橙2易伤2全技能2伤害1暴击	18挖尘24全技能38伤害5立即金币68易伤7核8序列升级9加农对甲a暴击
16	33432 22114	 * 	217.36	橙3全技能2易伤2伤害1策反	18挖尘249全技能38伤害5立即金币68易伤7核8序列升级a策反
17	33456 22112	   	217.13	橙3易伤2全技能2伤害	18挖尘29全技能34伤害58电球减费68a易伤7核8序列升级
18	33436 22142	   	215.39	橙4易伤2全技能1伤害	18挖尘24全技能3伤害58电球减费689a易伤7核8序列升级
19	33432 22125	   	213.40	橙2易伤2全技能2伤害1技能1时间	18挖尘24全技能38伤害5立即金币68易伤7核8序列升级9时间a技能
20	33422 22144	   	211.82	橙3易伤2伤害1全技能1时间	18挖尘2全技能38伤害4双倍矿5立即金币689易伤7核8序列升级a时间
21	33452 22151	   	211.67	橙3伤害2易伤1全技能1策反	18挖尘2全技能348伤害5立即金币68易伤7核8序列升级9策反a多重对紫
22	33452 22153	   	211.67	橙3伤害2易伤1全技能1策反	18挖尘2全技能348伤害5立即金币68易伤7核8序列升级9策反a电球减费
23	33452 22152	   	211.57	橙3伤害2易伤1全技能1策反	18挖尘2全技能348伤害5立即金币68易伤7核8序列升级9策反a等级
24	33432 22121	   	210.07	橙2易伤2全技能2伤害1时间	18挖尘24全技能38伤害5立即金币68易伤7核8序列升级9时间a金币生成
25	33432 22124	   	210.07	橙2易伤2全技能2伤害1时间	18挖尘24全技能38伤害5立即金币68易伤7核8序列升级9时间a低血量敌人
26	33422 22114	   	210.07	橙2易伤2全技能2伤害1时间	18挖尘29全技能38伤害4双倍矿5立即金币68易伤7核8序列升级a时间
27	33432 22122	   	209.97	橙2易伤2全技能2伤害1时间	18a挖尘24全技能38伤害5立即金币68易伤7核8序列升级9时间
28	33432 22123	   	209.97	橙2易伤2全技能2伤害1时间	18挖尘24全技能38伤害5立即金币68易伤7核8序列升级9时间a掉矿
29	33432 22126	   	209.97	橙2易伤2全技能2伤害1时间	18挖尘24全技能38伤害5立即金币68易伤7核8序列升级9时间a挖青
30	33452 22125	   	209.65	橙3伤害2易伤1全技能1时间	18挖尘2全技能348伤害5立即金币68易伤7核8序列升级9基地爆炸a时间
31	33432 22115	   	207.34	橙3全技能2易伤2伤害	18挖尘249全技能38伤害5a立即金币68易伤7核8序列升级
32	33432 22111	   	207.02	橙3全技能2易伤2伤害	18挖尘249全技能38伤害5立即金币68易伤7核8序列升级a敌人爆炸
33	33432 22112	   	207.02	橙3全技能2易伤2伤害	18挖尘249全技能38伤害5立即金币68易伤7核8序列升级a最后敌人
34	33432 22113	   	207.02	橙3全技能2易伤2伤害	18挖尘249全技能38伤害5立即金币68易伤7核8序列升级a基地爆炸
35	33432 22116	   	207.02	橙3全技能2易伤2伤害	18挖尘249全技能38伤害5立即金币68易伤7核8序列升级a雷电
36	13436 21341	   	205.81	橙2易伤2全技能2伤害1时间	19敌人爆炸24全技能39伤害5电球减费6雷电79易伤8核9序列升级a时间
