0	Index      	 *	Score 	Summary	Detail	
1	25311 61433	 * 	344.48	DCR|DCR|4VULN|2TLV|2DUR	17TLV|28DUR|37ZMB|457aVULN|69RCR|7BPWR
2	22322 61233	 * 	340.62	DCR|DCR|2VULN|2TLV|2DMG|2DUR	18TLV|23DMG|45DUR|69RCR|7aVULN
3	22212 63233	   	337.30	DCR|DCR|3VULN|2TLV|1DMG	18TLV|2DMG|34aVULN|5DUR|69RCR|7AEFBLL
4	22221 63233	   	337.30	DCR|DCR|3VULN|2TLV|1DMG	18TLV|2DMG|35aVULN|4DUR|69RCR|7AEFBLL
5	25513 21433	 * 	333.54	ACR|DCR|4VULN|2TLV|2ASPD|2DUR	17TLV|28DUR|39RCR|47ASPD|567aVULN|7BPWR
6	22334 61233	   	332.85	DCR|DCR|2VULN|2TLV|2DMG	18TLV|23DMG|4RCVC|5DUR|69RCR|7aVULN
7	22326 63233	   	332.75	DCR|DCR|2VULN|2TLV|2DMG	18TLV|23DMG|4DUR|5aVULN|69RCR|7AEFBLL
8	22354 61233	   	332.75	DCR|DCR|2VULN|2TLV|2DMG	18TLV|23DMG|4AEFBLL|5DUR|69RCR|7aVULN
9	22463 61333	 * 	329.37	DCR|DCR|2TLV|2DMG|1VULN|1MLV	17TLV|27DMG|3BEXP|4MLV|578CGEN|69RCR|7BPWR|aVULN
10	22411 63233	   	327.64	DCR|DCR|3VULN|2TLV|1DMG	18TLV|2DMG|3BEXP|45aVULN|69RCR|7AEFBLL
11	25311 61431	   	325.31	DCR|DCR|3VULN|2TLV|2DUR	17TLV|28DUR|37ZMB|457VULN|69RCR|7BPWR|aFEWX
12	25311 61432	   	325.31	DCR|DCR|3VULN|2TLV|2DUR	17TLV|28DUR|37ZMB|457VULN|69RCR|7BPWR|aLHND
13	22212 63433	   	324.53	DCR|DCR|3VULN|1TLV|1DMG|2DUR	1TLV|2DMG|34aVULN|58DUR|69RCR|7AEFBLL
14	22221 63433	   	324.53	DCR|DCR|3VULN|1TLV|1DMG|2DUR	1TLV|2DMG|35aVULN|48DUR|69RCR|7AEFBLL
15	22333 13363	 * 	322.09	DCR|DCR|2DMG|1TLV|1LIT|1VULN|1ASPD	1TLV|23DMG|4RCVC|5ASPD|6aRCR|7LIT|8VULN|9AIRHEA
16	22353 13363	   	321.99	DCR|DCR|1TLV|2DMG|1LIT|1VULN|1ASPD	1TLV|23DMG|4AEFBLL|5ASPD|6aRCR|7LIT|8VULN|9AIRHEA
