0	Index      	 *	Score 	Summary	Detail	
1	26326 61332	 * 	300.78	DCR|DCR|3VULN|1TLV|1CDMG	1AAC|2CGEN|3TLV|45aVULN|6CDMG|78RCR|9DMSP
2	26324 61332	 * 	299.19	DCR|DCR|2VULN|2TLV|1CDMG	1AAC|2CGEN|35TLV|4aVULN|6CDMG|78RCR|9DMSP
3	26326 61322	   	288.21	DCR|DCR|2VULN|1TLV|1CDMG	1AAC|2CGEN|3TLV|45VULN|6CDMG|78RCR|9ERES|aBBNT
4	26326 61312	   	286.95	DCR|DCR|2VULN|1TLV|1CDMG	1AAC|2CGEN|3TLV|45VULN|6CDMG|78RCR|9LHND|aAART
5	32223 22255	 * 	285.91	DCR|DCR|1TLV|1LIT|1VULN|1MLV|1SELL	1SELL|2FEWX|3MDPS|4VULN|5MLV|6TLV|79RCR|8BEXP|aLIT
6	32223 22155	 * 	285.81	DCR|DCR|1TLV|1LIT|1VULN|1MLV|1SELL	1SELL|2FEWX|3MDPS|4VULN|5MLV|6TLV|79RCR|8DUST|aLIT
7	26326 61331	 * 	284.96	DCR|DCR|2VULN|1TLV|2CDMG	1AAC|2CGEN|3TLV|45VULN|6aCDMG|78RCR|9DMSP
8	42142 21135	 * 	282.74	DCR|DCR|2TLV|1MLV|1ASPD	1MLV|2LHND|3FEWX|4BBNT|58TLV|6LWND|7aRCR|9ASPD
9	42242 21135	   	282.74	DCR|DCR|2TLV|1MLV|1ASPD	1MLV|2LHND|3BEXP|4BBNT|58TLV|6LWND|7aRCR|9ASPD
10	11442 21135	   	282.64	DCR|DCR|2TLV|1MLV|1ASPD	1RCVC|2MLV|3MDPS|4BBNT|58TLV|6LWND|7aRCR|9ASPD
11	26324 61322	   	282.55	DCR|DCR|2TLV|1VULN|1CDMG	1AAC|2CGEN|35TLV|4VULN|6CDMG|78RCR|9ERES|aBBNT
12	11141 21352	 * 	281.56	DCR|DCR|3VULN|1MLV|1DMG|1CDMG	1RCVC|2MLV|3CDMG|4ERES|5DMG|69aVULN|78RCR
13	26324 61312	   	281.29	DCR|DCR|2TLV|1VULN|1CDMG	1AAC|2CGEN|35TLV|4VULN|6CDMG|78RCR|9LHND|aAART
14	26324 61331	 * 	279.30	DCR|DCR|2TLV|1VULN|2CDMG	1AAC|2CGEN|35TLV|4VULN|6aCDMG|78RCR|9DMSP
15	11141 21363	 * 	278.96	DCR|DCR|1LIT|1VULN|1MLV|1DMG|1ASPD|1CDMG	1RCVC|2MLV|3CDMG|4ERES|5DMG|6VULN|78RCR|9LIT|aASPD
16	26326 61313	   	278.64	DCR|DCR|2VULN|1TLV|1CDMG	1AAC|2CGEN|3TLV|45VULN|6CDMG|78RCR|9LHND|aBEXP
17	26326 61311	   	278.54	DCR|DCR|2VULN|1TLV|1CDMG	1AAC|2CGEN|3TLV|45VULN|6CDMG|78RCR|9LHND|aERES
18	26326 61333	   	278.54	DCR|DCR|2VULN|1TLV|1CDMG	1AAC|2CGEN|3TLV|45VULN|6CDMG|78RCR|9DMSP|aLSRHEA
19	26326 61321	   	278.44	DCR|DCR|2VULN|1TLV|1CDMG	1AAC|2CGEN|3TLV|45VULN|6CDMG|78RCR|9ERES|aAME
20	26326 61323	   	278.44	DCR|DCR|2VULN|1TLV|1CDMG	1AAC|2CGEN|3TLV|45VULN|6CDMG|78RCR|9ERES|aMBVNT
21	12324 26263	 * 	276.95	DCR|3LIT|2VULN|1TLV|2CDMG	1RCVC|2TBNT|3aCDMG|4aVULN|5FLTARM|6RCR|7TLV|89aLIT|aBPWR
22	42122 23635	 * 	275.77	ACR|DCR|2VULN|2MLV|1TLV|1ASPD	17MLV|2LHND|37FEWX|47VULN|5aRCR|6TBNT|7BPWR|8TLV|9ASPD
23	11141 21362	   	274.97	DCR|DCR|1LIT|1VULN|1MLV|1DMG|1CDMG	1RCVC|2MLV|3CDMG|4ERES|5DMG|6VULN|78RCR|9LIT|aBBNT
24	55225 23232	 * 	273.89	DCR|3VULN|2TLV|1LIT	1LEGI|2AAC|3AART|47TLV|57aVULN|6RCR|7BPWR|8LIT|9BBNT
25	11141 21365	   	273.61	DCR|DCR|1LIT|1VULN|1MLV|1DMG|1CDMG	1RCVC|2MLV|3CDMG|4ERES|5DMG|6VULN|78RCR|9LIT|aRPLT
26	26324 61313	   	272.99	DCR|DCR|2TLV|1VULN|1CDMG	1AAC|2CGEN|35TLV|4VULN|6CDMG|78RCR|9LHND|aBEXP
27	26324 61311	   	272.89	DCR|DCR|2TLV|1VULN|1CDMG	1AAC|2CGEN|35TLV|4VULN|6CDMG|78RCR|9LHND|aERES
28	26324 61333	   	272.89	DCR|DCR|2TLV|1VULN|1CDMG	1AAC|2CGEN|35TLV|4VULN|6CDMG|78RCR|9DMSP|aLSRHEA
29	26324 61321	   	272.79	DCR|DCR|2TLV|1VULN|1CDMG	1AAC|2CGEN|35TLV|4VULN|6CDMG|78RCR|9ERES|aAME
30	26324 61323	   	272.79	DCR|DCR|2TLV|1VULN|1CDMG	1AAC|2CGEN|35TLV|4VULN|6CDMG|78RCR|9ERES|aMBVNT
31	14311 61321	 * 	272.40	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1RCVC|2VULN|3CGEN|4RMIN|5DMG|6CDMG|78RCR|9ERES|aTLV
