0	Index      	 *	Score 	Summary	Detail	
1	32111 22455	 * 	312.62	DCR|DCR|1TLV|1LIT|1VULN|1RPLT	1LIT|2ERES|3RPLT|4AART|5TLV|69RCR|7BBNT|8TBNT|aVULN
2	33144 21134	 * 	304.82	ACR|3VULN|3LIT|2TLV|3DUR|1RPLT	189LIT|2aTLV|3RPLT|4RCR|58aDUR|6TBNT|78aVULN|8aBPWR
3	35111 21133	 * 	300.34	DCR|2TLV|2LIT|1VULN|1MLV|1RPLT|1ASPD	19LIT|2MLV|3RPLT|4AART|5aTLV|6RCR|7VULN|8ASPD
4	35111 21613	   	300.34	DCR|2TLV|2LIT|1VULN|1MLV|1RPLT|1ASPD	18LIT|2MLV|3RPLT|4AART|5aTLV|6RCR|7VULN|9ASPD
5	35111 21636	 * 	299.72	DCR|2TLV|2LIT|2MLV|1VULN|1RPLT	18LIT|29MLV|3RPLT|4AART|5aTLV|6RCR|7VULN
6	33316 32452	 * 	295.59	DCR|2VULN|2TLV|1LIT|1MLV|1DMG	1LIT|26TLV|3SNIHEL|4MLV|56VULN|6BPWR|7BBNT|8TSLFST|9RCR|aDMG
7	33316 33126	   	295.44	DCR|2VULN|2TLV|1LIT|1MLV|1DMG|1SELL	1LIT|26TLV|3SNIHEL|4MLV|56VULN|6BPWR|7DMG|8DUR|9SELL|aRCR
8	33416 33126	   	295.44	DCR|2VULN|2TLV|1LIT|1MLV|1DMG|1SELL	1LIT|26TLV|3AIRHEA|4MLV|56VULN|6BPWR|7DMG|8DUR|9SELL|aRCR
9	31115 61523	 * 	294.44	DCR|3VULN|2TLV|2LIT|1RPLT	1aLIT|2MDPS|3RPLT|49ERES|5aTLV|6RCR|78aVULN|aBPWR
10	33243 13631	   	294.10	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1LIT|2TLV|3ZMB|4SNIHEL|5VULN|6BBNT|7ASPD|8aRCR|9RMIN
11	33333 13631	   	294.10	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1LIT|2TLV|3SNIHEL|4AAC|5VULN|6BBNT|7ASPD|8aRCR|9RMIN
12	33363 13631	   	294.10	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1LIT|2TLV|3SNIHEL|4ZMB|5VULN|6BBNT|7ASPD|8aRCR|9RMIN
13	33433 13631	   	294.10	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1LIT|2TLV|3AIRHEA|4AAC|5VULN|6BBNT|7ASPD|8aRCR|9RMIN
14	33463 13631	   	294.10	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1LIT|2TLV|3AIRHEA|4ZMB|5VULN|6BBNT|7ASPD|8aRCR|9RMIN
15	33243 13641	   	294.00	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1LIT|2TLV|3ZMB|4SNIHEL|5VULN|6BBNT|7ASPD|8aRCR|9ERES
16	33333 13641	   	294.00	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1LIT|2TLV|3SNIHEL|4AAC|5VULN|6BBNT|7ASPD|8aRCR|9ERES
17	33363 13641	   	294.00	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1LIT|2TLV|3SNIHEL|4ZMB|5VULN|6BBNT|7ASPD|8aRCR|9ERES
18	33433 13641	   	294.00	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1LIT|2TLV|3AIRHEA|4AAC|5VULN|6BBNT|7ASPD|8aRCR|9ERES
19	35111 21535	   	292.48	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1LIT|2MLV|3RPLT|4AART|59TLV|6RCR|7aVULN|8DUST
20	43223 32541	 * 	290.45	ACR|DCR|2VULN|2TLV|1LIT	1RMIN|29RCR|368FEWX|48VULN|5BBNT|78TLV|8BPWR|aLIT
21	33316 32136	   	289.28	DCR|2VULN|2TLV|1LIT|1MLV|1CDMG	1LIT|26TLV|3SNIHEL|4MLV|56VULN|6BPWR|7BBNT|8CDMG|9BEXP|aRCR
22	33316 32156	   	289.28	DCR|2VULN|2TLV|1LIT|1MLV|1CDMG	1LIT|26TLV|3SNIHEL|4MLV|56VULN|6BPWR|7BBNT|8CDMG|9LWND|aRCR
23	33416 32136	   	289.28	DCR|2VULN|2TLV|1LIT|1MLV|1CDMG	1LIT|26TLV|3AIRHEA|4MLV|56VULN|6BPWR|7BBNT|8CDMG|9BEXP|aRCR
24	33316 31226	   	289.18	DCR|2VULN|2TLV|1LIT|1MLV|1CDMG	1LIT|26TLV|3SNIHEL|4MLV|56VULN|6BPWR|7AME|8CDMG|9DUR|aRCR
25	33316 32116	   	289.18	DCR|2VULN|2TLV|1LIT|1MLV|1CDMG	1LIT|26TLV|3SNIHEL|4MLV|56VULN|6BPWR|7BBNT|8CDMG|9LEGI|aRCR
26	33416 31226	   	289.18	DCR|2VULN|2TLV|1LIT|1MLV|1CDMG	1LIT|26TLV|3AIRHEA|4MLV|56VULN|6BPWR|7AME|8CDMG|9DUR|aRCR
27	33416 32116	   	289.18	DCR|2VULN|2TLV|1LIT|1MLV|1CDMG	1LIT|26TLV|3AIRHEA|4MLV|56VULN|6BPWR|7BBNT|8CDMG|9LEGI|aRCR
28	35111 21413	   	287.87	DCR|2TLV|1LIT|1VULN|1MLV|1RPLT|2AART|1ASPD	1LIT|2MLV|3RPLT|48AART|5aTLV|6RCR|7VULN|9ASPD
29	35111 21436	   	287.25	DCR|2TLV|2MLV|1LIT|1VULN|1RPLT|2AART	1LIT|29MLV|3RPLT|48AART|5aTLV|6RCR|7VULN
30	35111 21663	   	286.69	DCR|2TLV|2LIT|1VULN|1MLV|1RPLT	18LIT|2MLV|3RPLT|4AART|5aTLV|6RCR|7VULN|9ZMB
31	34111 21633	   	286.69	DCR|2TLV|2LIT|1VULN|1MLV|1RPLT	18LIT|2CGEN|3RPLT|4AART|5aTLV|6RCR|7VULN|9MLV
32	32111 21633	   	286.59	DCR|2TLV|2LIT|1VULN|1MLV|1RPLT	18LIT|2ERES|3RPLT|4AART|5aTLV|6RCR|7VULN|9MLV
33	35111 21532	   	286.34	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|1RPLT	1LIT|2MLV|3RPLT|4AART|59TLV|6RCR|7VULN|8DUST|aDMG
34	33316 33242	   	285.93	DCR|2VULN|2TLV|1LIT|1MLV|1DMG	1LIT|26TLV|3SNIHEL|4MLV|56VULN|6BPWR|7DMG|8MBVNT|9BEXP|aRCR
35	33416 33242	   	285.93	DCR|2VULN|2TLV|1LIT|1MLV|1DMG	1LIT|26TLV|3AIRHEA|4MLV|56VULN|6BPWR|7DMG|8MBVNT|9BEXP|aRCR
36	33316 33426	   	285.78	DCR|2VULN|2TLV|1LIT|1MLV|1DMG|1SELL	1LIT|26TLV|3SNIHEL|4MLV|56VULN|6BPWR|7DMG|8BEXP|9SELL|aRCR
