0	Index      	 *	Score 	Summary	Detail	
1	11233 56743	 * 	307.82	DCR|DCR|1VULN|1TLV|1MLV|1DMG|1CDMG	1LWND|2VULN|3DMG|4CDMG|5ERES|6TLV|7MBVNT|8MLV|9aRCR
2	33422 45233	 * 	301.74	DCR|DCR|2MLV|1VULN|1DMG|1CDMG	1RMIN|2LIT|3LWND|4VULN|58MLV|69RCR|7CDMG|aDMG
3	41613 36122	 * 	286.53	DCR|DCR|3VULN|1ASPD	124VULN|3LHND|5AART|69RCR|7TBNT|8ASPD|aZMB
4	41613 36121	   	286.43	DCR|DCR|3VULN|1ASPD	124VULN|3LHND|5AART|69RCR|7TBNT|8ASPD|aAEWIND
5	41613 36123	   	286.43	DCR|DCR|3VULN|1ASPD	124VULN|3LHND|5AART|69RCR|7TBNT|8ASPD|aMBVNT
6	53122 16115	 * 	282.44	DCR|3VULN|1TLV|2ASPD|1MLV|1AAC	14ASPD|2BELT|348VULN|4BPWR|5BBNT|6AAC|7TLV|9MLV|aRCR
7	11122 16613	   	281.93	DCR|DCR|3VULN|1DMG	1LWND|289VULN|3AETHUN|4CGEN|5DMG|6RPLT|7aRCR
8	11215 51213	   	281.93	DCR|DCR|3VULN|1DMG	1LWND|269VULN|3DMG|4RPLT|5CGEN|7BEXP|8aRCR
9	11215 53213	   	281.93	DCR|DCR|3VULN|1DMG	1LWND|269VULN|3DMG|4RPLT|5CGEN|7DUST|8aRCR
10	55333 13326	 * 	281.84	DCR|2VULN|2MLV|1TLV|1ASPD|2RAT|1CDMG	1ASPD|28MLV|3DUST|4TLV|58RAT|6CDMG|78VULN|8BPWR|9RMIN|aRCR
11	11213 51513	   	281.83	DCR|DCR|3VULN|1DMG	1LWND|269VULN|3DMG|4RPLT|5ERES|7BEXP|8aRCR
12	11213 53513	   	281.83	DCR|DCR|3VULN|1DMG	1LWND|269VULN|3DMG|4RPLT|5ERES|7DUST|8aRCR
13	33422 45231	   	281.68	DCR|DCR|2MLV|1VULN|1CDMG	1RMIN|2LIT|3LWND|4VULN|58MLV|69RCR|7CDMG|aRPLT
14	33422 45232	   	281.58	DCR|DCR|2MLV|1VULN|1CDMG	1RMIN|2LIT|3LWND|4VULN|58MLV|69RCR|7CDMG|aERES
15	53123 22413	 * 	280.50	DCR|3VULN|3ASPD|1MLV|1DMG|1CDMG	146ASPD|2BELT|346VULN|46BPWR|5RCVC|7MLV|8DMG|9CDMG|aRCR
16	51213 56313	 * 	278.87	DCR|DCR|2VULN|2ASPD	18ASPD|2DUR|3FEWX|4RPLT|5ERES|69VULN|7aRCR
17	11626 51213	   	278.76	DCR|DCR|3VULN|1AAC	1LWND|269VULN|3CGEN|4RPLT|5AAC|7BEXP|8aRCR
18	11626 53213	   	278.76	DCR|DCR|3VULN|1AAC	1LWND|269VULN|3CGEN|4RPLT|5AAC|7DUST|8aRCR
19	11315 51213	   	278.12	DCR|DCR|3VULN|1ASPD	1LWND|269VULN|3ASPD|4RPLT|5CGEN|7BEXP|8aRCR
20	11315 53213	   	278.12	DCR|DCR|3VULN|1ASPD	1LWND|269VULN|3ASPD|4RPLT|5CGEN|7DUST|8aRCR
21	11313 51513	   	278.02	DCR|DCR|3VULN|1ASPD	1LWND|269VULN|3ASPD|4RPLT|5ERES|7BEXP|8aRCR
22	11313 53513	   	278.02	DCR|DCR|3VULN|1ASPD	1LWND|269VULN|3ASPD|4RPLT|5ERES|7DUST|8aRCR
23	23342 41632	 * 	277.98	DCR|3VULN|3MLV|3CDMG	135CDMG|2RCVC|35BPWR|459MLV|68aVULN|7RCR
