0	Index      	 *	Score 	Summary	Detail	
1	13613 42227	 * 	332.31	DCR|DCR|2VULN|2AAC|1TLV|1MLV	1MBVNT|2aAAC|3AEBURN|4TLV|57VULN|6MLV|89RCR
2	21143 21226	 * 	331.03	DCR|DCR|2VULN|2AAC|2ASPD|1DMG	17AEPOI|27ASPD|3DUR|4DMG|57VULN|6aAAC|7BPWR|89RCR
3	11546 52142	 * 	327.00	ACR|DCR|3MLV|2VULN|2TLV	1MBVNT|2MDPS|38RCR|4aVULN|56aMLV|7BBNT|9aTLV|aBPWR
4	13152 51228	 * 	326.06	DCR|DCR|3VULN|2AAC|1TLV	1MBVNT|25AAC|367VULN|47FEWX|7BPWR|89RCR|aTLV
5	13111 52227	   	325.96	DCR|DCR|3VULN|2AAC|1TLV	1MBVNT|2aAAC|367VULN|4RMIN|5TLV|89RCR
6	13613 42228	   	324.14	DCR|DCR|2VULN|1TLV|1MLV|1AAC	1MBVNT|2AAC|3AEBURN|4TLV|57VULN|6MLV|89RCR|aRAT
7	21343 21226	   	322.72	DCR|DCR|2VULN|2AAC|2ASPD|1DMG	17AEPOI|27ASPD|3LWND|4DMG|57VULN|6aAAC|7BPWR|89RCR
8	13111 52228	   	317.80	DCR|DCR|3VULN|1TLV|1AAC	1MBVNT|2AAC|367VULN|4RMIN|5TLV|89RCR|aRAT
9	13612 42222	   	317.21	DCR|DCR|2VULN|1TLV|1MLV|1AAC	1MBVNT|2AAC|3AEBURN|4TLV|5AME|67VULN|89RCR|aMLV
10	13613 42222	   	317.21	DCR|DCR|2VULN|1TLV|1MLV|1AAC	1MBVNT|2AAC|3AEBURN|4TLV|57VULN|6MLV|89RCR|aAME
11	13613 42225	   	317.21	DCR|DCR|2VULN|1TLV|1MLV|1AAC	1MBVNT|2AAC|3AEBURN|4TLV|57VULN|6MLV|89RCR|aFEWX
12	13613 42226	   	317.21	DCR|DCR|2VULN|1TLV|1MLV|1AAC	1MBVNT|2AAC|3AEBURN|4TLV|57VULN|6MLV|89RCR|aLHND
13	13613 42221	   	317.11	DCR|DCR|2VULN|1TLV|1MLV|1AAC	1MBVNT|2AAC|3AEBURN|4TLV|57VULN|6MLV|89RCR|aLSRREG
14	13613 42223	   	317.11	DCR|DCR|2VULN|1TLV|1MLV|1AAC|1MSE	1MBVNT|2AAC|3AEBURN|4TLV|57VULN|6MLV|89RCR|aMSE
15	13613 42224	   	317.11	DCR|DCR|2VULN|1TLV|1MLV|1AAC	1MBVNT|2AAC|3AEBURN|4TLV|57VULN|6MLV|89RCR|aBEXP
16	21513 42222	   	316.56	DCR|DCR|2VULN|1TLV|1MLV|1ASPD	1AEPOI|2ASPD|3MBVNT|4TLV|57VULN|6AME|89RCR|aMLV
17	21143 21222	   	315.93	DCR|DCR|2VULN|2ASPD|1DMG|1AAC	17AEPOI|27ASPD|3DUR|4DMG|57VULN|6AAC|7BPWR|89RCR|aAME
18	21143 21224	   	315.93	DCR|DCR|2VULN|2ASPD|1DMG|1AAC	17AEPOI|27ASPD|3DUR|4DMG|57VULN|6AAC|7BPWR|89RCR|aFEWX
19	21143 21225	   	315.93	DCR|DCR|2VULN|2ASPD|1DMG|1AAC	17AEPOI|27ASPD|3DUR|4DMG|57VULN|6AAC|7BPWR|89RCR|aLWND
20	21143 21221	   	315.83	DCR|DCR|2VULN|2ASPD|1DMG|1AAC	17AEPOI|27ASPD|3DUR|4DMG|57VULN|6AAC|7BPWR|89RCR|aBLAICY
21	21143 21223	   	315.83	DCR|DCR|2VULN|2ASPD|1DMG|1AAC|1MSE	17AEPOI|27ASPD|3DUR|4DMG|57VULN|6AAC|7BPWR|89RCR|aMSE
22	13115 42424	 * 	311.22	DCR|DCR|2VULN|2MLV|1AAC	1MBVNT|2AAC|3aVULN|4RMIN|5BBNT|69RCR|7aMLV|8aFEWX|aBPWR
23	13115 42124	   	311.02	DCR|DCR|2VULN|2MLV|1AAC	1MBVNT|2AAC|3aVULN|4RMIN|5BBNT|69RCR|7aMLV|8aDUST|aBPWR
24	13111 52222	   	310.86	DCR|DCR|3VULN|1TLV|1AAC	1MBVNT|2AAC|367VULN|4RMIN|5TLV|89RCR|aAME
25	13111 52225	   	310.86	DCR|DCR|3VULN|1TLV|1AAC	1MBVNT|2AAC|367VULN|4RMIN|5TLV|89RCR|aFEWX
26	13111 52226	   	310.86	DCR|DCR|3VULN|1TLV|1AAC	1MBVNT|2AAC|367VULN|4RMIN|5TLV|89RCR|aLWND
27	13111 52221	   	310.76	DCR|DCR|3VULN|1TLV|1AAC	1MBVNT|2AAC|367VULN|4RMIN|5TLV|89RCR|aMSLREG
28	13111 52223	   	310.76	DCR|DCR|3VULN|1TLV|1AAC	1MBVNT|2AAC|367VULN|4RMIN|5TLV|89RCR|aBEXP
29	13111 52224	   	310.76	DCR|DCR|3VULN|1TLV|1AAC|1MSE	1MBVNT|2AAC|367VULN|4RMIN|5TLV|89RCR|aMSE
30	21343 21222	   	307.62	DCR|DCR|2VULN|2ASPD|1DMG|1AAC	17AEPOI|27ASPD|3LWND|4DMG|57VULN|6AAC|7BPWR|89RCR|aAME
31	21343 21224	   	307.62	DCR|DCR|2VULN|2ASPD|1DMG|1AAC	17AEPOI|27ASPD|3LWND|4DMG|57VULN|6AAC|7BPWR|89RCR|aFEWX
32	21343 21225	   	307.62	DCR|DCR|2VULN|2ASPD|1DMG|1AAC	17AEPOI|27ASPD|3LWND|4DMG|57VULN|6AAC|7BPWR|89RCR|aLHND
33	21343 21221	   	307.52	DCR|DCR|2VULN|2ASPD|1DMG|1AAC	17AEPOI|27ASPD|3LWND|4DMG|57VULN|6AAC|7BPWR|89RCR|aBLAICY
34	21343 21223	   	307.52	DCR|DCR|2VULN|2ASPD|1DMG|1AAC|1MSE	17AEPOI|27ASPD|3LWND|4DMG|57VULN|6AAC|7BPWR|89RCR|aMSE
35	13613 47227	   	306.00	DCR|DCR|1VULN|2AAC|1TLV|1MLV	1MBVNT|2aAAC|3AEBURN|4TLV|5VULN|6MLV|7AEPOI|89RCR
36	14356 34427	 * 	304.88	DCR|DCR|2MLV|1TLV|1DMG|1AAC	1MBVNT|23LWND|48MLV|5TLV|69RCR|7DMG|aAAC
37	21513 42227	   	304.87	DCR|DCR|2VULN|1TLV|1AAC|1ASPD	1AEPOI|2ASPD|3MBVNT|4TLV|57VULN|6AME|89RCR|aAAC
38	13152 81228	   	303.92	DCR|DCR|2VULN|2AAC|1TLV	1MBVNT|25AAC|37VULN|47FEWX|6RCVC|7BPWR|89RCR|aTLV
39	13111 82227	   	303.82	DCR|DCR|2VULN|2AAC|1TLV	1MBVNT|2aAAC|37VULN|4RMIN|5TLV|6RCVC|89RCR
40	13111 57227	   	303.72	DCR|DCR|2VULN|2AAC|1TLV	1MBVNT|2aAAC|36VULN|4RMIN|5TLV|7AEPOI|89RCR
