0	Index      	 *	Score 	Summary	Detail	
1	53412 13325	 * 	291.89	DCR|DCR|2VULN|1TLV|1DMG	1TLV|2TBNT|3FEWX|45VULN|6DMG|7aRCR|8BEXP|9LWND
2	42221 21155	   	287.97	DCR|DCR|2VULN|1TLV|1ASPD	13VULN|2MDPS|4AEPOI|5ASPD|6TBNT|7TLV|8FEWX|9aRCR
3	52541 31322	 * 	284.51	DCR|3MLV|2VULN|2TLV	17TLV|27CGEN|369MLV|4LWND|57VULN|7BPWR|8DUR|aRCR
4	52531 21162	 * 	281.39	DCR|2VULN|3TLV|2MLV|1DMG|1SELL	167TLV|2CGEN|37MLV|4LEGI|57VULN|7BPWR|8SELL|9RCR|aDMG
5	54532 22221	 * 	280.28	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1ASPD|1SELL	1TLV|2FEWX|3SELL|4RAT|59RCR|6VULN|7MLV|8DMG|aASPD
6	55532 22221	 * 	280.18	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1ASPD|1SELL	1TLV|2BEXP|3SELL|4RAT|59RCR|6VULN|7MLV|8DMG|aASPD
7	21316 34413	 * 	278.76	DCR|DCR|3VULN|1AAC	1RPLT|2FEWX|3RCVC|4DUST|59aVULN|67RCR|8AAC
8	23236 34413	   	278.76	DCR|DCR|3VULN|1AAC	1RPLT|29aVULN|35LWND|4DUST|67RCR|8AAC
9	52541 31122	   	276.10	DCR|3MLV|2VULN|2TLV	17TLV|27CGEN|369MLV|4LWND|57VULN|7BPWR|8DUST|aRCR
10	42216 11326	 * 	274.50	DCR|3VULN|2MLV|2TLV	138VULN|2MDPS|4TBNT|5ERES|68TLV|78MLV|8BPWR|9DUST|aRCR
11	43453 41222	 * 	273.02	DCR|3VULN|2MLV|2DMG	137VULN|2CGEN|47MLV|5MBVNT|67DMG|7BPWR|8AME|9RAT|aRCR
12	23315 35135	   	272.62	DCR|DCR|1VULN|1TLV|1DMG	1RPLT|2VULN|3BELT|4DUST|5RAT|69RCR|7DMG|8CGEN|aTLV
13	52531 21342	 * 	269.88	DCR|2VULN|3TLV|2MLV	167TLV|2CGEN|37MLV|4LEGI|57VULN|7BPWR|8DUR|9RCVC|aRCR
