0	Index      	 *	Score 	Summary	Detail	
1	63336 11316	 * 	219.55	紫3伤害1基础对甲1攻速	1低血量敌人2易伤3核4敌人爆炸5攻速69a伤害7掉矿8基础对甲
2	63346 11313	   	217.45	紫1基础对甲2伤害1攻速1基地爆炸	1低血量敌人2易伤3核4挖尘5攻速69伤害7掉矿8基础对甲a基地爆炸
3	63336 11315	 * 	216.92	紫1基础对甲2伤害2易伤1攻速	1低血量敌人2a易伤3核4敌人爆炸5攻速69伤害7掉矿8基础对甲
4	63336 11351	   	212.98	紫1基础对甲2易伤1伤害1攻速1基地爆炸	1低血量敌人2a易伤3核4敌人爆炸5攻速6伤害7掉矿8基础对甲9基地爆炸
5	63331 66312	 * 	207.96	紫1基础对甲2基地爆炸2易伤1伤害	17低血量敌人27易伤3核4敌人爆炸5技能点67基地爆炸7序列升级8基础对甲9伤害a最后敌人
6	63331 66313	   	207.96	紫1基础对甲2基地爆炸2易伤1伤害	17低血量敌人27易伤3核4敌人爆炸5技能点67基地爆炸7序列升级8基础对甲9伤害a平台
7	63331 66311	   	207.86	紫1基础对甲2基地爆炸2易伤1伤害	17低血量敌人27易伤3核4敌人爆炸5技能点67基地爆炸7序列升级8基础对甲9伤害a多重对甲
8	15115 13335	 * 	206.23	橙1基础对甲2伤害2基地爆炸1攻速1全技能	15基地爆炸2攻速3敌人爆炸45伤害5序列升级6金币生成7易伤8基础对甲9全技能a核
9	13234 26316	   	206.16	紫1基础对甲2基地爆炸2易伤1伤害1技能	17基地爆炸27易伤3低血量敌人4敌人爆炸5核67等级7序列升级8基础对甲9伤害a技能
10	15521 13335	 * 	206.13	橙1基础对甲2攻速2基地爆炸1伤害1全技能	13基地爆炸23攻速3序列升级4伤害5挖尘6金币生成7易伤8基础对甲9全技能a核
11	13253 26261	 * 	204.41	紫2基础对甲3易伤2基地爆炸	19基地爆炸29a易伤3低血量敌人4双倍秒伤5核6金币生成7立即金币89基础对甲9序列升级
12	63336 16311	   	204.00	紫1基础对甲2伤害1攻速	1低血量敌人2易伤3核4敌人爆炸5攻速69伤害7金币生成8基础对甲a策反
13	63336 43311	   	204.00	紫1基础对甲2伤害1攻速	1低血量敌人2易伤3核4敌人爆炸5攻速6矿等79伤害8基础对甲a策反
14	63336 11311	   	203.90	紫1基础对甲2伤害1攻速	1低血量敌人2易伤3核4敌人爆炸5攻速69伤害7掉矿8基础对甲a策反
15	63336 16312	   	203.90	紫1基础对甲2伤害1攻速	1低血量敌人2易伤3核4敌人爆炸5攻速69伤害7金币生成8基础对甲a等级
16	63336 43312	   	203.90	紫1基础对甲2伤害1攻速	1低血量敌人2易伤3核4敌人爆炸5攻速6矿等79伤害8基础对甲a等级
17	63336 11312	   	203.80	紫1基础对甲2伤害1攻速	1低血量敌人2易伤3核4敌人爆炸5攻速69伤害7掉矿8基础对甲a等级
18	63346 11311	   	203.80	紫1基础对甲2伤害1攻速	1低血量敌人2易伤3核4挖尘5攻速69伤害7掉矿8基础对甲a策反
19	63346 11312	   	203.70	紫1基础对甲2伤害1攻速	1低血量敌人2易伤3核4挖尘5攻速69伤害7掉矿8基础对甲a等级
20	63336 11335	   	199.96	紫1基础对甲1伤害1攻速1基地爆炸	1低血量敌人2易伤3核4敌人爆炸5攻速6伤害7掉矿8基础对甲9时间a基地爆炸
21	63336 11352	   	199.96	紫1基础对甲1伤害1攻速1基地爆炸	1低血量敌人2易伤3核4敌人爆炸5攻速6伤害7掉矿8基础对甲9基地爆炸a金币生成
22	63336 11353	   	199.96	紫1基础对甲1伤害1攻速1基地爆炸	1低血量敌人2易伤3核4敌人爆炸5攻速6伤害7掉矿8基础对甲9基地爆炸a立即金币
23	63336 11325	   	199.86	紫1基础对甲1伤害1攻速1全技能	1低血量敌人2易伤3核4敌人爆炸5攻速6伤害7掉矿8基础对甲9双倍秒伤a全技能
24	63331 66331	   	199.72	紫1基础对甲3易伤2基地爆炸	17低血量敌人27a易伤3核4敌人爆炸5技能点67基地爆炸7序列升级8基础对甲9挖尘
25	63331 53316	   	199.49	紫3伤害1基础对甲	1低血量敌人2易伤3核4敌人爆炸5技能点6随机矿79a伤害8基础对甲
26	63333 13316	   	199.49	紫3伤害1基础对甲	1低血量敌人2易伤3核4敌人爆炸5掉矿69a伤害7策反8基础对甲
27	63333 52316	   	199.49	紫3伤害1基础对甲	1低血量敌人2易伤3核4敌人爆炸5掉矿6随机矿79a伤害8基础对甲
28	63336 16331	   	199.43	紫1基础对甲2易伤1伤害1攻速	1低血量敌人2a易伤3核4敌人爆炸5攻速6伤害7金币生成8基础对甲9时间
29	63336 43331	   	199.43	紫1基础对甲2易伤1伤害1攻速	1低血量敌人2a易伤3核4敌人爆炸5攻速6矿等7伤害8基础对甲9时间
30	63343 13316	   	199.39	紫3伤害1基础对甲	1低血量敌人2易伤3核4挖尘5掉矿69a伤害7策反8基础对甲
31	63336 11331	   	199.33	紫1基础对甲2易伤1伤害1攻速	1低血量敌人2a易伤3核4敌人爆炸5攻速6伤害7掉矿8基础对甲9时间
32	63322 34324	   	199.33	紫1基础对甲2易伤1伤害1攻速	14低血量敌人29易伤3核5掉矿6攻速7随机矿8基础对甲a伤害
33	63346 11331	   	199.23	紫1基础对甲2易伤1伤害1攻速	1低血量敌人2a易伤3核4挖尘5攻速6伤害7掉矿8基础对甲9时间
34	13234 26312	   	197.86	紫1基础对甲2基地爆炸2易伤1伤害	17基地爆炸27易伤3低血量敌人4敌人爆炸5核67等级7序列升级8基础对甲9伤害a最后敌人
