0	Index      	 *	Score 	Summary	Detail	
1	33324 31425	 * 	260.46	紫1基础对甲2攻速3暴击2易伤1全技能1基地爆炸	1核28易伤3平台4基地爆炸58a暴击68攻速7全技能8序列升级9基础对甲
2	33324 31422	   	254.42	紫1基础对甲2攻速2易伤2暴击1全技能1基地爆炸	1核28易伤3平台4基地爆炸58暴击68攻速7全技能8序列升级9基础对甲a金币生成
3	33324 31423	   	254.42	紫1基础对甲2攻速2易伤2暴击1全技能1基地爆炸	1核28易伤3平台4基地爆炸58暴击68攻速7全技能8序列升级9基础对甲a时间
4	33324 31426	   	254.42	紫1基础对甲2攻速2易伤2暴击1全技能1基地爆炸	1核28易伤3平台4基地爆炸58暴击68攻速7全技能8序列升级9基础对甲a敌人爆炸
5	33324 31421	   	254.32	紫1基础对甲2攻速2易伤2暴击1全技能1基地爆炸	1核28易伤3平台4基地爆炸58暴击68攻速7全技能8序列升级9基础对甲a挖尘
6	33263 43684	 * 	248.11	紫3攻速3基地爆炸3易伤1全技能	1核28a易伤3全技能4敌人爆炸5加一68a攻速78a基地爆炸8a序列升级9技能
7	33324 11425	 * 	245.95	紫1基础对甲2基地爆炸3暴击2易伤1全技能	1核28易伤3平台48基地爆炸58a暴击6技能7全技能8序列升级9基础对甲
8	33113 26162	 * 	242.38	紫1基础对甲2伤害2基地爆炸1攻速	1核2易伤3防空对直升47伤害58基地爆炸6攻速9雷电a基础对甲
9	31356 41132	 * 	241.57	紫2基础对甲2基础对冰1伤害1暴击	1核27金币生成3双倍矿4技能57基础对冰67基础对甲7序列升级8伤害9暴击a易伤
10	33113 35533	 * 	241.32	紫3伤害3基地爆炸2易伤1全技能1暴击	1核27易伤3防空对直升478伤害579基地爆炸6全技能7序列升级a暴击
11	33233 42524	 * 	240.77	紫1基础对甲2攻速2易伤1伤害1全技能	1核28易伤3全技能4低血量敌人5加一68攻速78策反8序列升级9基础对甲a伤害
12	33233 44524	   	240.77	紫1基础对甲2攻速2易伤1伤害1全技能	1核28易伤3全技能48低血量敌人5加一68攻速7随机矿8序列升级9基础对甲a伤害
13	33233 43624	 * 	240.57	紫1基础对甲2伤害2易伤1攻速1全技能	1核27易伤3全技能4低血量敌人5加一6攻速8a伤害9基础对甲
14	33263 45624	   	240.57	紫1基础对甲2伤害2易伤1攻速1全技能	1核27易伤3全技能4敌人爆炸5加一6攻速8a伤害9基础对甲
15	33324 11422	   	239.91	紫1基础对甲2基地爆炸2易伤2暴击1全技能	1核28易伤3平台48基地爆炸58暴击6技能7全技能8序列升级9基础对甲a金币生成
16	33324 11423	   	239.91	紫1基础对甲2基地爆炸2易伤2暴击1全技能	1核28易伤3平台48基地爆炸58暴击6技能7全技能8序列升级9基础对甲a时间
17	33324 11426	   	239.91	紫1基础对甲2基地爆炸2易伤2暴击1全技能	1核28易伤3平台48基地爆炸58暴击6技能7全技能8序列升级9基础对甲a敌人爆炸
18	33324 11421	   	239.81	紫1基础对甲2基地爆炸2易伤2暴击1全技能	1核28易伤3平台48基地爆炸58暴击6技能7全技能8序列升级9基础对甲a挖尘
19	33113 35535	 * 	239.60	紫3伤害3基地爆炸3易伤1全技能	1核27a易伤3防空对直升478伤害579基地爆炸6全技能7序列升级
20	33233 43626	   	236.63	紫1基础对甲2易伤1伤害1攻速1全技能1暴击	1核27易伤3全技能4低血量敌人5加一6攻速8伤害9基础对甲a暴击
21	33324 31325	   	236.63	紫1基础对甲2易伤2暴击1攻速1全技能1基地爆炸	1核28易伤3平台4基地爆炸5a暴击6攻速7全技能9基础对甲
22	33113 35462	 * 	236.58	紫3全技能2伤害3易伤2基地爆炸	1核27a易伤3防空对直升47伤害57基地爆炸689全技能7序列升级
23	33113 32322	   	236.53	紫1基础对甲2易伤1伤害1攻速1全技能1基地爆炸	1核29易伤3防空对直升4伤害5基地爆炸6全技能7双倍物品8攻速a基础对甲
24	33522 11414	 * 	234.74	紫1基础对甲3基地爆炸3易伤1全技能	1核258易伤358基地爆炸4双倍秒伤58序列升级6立即金币7全技能9平台a基础对甲
25	31356 41131	   	234.64	紫2基础对甲2基础对冰1伤害1暴击	1核27金币生成3双倍矿4技能57基础对冰67基础对甲7序列升级8伤害9暴击a策反
26	33242 13225	 * 	234.54	紫1基础对甲3易伤2全技能1基地爆炸1暴击	1核246易伤35全技能7双倍秒伤8基地爆炸9基础对甲a暴击
27	33113 35155	 * 	234.47	紫2伤害2基地爆炸2易伤1攻速1全技能1暴击	1核27易伤3防空对直升47伤害57基地爆炸6全技能7序列升级8敌人爆炸9攻速a暴击
28	33233 42526	   	234.36	紫1基础对甲2攻速2易伤1全技能1暴击	1核28易伤3全技能4低血量敌人5加一68攻速78策反8序列升级9基础对甲a暴击
29	33233 44526	   	234.36	紫1基础对甲2攻速2易伤1全技能1暴击	1核28易伤3全技能48低血量敌人5加一68攻速7随机矿8序列升级9基础对甲a暴击
30	33522 11314	 * 	231.51	紫1基础对甲2基地爆炸2易伤1伤害1全技能	1核25易伤35基地爆炸4双倍秒伤5序列升级6立即金币7全技能8基础对甲9敌人爆炸a伤害
31	33522 11344	   	231.51	紫1基础对甲2基地爆炸2易伤1伤害1全技能	1核25易伤35基地爆炸4双倍秒伤5序列升级6立即金币7全技能8基础对甲9低血量敌人a伤害
32	33522 11354	   	231.51	紫1基础对甲2基地爆炸2易伤1伤害1全技能	1核25易伤35基地爆炸4双倍秒伤5序列升级6立即金币7全技能8基础对甲9时间a伤害
33	33522 11325	   	231.41	紫1基础对甲2基地爆炸2易伤1伤害1全技能	1核25易伤35基地爆炸4双倍秒伤5序列升级6立即金币7全技能8基础对甲9加一a伤害
