0	Index      	 *	Score 	Summary	Detail	
1	56135 31112	 * 	220.95	紫3伤害3攻速2基地爆炸1卖塔	1卖塔2a基地爆炸3策反4核5双倍矿69a伤害78a攻速a序列升级
2	56135 31212	 * 	205.30	紫3伤害2攻速2基地爆炸1卖塔	1卖塔2a基地爆炸38策反4核5双倍矿69a伤害7a攻速a序列升级
3	43132 31155	 * 	198.38	紫1基础对甲2基地爆炸1伤害1全技能	1双倍矿2易伤3掉矿4矿等5核67基地爆炸8基础对甲9伤害a全技能
4	35122 31155	   	198.28	紫1基础对甲2基地爆炸1伤害1全技能	1易伤2技能点3立即金币4掉矿5核67基地爆炸8基础对甲9伤害a全技能
5	44313 12115	 * 	197.24	紫1基础对甲2基地爆炸3暴击1全技能1卖塔	1双倍矿27基地爆炸3全技能47等级5核67a暴击7序列升级8卖塔9基础对甲
6	43132 31154	 * 	196.00	紫1基础对甲3基地爆炸1伤害	1双倍矿2易伤3掉矿4矿等5核67a基地爆炸8基础对甲9伤害
7	35122 31154	   	195.90	紫1基础对甲3基地爆炸1伤害	1易伤2技能点3立即金币4掉矿5核67a基地爆炸8基础对甲9伤害
8	46312 11361	 * 	195.68	紫1基础对甲2攻速2基地爆炸	1双倍矿2敌人爆炸3a金币生成4矿等5核6时间7a基地爆炸8基础对甲9a攻速a序列升级
9	42312 11361	   	195.58	紫1基础对甲2攻速2基地爆炸	1双倍矿2挖尘3a金币生成4矿等5核6时间7a基地爆炸8基础对甲9a攻速a序列升级
10	25112 41361	   	195.48	紫1基础对甲2攻速2基地爆炸	1最后敌人2a等级3立即金币4矿等5核6时间7a基地爆炸8基础对甲9a攻速a序列升级
11	42362 11361	   	195.48	紫1基础对甲2攻速2基地爆炸	1双倍矿2挖尘3a金币生成4掉矿5核6时间7a基地爆炸8基础对甲9a攻速a序列升级
12	46112 11361	   	195.48	紫1基础对甲2攻速2基地爆炸	1双倍矿2敌人爆炸3a掉矿4矿等5核6时间7a基地爆炸8基础对甲9a攻速a序列升级
13	42112 11361	   	195.38	紫1基础对甲2攻速2基地爆炸	1双倍矿2挖尘3a掉矿4矿等5核6时间7a基地爆炸8基础对甲9a攻速a序列升级
14	54611 12113	 * 	194.77	紫2伤害2攻速2暴击1基地爆炸1卖塔	1卖塔2a伤害3雷电4核5a攻速6敌人爆炸7平台8基地爆炸9a暴击a序列升级
15	43132 31153	   	193.04	紫1基础对甲2基地爆炸1伤害1技能	1双倍矿2易伤3掉矿4矿等5核67基地爆炸8基础对甲9伤害a技能
16	35122 31153	   	192.94	紫1基础对甲2基地爆炸1伤害1技能	1易伤2技能点3立即金币4掉矿5核67基地爆炸8基础对甲9伤害a技能
17	53136 31112	 * 	192.47	紫3伤害3攻速1卖塔	1卖塔2a策反3低血量敌人4核5立即金币69a伤害78a攻速a序列升级
18	53435 31112	 * 	192.47	紫3伤害3攻速1卖塔	1卖塔2a策反3时间4核5双倍矿69a伤害78a攻速a序列升级
19	44133 12112	 * 	191.20	紫1基础对甲2基地爆炸2暴击1全技能1卖塔	1双倍矿27基地爆炸37掉矿4全技能5核67暴击7序列升级8卖塔9基础对甲a最后敌人
20	44133 12113	 * 	191.20	紫1基础对甲2基地爆炸2暴击1全技能1卖塔	1双倍矿27基地爆炸37掉矿4全技能5核67暴击7序列升级8卖塔9基础对甲a敌人爆炸
21	44313 12112	 * 	191.20	紫1基础对甲2基地爆炸2暴击1全技能1卖塔	1双倍矿27基地爆炸3全技能47等级5核67暴击7序列升级8卖塔9基础对甲a最后敌人
22	44313 12113	 * 	191.20	紫1基础对甲2基地爆炸2暴击1全技能1卖塔	1双倍矿27基地爆炸3全技能47等级5核67暴击7序列升级8卖塔9基础对甲a敌人爆炸
23	44313 12116	 * 	191.20	紫1基础对甲2基地爆炸2暴击1全技能1卖塔	1双倍矿27基地爆炸3全技能47等级5核67暴击7序列升级8卖塔9基础对甲a额外掉落
24	44133 12114	 * 	191.10	紫1基础对甲2基地爆炸2暴击1全技能1卖塔	1双倍矿27基地爆炸37a掉矿4全技能5核67暴击7序列升级8卖塔9基础对甲
25	44133 12115	 * 	191.10	紫1基础对甲2基地爆炸2暴击1全技能1卖塔	1双倍矿27基地爆炸37掉矿4全技能5核67暴击7序列升级8卖塔9基础对甲a防空对甲
26	44313 12114	 * 	191.10	紫1基础对甲2基地爆炸2暴击1全技能1卖塔	1双倍矿27基地爆炸3全技能47等级5核67暴击7序列升级8卖塔9基础对甲a掉矿
