0	Index      	 *	Score 	Summary	Detail	
1	32331 44511	 * 	292.24	橙橙4易伤	149敌人爆炸245a易伤3双倍物品4序列升级68核7立即金币
2	32331 44521	 * 	292.15	橙橙3易伤1伤害	14敌人爆炸245易伤3双倍物品4序列升级68核7立即金币9最后敌人a伤害
3	42521 32361	 * 	281.57	橙橙2易伤2矿等	17掉矿25挖尘37矿等47易伤6赏金邻近7序列升级89核a立即金币
4	42521 32363	   	281.57	橙橙2易伤2矿等	17掉矿25挖尘37矿等47易伤6赏金邻近7序列升级89核a赏金塔
5	42521 32362	   	281.47	橙橙2易伤2矿等1策反	17掉矿25挖尘37矿等47易伤6赏金邻近7序列升级89核a策反
6	12132 62644	   	276.90	橙橙2易伤1伤害	1低血量敌人2a易伤3基地爆炸4时间5加一68核7最后敌人9伤害
7	12312 62644	   	276.90	橙橙2易伤1伤害	1低血量敌人2a易伤3时间4基地爆炸5加一68核7最后敌人9伤害
8	15322 62644	   	276.90	橙橙2易伤1伤害	1低血量敌人2基地爆炸3时间4a易伤5加一68核7最后敌人9伤害
9	32262 62624	   	276.90	橙橙2易伤1伤害	1敌人爆炸2a易伤3低血量敌人4时间5加一68核7最后敌人9伤害
10	32331 44512	   	272.09	橙橙3易伤	149敌人爆炸245易伤3双倍物品4序列升级68核7a立即金币
11	32331 44513	   	272.09	橙橙3易伤	149敌人爆炸245易伤3双倍物品4序列升级68核7立即金币a随机矿
12	32331 44522	   	272.09	橙橙3易伤	14敌人爆炸245易伤3双倍物品4序列升级68核7立即金币9最后敌人a金币生成
13	32331 44523	   	272.09	橙橙3易伤	14敌人爆炸245易伤3双倍物品4序列升级68核7立即金币9最后敌人a赏金塔
14	32332 44511	   	272.09	橙橙3易伤	149敌人爆炸24a易伤3双倍物品4序列升级57立即金币68核
15	32331 44532	   	271.99	橙橙3易伤	14敌人爆炸245易伤3双倍物品4序列升级68核7立即金币9技能点a寒冰对甲
16	32331 44533	   	271.99	橙橙3易伤	14a敌人爆炸245易伤3双倍物品4序列升级68核7立即金币9技能点
17	32321 44511	   	271.99	橙橙3易伤	149敌人爆炸25a易伤3双倍物品68核7立即金币
18	32331 43222	   	271.99	橙橙3易伤	14敌人爆炸245易伤3双倍物品4序列升级6a核7基地爆炸8挖尘9最后敌人
19	32331 44531	   	271.89	橙橙3易伤1挖怪	14敌人爆炸245易伤3双倍物品4序列升级68核7立即金币9技能点a挖怪
20	12432 63733	   	271.70	橙橙1易伤1伤害1矿等1暴击	1低血量敌人2易伤3金币生成4加一5矿等68核7基地爆炸9暴击a伤害
21	32332 44521	   	268.69	橙橙2易伤1伤害	14敌人爆炸24易伤3双倍物品4序列升级57立即金币68核9最后敌人a伤害
22	32321 44521	   	268.59	橙橙2易伤1伤害	14敌人爆炸25易伤3双倍物品68核7立即金币9最后敌人a伤害
23	42221 32366	   	268.29	橙橙2易伤1伤害	17掉矿25挖尘37技能点47易伤6赏金邻近7序列升级89核a伤害
24	12132 62641	   	266.35	橙橙1易伤1伤害1矿等	1低血量敌人2易伤3基地爆炸4时间5加一68核7最后敌人9伤害a矿等
25	12312 62641	   	266.35	橙橙1易伤1伤害1矿等	1低血量敌人2易伤3时间4基地爆炸5加一68核7最后敌人9伤害a矿等
26	15322 62641	   	266.35	橙橙1易伤1伤害1矿等	1低血量敌人2基地爆炸3时间4易伤5加一68核7最后敌人9伤害a矿等
27	32132 62621	   	266.35	橙橙1易伤1伤害1矿等	1敌人爆炸2易伤3基地爆炸4时间5加一68核7最后敌人9伤害a矿等
28	32132 63621	   	266.35	橙橙1易伤1伤害1矿等	1敌人爆炸2易伤3基地爆炸4时间5加一68核7低血量敌人9伤害a矿等
29	32262 62621	   	266.35	橙橙1易伤1伤害1矿等	1敌人爆炸2易伤3低血量敌人4时间5加一68核7最后敌人9伤害a矿等
30	35322 62621	   	266.35	橙橙1易伤1伤害1矿等	1敌人爆炸2基地爆炸3时间4易伤5加一68核7最后敌人9伤害a矿等
31	35322 63621	   	266.35	橙橙1易伤1伤害1矿等	1敌人爆炸2基地爆炸3时间4易伤5加一68核7低血量敌人9伤害a矿等
32	12223 12133	 * 	264.29	橙3易伤2伤害2矿等1平台	13低血量敌人246易伤56矿等6序列升级7a伤害8平台9核
