0	Index      	Bounty	 *	Score 	Summary	Detail	
1	64533 33232	3	 * 	288.84	橙4易伤2伤害1等级1时间1暴击	1立即金币24伤害3459易伤4序列升级6核7暴击8等级a时间
2	32323 16165	5	 * 	284.46	橙4易伤2等级3时间	1随机矿2额外掉落359a易伤469时间79等级8核9序列升级
3	32323 26165	6	   	284.46	橙4易伤2等级3时间	1随机矿2额外掉落359a易伤469时间79等级8核9序列升级
4	32331 16165	3	   	284.46	橙4易伤2等级3时间	1随机矿2额外掉落349a易伤569时间79等级8核9序列升级
5	64123 32131	4	 * 	284.26	橙4易伤3伤害1等级1全技能	1立即金币238伤害4578易伤6核8序列升级9全技能a等级
6	51333 54131	5	 * 	282.01	橙5易伤2伤害2时间	12789易伤3金币生成47时间57伤害6核7序列升级a随机矿
7	51333 54132	5	   	282.01	橙5易伤2伤害2时间	12789易伤3金币生成47时间57伤害6核7序列升级a立即金币
8	51333 54133	5	   	282.01	橙5易伤2伤害2时间	12789易伤3金币生成47时间57伤害6核7序列升级a平台
9	32571 46312	1	 * 	280.58	橙3易伤2等级2伤害3攻速	1随机矿258攻速3加一45等级58序列升级68伤害789易伤a核
10	52333 54131	5	 * 	279.33	橙4易伤3伤害2时间	1789易伤2双倍矿3金币生成47时间57a伤害6核7序列升级
11	51121 26253	2	 * 	278.05	橙4易伤2等级2伤害	1238易伤4基地爆炸5额外掉落68伤害78等级8序列升级9策反a核
12	51121 26263	2	   	278.05	橙4易伤2等级2伤害	1238易伤4基地爆炸5额外掉落68伤害78等级8序列升级9最后敌人a核
13	32353 11145	6	   	277.95	橙4易伤2等级2伤害	1随机矿2额外掉落349a易伤59伤害6核7挖青89等级9序列升级
14	51151 22315	3	 * 	276.90	橙4易伤3时间2伤害	129a易伤3策反4额外掉落589时间69伤害7核9序列升级
15	51133 22315	5	   	276.90	橙4易伤3时间2伤害	129a易伤3策反489时间5额外掉落69伤害7核9序列升级
