0	Index      	 *	Score 	Summary	Detail	
1	56334 21232	 * 	263.70	紫3伤害3基地爆炸2攻速3易伤	1核279易伤349基地爆炸57掉矿67攻速79序列升级89a伤害
2	56314 21231	 * 	258.00	紫5易伤2伤害2攻速2基地爆炸	1核2479a易伤39基地爆炸57掉矿67攻速79序列升级89伤害
3	56334 21231	   	248.05	紫3基地爆炸2伤害2攻速3易伤	1核279易伤349基地爆炸57掉矿67攻速79序列升级89伤害a最后敌人
4	56334 21233	   	247.95	紫3基地爆炸2伤害2攻速3易伤	1核279易伤349基地爆炸57掉矿67攻速79序列升级89伤害a核弹
5	56314 21232	   	247.69	紫4易伤2伤害2攻速2基地爆炸	1核2479易伤39基地爆炸57掉矿67攻速79序列升级89伤害a挖尘
6	56314 21233	   	247.69	紫4易伤2伤害2攻速2基地爆炸	1核2479易伤39基地爆炸57掉矿67攻速79序列升级89伤害a技能点
7	55153 32311	 * 	234.64	紫2基础对甲2基地爆炸1伤害1全技能	1核2全技能38基地爆炸48最后敌人5时间6低血量敌人78基础对甲8序列升级9技能a伤害
8	55523 32311	   	234.54	紫2基础对甲2基地爆炸1伤害1全技能	1核2全技能3挖青48基地爆炸5时间68低血量敌人78基础对甲8序列升级9技能a伤害
9	55123 32311	   	234.44	紫2基础对甲2基地爆炸1伤害1全技能	1核2全技能38基地爆炸48挖尘5时间6低血量敌人78基础对甲8序列升级9技能a伤害
10	55123 62311	   	234.44	紫2基础对甲2基地爆炸1伤害1全技能	1核2全技能38基地爆炸48挖尘5时间6最后敌人78基础对甲8序列升级9技能a伤害
11	55126 32311	   	234.44	紫2基础对甲2基地爆炸1伤害1全技能	1核2全技能38基地爆炸48挖尘5最后敌人6低血量敌人78基础对甲8序列升级9技能a伤害
12	54111 22124	 * 	234.26	紫1基础对甲2攻速1伤害1全技能1基地爆炸	1核2伤害3加一46攻速5随机矿7策反8全技能9基地爆炸a基础对甲
13	54333 23151	   	234.20	紫3伤害2攻速2基地爆炸1暴击	1核25a伤害3a攻速4最后敌人6立即金币7额外掉落8暴击9a基地爆炸a序列升级
14	54118 23124	 * 	234.00	紫3攻速2伤害2基地爆炸1全技能	1核2a伤害3加一46a攻速5等级7金币生成8全技能9a基地爆炸a序列升级
15	56334 23232	   	233.99	紫3伤害3基地爆炸2易伤1攻速	1核29易伤349基地爆炸57掉矿6攻速89a伤害9序列升级
16	54113 48124	   	233.90	紫3伤害2攻速2基地爆炸1全技能	1核25a伤害3加一4a攻速6技能点7等级8全技能9a基地爆炸a序列升级
17	54113 22151	 * 	233.88	紫3伤害2攻速2暴击1全技能	1核25a伤害3加一4a攻速6立即金币7技能8a暴击9全技能a序列升级
