0	Index      	 *	Score 	Summary	Detail	
1	31513 22553	 * 	265.84	紫2基础对甲3伤害3基地爆炸1全技能	1全技能2核35a伤害48a基地爆炸6最后敌人7雷电9a基础对甲a序列升级
2	31523 22553	 * 	262.64	紫2基础对甲3基地爆炸2伤害2全技能	14全技能2核3a伤害58a基地爆炸6最后敌人7雷电9a基础对甲a序列升级
3	35133 22553	   	260.84	紫2基础对甲3伤害3基地爆炸1全技能	1全技能28a基地爆炸3核45a伤害6最后敌人7雷电9a基础对甲a序列升级
4	31513 22453	   	254.57	紫2基础对甲3伤害2基地爆炸1全技能	1全技能2核35a伤害4a基地爆炸68最后敌人7雷电9a基础对甲a序列升级
5	31523 22453	   	251.37	紫2基础对甲2伤害2基地爆炸2全技能	14全技能2核3a伤害5a基地爆炸68最后敌人7雷电9a基础对甲a序列升级
6	31513 61326	 * 	251.13	紫1基础对甲2伤害2基地爆炸1攻速1全技能	1全技能2核35伤害46基地爆炸7易伤8时间9攻速a基础对甲
7	31512 22553	   	250.18	紫2基础对甲3基地爆炸2伤害1全技能	1全技能2核3a伤害48a基地爆炸5立即金币6最后敌人7雷电9a基础对甲a序列升级
8	31533 22553	   	250.08	紫2基础对甲3基地爆炸2伤害1全技能	1全技能2核3a伤害4磁铁减费58a基地爆炸6最后敌人7雷电9a基础对甲a序列升级
9	31513 41512	   	249.95	紫1基础对甲2伤害1攻速1基地爆炸1暴击1全技能	1全技能2核35伤害4基地爆炸6攻速7易伤8暴击9额外掉落a基础对甲
10	35133 22453	   	249.57	紫2基础对甲3伤害2基地爆炸1全技能	1全技能2a基地爆炸3核45a伤害68最后敌人7雷电9a基础对甲a序列升级
11	35133 61326	   	246.13	紫1基础对甲2伤害2基地爆炸1攻速1全技能	1全技能26基地爆炸3核45伤害7易伤8时间9攻速a基础对甲
12	31523 61326	 * 	246.00	紫1基础对甲2基地爆炸2全技能1攻速1伤害	14全技能2核3伤害56基地爆炸7易伤8时间9攻速a基础对甲
13	35132 22553	   	245.18	紫2基础对甲3基地爆炸2伤害1全技能	1全技能28a基地爆炸3核4a伤害5立即金币6最后敌人7雷电9a基础对甲a序列升级
14	35133 41512	   	244.95	紫1基础对甲2伤害1攻速1基地爆炸1暴击1全技能	1全技能2基地爆炸3核45伤害6攻速7易伤8暴击9额外掉落a基础对甲
15	31523 41512	   	244.81	紫1基础对甲2全技能1攻速1伤害1基地爆炸1暴击	14全技能2核3伤害5基地爆炸6攻速7易伤8暴击9额外掉落a基础对甲
16	31523 26531	 * 	239.64	紫2攻速2伤害2基地爆炸2全技能1暴击	14全技能2核39伤害59基地爆炸6最后敌人7时间89攻速9序列升级a暴击
17	31513 61316	   	239.38	紫1基础对甲2伤害2基地爆炸1全技能	1全技能2核35伤害46基地爆炸7易伤8时间9技能a基础对甲
18	31512 22453	   	238.92	紫2基础对甲2伤害2基地爆炸1全技能	1全技能2核3a伤害4a基地爆炸5立即金币68最后敌人7雷电9a基础对甲a序列升级
19	31533 22453	   	238.82	紫2基础对甲2伤害2基地爆炸1全技能	1全技能2核3a伤害4磁铁减费5a基地爆炸68最后敌人7雷电9a基础对甲a序列升级
20	31513 33661	 * 	237.50	紫3伤害2攻速2基地爆炸1全技能	1全技能2核358伤害4a基地爆炸6技能7a攻速9a低血量敌人a序列升级
21	31513 33611	   	237.30	紫3伤害2攻速2基地爆炸1全技能	1全技能2核358伤害4a基地爆炸6技能7a攻速9a挖尘a序列升级
