0	Index      	 *	Score 	Summary	Detail	
1	35533 12422	 * 	216.79	紫3伤害1基础对甲1全技能1基地爆炸	1易伤289伤害3最后敌人4基地爆炸5核6双倍秒伤7全技能a基础对甲
2	51433 33232	 * 	202.00	紫2伤害2基地爆炸2易伤2技能1暴击	1平台29伤害3立即金币4核58技能69基地爆炸79易伤9序列升级a暴击
3	51433 33233	 * 	200.28	紫2伤害3易伤2基地爆炸2技能	1平台29伤害3立即金币4核58技能69基地爆炸79a易伤9序列升级
4	32233 62266	   	197.30	紫1基础对甲1伤害1基地爆炸1全技能1暴击	1易伤2敌人爆炸3基地爆炸4伤害5核6双倍矿7低血量敌人8全技能9基础对甲a暴击
5	32233 42266	   	197.20	紫1基础对甲1伤害1基地爆炸1暴击1全技能	1易伤2敌人爆炸3基地爆炸4伤害5核6火球减费7低血量敌人8全技能9基础对甲a暴击
6	51433 33236	   	188.35	紫2伤害2基地爆炸2易伤2技能	1平台29伤害3立即金币4核58技能69基地爆炸79易伤9序列升级a时间
7	51433 33231	   	188.25	紫2伤害2基地爆炸2易伤2技能	1平台29伤害3立即金币4核58技能69基地爆炸79易伤9序列升级a防空对甲
8	51433 33234	   	188.25	紫2伤害2基地爆炸2易伤2技能	1平台29伤害3立即金币4核58技能69基地爆炸79易伤9序列升级a双倍秒伤
9	51433 33235	   	188.25	紫2伤害2基地爆炸2易伤2技能	1平台29伤害3立即金币4核58技能69基地爆炸79易伤9序列升级a等级
10	52333 13221	   	187.28	紫1基础对甲2伤害1全技能	1平台2等级3全技能4易伤5核6掉矿7双倍秒伤89伤害a基础对甲
11	35134 32613	 * 	187.17	紫2伤害2基地爆炸2易伤1攻速	19易伤29伤害3立即金币4双倍矿5核6低血量敌人7狙击对毒89基地爆炸9序列升级a攻速
12	31533 36325	 * 	187.17	紫2攻速2基地爆炸2易伤1伤害	19易伤2挖尘39攻速4敌人爆炸5核6时间7平台89基地爆炸9序列升级a伤害
