0	Index      	 *	Score 	Summary	Detail	
1	12364 51223	 * 	215.97	紫1基础对甲2伤害2基地爆炸1全技能	13伤害2易伤4双倍秒伤5核69基地爆炸7雷电8全技能a基础对甲
2	14227 41323	 * 	215.65	紫1基础对甲2伤害2基地爆炸1攻速	17伤害2雷电3加一47基地爆炸5核67矿等7序列升级8攻速9最后敌人a基础对甲
3	14227 41333	   	215.65	紫1基础对甲2伤害2基地爆炸1攻速	17伤害2雷电3加一47基地爆炸5核67矿等7序列升级8攻速9敌人爆炸a基础对甲
4	14227 61323	   	215.65	紫1基础对甲2伤害2基地爆炸1攻速	17伤害2雷电3加一47基地爆炸5核67金币生成7序列升级8攻速9最后敌人a基础对甲
5	14227 61333	   	215.65	紫1基础对甲2伤害2基地爆炸1攻速	17伤害2雷电3加一47基地爆炸5核67金币生成7序列升级8攻速9敌人爆炸a基础对甲
6	14227 41383	   	215.55	紫1基础对甲2伤害2基地爆炸1攻速	17伤害2雷电3加一47基地爆炸5核67矿等7序列升级8攻速9挖尘a基础对甲
7	14227 21323	   	215.45	紫1基础对甲2伤害2基地爆炸1攻速	17伤害2雷电3加一47基地爆炸5核67掉矿7序列升级8攻速9最后敌人a基础对甲
8	14227 21333	   	215.45	紫1基础对甲2伤害2基地爆炸1攻速	17伤害2雷电3加一47基地爆炸5核67掉矿7序列升级8攻速9敌人爆炸a基础对甲
9	21555 32222	 * 	214.75	紫3攻速1基础对甲1全技能1暴击	1暴击2随机矿3磁铁减费4核578攻速6双倍秒伤9全技能a基础对甲
10	13364 22362	   	200.36	紫1基础对甲2伤害1攻速1全技能1卖塔	13伤害2低血量敌人4双倍秒伤5核6卖塔7全技能8敌人爆炸9攻速a基础对甲
11	13364 22262	   	200.26	紫1基础对甲2伤害1攻速1全技能1卖塔	13伤害2低血量敌人4双倍秒伤5核6卖塔7全技能8挖尘9攻速a基础对甲
12	14227 11223	   	198.38	紫1基础对甲2基地爆炸1伤害1全技能	1伤害2雷电3加一49基地爆炸5核6易伤7敌人爆炸8全技能a基础对甲
13	36316 31613	 * 	198.34	紫2伤害2攻速2基地爆炸1暴击	1最后敌人2掉矿3a伤害4a基地爆炸5核6等级7a攻速8暴击9金币生成a序列升级
14	14227 44333	   	197.86	紫1基础对甲2基地爆炸1伤害1攻速	1伤害2雷电3加一48基地爆炸5核6矿等7最后敌人9攻速a基础对甲
15	14227 64333	   	197.86	紫1基础对甲2基地爆炸1伤害1攻速	1伤害2雷电3加一48基地爆炸5核6金币生成7最后敌人9攻速a基础对甲
16	14227 24333	   	197.76	紫1基础对甲2基地爆炸1伤害1攻速	1伤害2雷电3加一48基地爆炸5核6掉矿7最后敌人9攻速a基础对甲
