0	Index      	 *	Score 	Summary	Detail	
1	52111 22366	 * 	230.03	DCR|3DMG|3ASPD|3ZMB|1AART	1MBVNT|289ASPD|3LEGI|4ERES|589DMG|6RCR|789ZMB|89BPWR|aAART
2	52431 44156	 * 	222.41	DCR|3DMG|3ASPD|2VULN	1MBVNT|29aASPD|35aDMG|4AME|6LIT|7RCR|8aVULN|aBPWR
3	52427 22364	   	218.82	DCR|3DMG|3ASPD|3ZMB|1DUR	1MBVNT|289ASPD|389DMG|4ERES|5DUR|6RCR|789ZMB|89BPWR|aRMIN
4	52444 22364	   	218.82	DCR|3DMG|3ASPD|3ZMB|1DUR	1MBVNT|289ASPD|389DMG|4DUR|5ERES|6RCR|789ZMB|89BPWR|aRMIN
5	52424 73711	 * 	218.40	DCR|2VULN|2AART|1MDPS|1ASPD|1DMG	1MBVNT|2ASPD|3DMG|4ERES|56VULN|79AART|8RCR|aMDPS
6	31336 23542	 * 	217.12	DCR|2VULN|2DMG|2ASPD|1AART|2SELL	15SELL|2aVULN|3LWND|4aASPD|6AART|7RCR|8aDMG|9MBVNT|aBPWR
7	52443 24471	   	216.96	DCR|3ASPD|2VULN|2DMG|1AAC|1DUR	1MBVNT|28aASPD|3aDMG|4DUR|5AAC|6RCR|7MULFIG|9aVULN|aBPWR
8	52441 16422	 * 	216.93	DCR|3DMG|2VULN|1MDPS|2ASPD|2DUR	1MBVNT|29ASPD|358DMG|49DUR|69VULN|7MDPS|9BPWR|aRCR
9	52427 22363	 * 	216.45	DCR|3DMG|3ASPD|1MDPS|3ZMB|1DUR	1MBVNT|289ASPD|389DMG|4ERES|5DUR|6RCR|789ZMB|89BPWR|aMDPS
10	52444 22363	   	216.45	DCR|3DMG|3ASPD|1MDPS|3ZMB|1DUR	1MBVNT|289ASPD|389DMG|4DUR|5ERES|6RCR|789ZMB|89BPWR|aMDPS
11	52444 22365	   	214.66	DCR|3DMG|3ASPD|3ZMB|1DUR	1MBVNT|289ASPD|389DMG|4DUR|5ERES|6RCR|789ZMB|89BPWR|aBEXP
12	52444 22366	   	214.66	DCR|3DMG|3ASPD|3ZMB|1DUR	1MBVNT|289ASPD|389DMG|4DUR|5ERES|6RCR|789ZMB|89BPWR|aDMSP
13	52444 22368	   	214.66	DCR|3DMG|3ASPD|3ZMB|1DUR	1MBVNT|289ASPD|389DMG|4DUR|5ERES|6RCR|789ZMB|89BPWR|aRPLT
14	52427 22361	   	214.56	DCR|3DMG|3ASPD|3ZMB|1DUR|1MSE	1MBVNT|289ASPD|389DMG|4ERES|5DUR|6RCR|789ZMB|89BPWR|aMSE
15	52427 22362	   	214.56	DCR|3DMG|3ASPD|3ZMB|1DUR	1MBVNT|289ASPD|389DMG|4ERES|5DUR|6RCR|789ZMB|89BPWR|aDUST
16	52444 22361	   	214.56	DCR|3DMG|3ASPD|3ZMB|1DUR|1MSE	1MBVNT|289ASPD|389DMG|4DUR|5ERES|6RCR|789ZMB|89BPWR|aMSE
17	52444 22362	   	214.56	DCR|3DMG|3ASPD|3ZMB|1DUR	1MBVNT|289ASPD|389DMG|4DUR|5ERES|6RCR|789ZMB|89BPWR|aDUST
18	52444 22367	   	214.56	DCR|3DMG|3ASPD|3ZMB|1DUR	1MBVNT|289ASPD|389DMG|4DUR|5ERES|6RCR|789ZMB|89BPWR|aTLV
19	31112 66142	 * 	214.02	DCR|2VULN|2DMG|1MDPS|1AART|3DUR|1ZMB|1SELL	1SELL|2aVULN|3AART|4MDPS|5ZMB|6RCR|7aDMG|89aDUR|aBPWR
20	52427 22461	   	212.86	DCR|3DMG|2ASPD|1VULN|2ZMB|1DUR	1MBVNT|29ASPD|389DMG|4ERES|5DUR|6RCR|79ZMB|9BPWR|aVULN
21	52444 22461	   	212.86	DCR|3DMG|2ASPD|1VULN|2ZMB|1DUR	1MBVNT|29ASPD|389DMG|4DUR|5ERES|6RCR|79ZMB|9BPWR|aVULN
22	54343 25713	 * 	212.64	DCR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2RCVC|3aCDMG|4BELT|5AART|6RCR|7BASFIG|8aVULN|9aDMG|aBPWR
23	52441 16313	   	211.61	DCR|2VULN|2DMG|1MDPS|2ASPD|2DUR|1ZMB	1MBVNT|28ASPD|35DMG|48DUR|68VULN|7MDPS|8BPWR|9ZMB|aRCR
24	52424 76321	 * 	211.55	DCR|3VULN|2ASPD|1AART|1DMG	1MBVNT|27ASPD|3DMG|47ERES|567VULN|7BPWR|8LEGI|9AART|aRCR
25	52431 56321	 * 	211.51	DCR|2VULN|2DMG|2ASPD|1AART	1MBVNT|27ASPD|35DMG|47AME|67VULN|7BPWR|8LEGI|9AART|aRCR
26	52221 56321	   	211.31	DCR|2VULN|2DMG|2ASPD|1AART	1MBVNT|27ASPD|34ERES|57VULN|67DMG|7BPWR|8LEGI|9AART|aRCR
27	52421 56321	   	211.31	DCR|2VULN|2DMG|2ASPD|1AART	1MBVNT|27ASPD|35DMG|47ERES|67VULN|7BPWR|8LEGI|9AART|aRCR
28	52426 22364	   	210.42	DCR|3DMG|3ASPD|3ZMB	1MBVNT|289ASPD|389DMG|4ERES|5DUST|6RCR|789ZMB|89BPWR|aRMIN
29	52111 22364	   	210.42	DCR|3DMG|3ASPD|3ZMB	1MBVNT|289ASPD|3LEGI|4ERES|589DMG|6RCR|789ZMB|89BPWR|aRMIN
30	31131 53122	 * 	209.88	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR|1SELL	1SELL|257VULN|3AART|45AELBLL|5BPWR|6RCR|8CDMG|9DUR|aASPD
31	31131 53123	 * 	209.88	DCR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1SELL|257VULN|3AART|45AELBLL|5BPWR|6RCR|8CDMG|9DUR|aDMG
32	31141 53122	 * 	209.78	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR|1SELL	1SELL|257VULN|3AART|4DMSP|5BPWR|6RCR|8CDMG|9DUR|aASPD
33	31141 53123	 * 	209.78	DCR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1SELL|257VULN|3AART|4DMSP|5BPWR|6RCR|8CDMG|9DUR|aDMG
34	43412 11632	 * 	209.58	DCR|4VULN|2AART|1CDMG	1CGEN|2RPLT|3579VULN|4aAART|6CDMG|8RCR
