0	Index      	 *	Score 	Summary	Detail	
1	63332 16241	 * 	223.24	DCR|3VULN|2AART|2DMG	1RCVC|278VULN|35DMG|45LHND|5BPWR|6RCR|9aAART
2	53352 31312	 * 	222.92	DCR|3VULN|1MDPS|2ASPD|1AART|1DUR	13FEWX|256VULN|45ASPD|5BPWR|7AART|8RCR|9DUR|aMDPS
3	53352 13613	 * 	222.26	DCR|4VULN|2ASPD|1DMG|1ZMB	13FEWX|259aVULN|45ASPD|5BPWR|6RCR|7DMG|8ZMB
4	23152 16253	 * 	221.70	DCR|5VULN|1DMG|1CDMG|2ZMB	1LHND|24578VULN|35ZMB|5BPWR|6RCR|9DMG|aCDMG
5	63352 32261	 * 	220.17	DCR|3VULN|1MDPS|2DMG|1ASPD	1RCVC|268VULN|39DMG|4CGEN|5ASPD|7RCR|aMDPS
6	63312 32261	   	220.07	DCR|3VULN|2DMG|1MDPS|1ASPD	1RCVC|268VULN|39DMG|4TLV|5ASPD|7RCR|aMDPS
7	23152 11615	   	219.56	DCR|4VULN|1ASPD|1DMG|2ZMB|1DUR	1LHND|2458VULN|35ZMB|5BPWR|6RCR|7ASPD|9DUR|aDMG
8	53152 31312	 * 	218.04	DCR|4VULN|1MDPS|1AART|2ZMB|1DUR	1FEWX|2456VULN|35ZMB|5BPWR|7AART|8RCR|9DUR|aMDPS
9	63352 32263	 * 	217.60	DCR|3VULN|2DMG|1ASPD|1CDMG	1RCVC|268VULN|39DMG|4CGEN|5ASPD|7RCR|aCDMG
10	63312 32263	   	217.50	DCR|3VULN|2DMG|1ASPD|1CDMG	1RCVC|268VULN|39DMG|4TLV|5ASPD|7RCR|aCDMG
11	53352 13513	 * 	217.31	DCR|3VULN|3ASPD|1DMG|1DUR	13FEWX|258VULN|45aASPD|5BPWR|6RCR|7DMG|9DUR
12	63352 32262	 * 	217.20	DCR|4VULN|2DMG|1ASPD	1RCVC|268aVULN|39DMG|4CGEN|5ASPD|7RCR
13	63312 32262	   	217.10	DCR|4VULN|2DMG|1ASPD	1RCVC|268aVULN|39DMG|4TLV|5ASPD|7RCR
14	63332 11363	 * 	216.08	DCR|2VULN|2DMG|2ASPD|1CDMG	1RCVC|29VULN|35DMG|45LHND|5BPWR|6RCR|7aASPD|8CDMG
15	45115 12133	 * 	215.96	DCR|4VULN|2CDMG|1ASPD|1ZMB|1DUR	15CDMG|2MLV|3ZMB|4579VULN|5BPWR|6DUR|8RCR|aASPD
16	53352 31325	 * 	215.85	DCR|3VULN|2ASPD|1AART|1DMG	13FEWX|256VULN|45ASPD|5BPWR|7AART|8RCR|9MLV|aDMG
17	63332 13146	 * 	215.69	DCR|3DMG|2VULN|2ASPD	1RCVC|2aVULN|35aDMG|45LHND|5aBPWR|6RCR|7CGEN|8RMIN|9aASPD
18	63332 16243	   	215.47	DCR|3VULN|2DMG|1AART|1DUR	1RCVC|278VULN|35DMG|45LHND|5BPWR|6RCR|9AART|aDUR
19	23152 13212	 * 	215.37	DCR|3VULN|1AART|1DMG|1CDMG|2ZMB	1LHND|245VULN|35ZMB|5BPWR|6RCR|7CGEN|8AART|9DMG|aCDMG
20	23152 13214	 * 	214.97	DCR|4VULN|1AART|1DMG|2ZMB	1LHND|245aVULN|35ZMB|5BPWR|6RCR|7CGEN|8AART|9DMG
21	53352 11252	 * 	214.95	DCR|3ASPD|2VULN|1AART|1DMG	139FEWX|25VULN|457ASPD|5BPWR|6RCR|8DMG|aAART
22	53352 13611	   	214.71	DCR|3VULN|2ASPD|1DMG|1ZMB|1DUR	13FEWX|259VULN|45ASPD|5BPWR|6RCR|7DMG|8ZMB|aDUR
23	53352 31315	   	214.43	DCR|3VULN|2ASPD|1AART|1ZMB|1DUR	13FEWX|256VULN|45ASPD|5BPWR|7AART|8RCR|9DUR|aZMB
24	53352 13632	 * 	214.18	DCR|2VULN|1MDPS|2ASPD|1DMG|1AAC|1ZMB	13FEWX|25VULN|45ASPD|5BPWR|6RCR|7DMG|8ZMB|9MDPS|aAAC
25	23152 11613	   	213.72	DCR|4VULN|2ASPD|2ZMB|1DUR	1LHND|2458VULN|35ZMB|5BPWR|6RCR|7aASPD|9DUR
26	53152 11513	   	213.72	DCR|4VULN|2ASPD|2ZMB|1DUR	1FEWX|2458VULN|35ZMB|5BPWR|6RCR|7aASPD|9DUR
27	53152 31352	 * 	213.47	DCR|5VULN|1AART|2ZMB|1DUR	1FEWX|24569VULN|35ZMB|5BPWR|7AART|8RCR|aDUR
28	33312 52245	 * 	213.31	DCR|3VULN|2DMG|1AART|1CDMG	1AART|26aVULN|3RPLT|4CDMG|5LWND|78DMG|9RCR
29	63332 13626	 * 	212.79	DCR|3VULN|3DMG|2DUR	1RCVC|28aVULN|35aDMG|45LHND|5aBPWR|6RCR|7CGEN|9aDUR
30	63332 16326	   	212.79	DCR|3VULN|3DMG|2DUR	1RCVC|27aVULN|35aDMG|45LHND|5aBPWR|6RCR|8MLV|9aDUR
31	53152 11622	 * 	212.35	DCR|3VULN|3ZMB|1ASPD|1CDMG|1DUR	1FEWX|245VULN|358ZMB|5BPWR|6RCR|7ASPD|9DUR|aCDMG
32	53352 13523	 * 	212.32	DCR|3VULN|2ASPD|1DMG|1CDMG	139FEWX|258VULN|45ASPD|5BPWR|6RCR|7DMG|aCDMG
33	53352 31332	 * 	212.04	DCR|3VULN|2ASPD|1AART|1CDMG	13FEWX|256VULN|45ASPD|5BPWR|7AART|8RCR|9LHND|aCDMG
34	53352 31362	   	211.94	DCR|3VULN|2ASPD|1AART|1CDMG	13FEWX|256VULN|45ASPD|5BPWR|7AART|8RCR|9LEGI|aCDMG
35	53352 13113	   	211.92	DCR|4VULN|2ASPD|1DMG	13FEWX|259aVULN|45ASPD|5BPWR|6RCR|7DMG|8RMIN
36	53152 31315	 * 	211.66	DCR|4VULN|3ZMB|1AART|1DUR	1FEWX|2456VULN|35aZMB|5BPWR|7AART|8RCR|9DUR
37	62531 61111	 * 	211.65	DCR|1SPLARM|3DMG|1AART|2CDMG	1RCVC|268DMG|38CDMG|4AART|5RPLT|7RCR|8BPWR|9FEWX|aSPLARM
38	62531 61131	   	211.65	DCR|1SPLARM|3DMG|1AART|2CDMG	1RCVC|268DMG|38CDMG|4AART|5RPLT|7RCR|8BPWR|9LWND|aSPLARM
39	53352 31351	 * 	211.64	DCR|4VULN|2ASPD|1AART	13FEWX|2569VULN|45ASPD|5BPWR|7AART|8RCR|aDMSP
40	53352 31353	   	211.64	DCR|4VULN|2ASPD|1AART	13FEWX|2569VULN|45ASPD|5BPWR|7AART|8RCR|aCGEN
41	53352 31352	   	211.54	DCR|4VULN|2ASPD|1AART|1MSE	13FEWX|2569VULN|45ASPD|5BPWR|7AART|8RCR|aMSE
42	63152 13363	 * 	211.42	DCR|3ASPD|2VULN|1DMG|1CDMG	1RCVC|29VULN|35LHND|45aASPD|5BPWR|6RCR|7DMG|8CDMG
43	23152 11625	   	211.25	DCR|4VULN|1ASPD|1DMG|2ZMB	1LHND|2458VULN|35ZMB|5BPWR|6RCR|7ASPD|9FEWX|aDMG
44	23152 12245	   	211.25	DCR|4VULN|1ASPD|1DMG|2ZMB	1LHND|2458VULN|35ZMB|5BPWR|6RCR|7FEWX|9ASPD|aDMG
45	62523 26133	 * 	211.15	DCR|3VULN|1AART|2CDMG|1DMG	1RCVC|2DMG|3aCDMG|468VULN|5LIT|7RCR|9AART
46	63343 26133	   	211.15	DCR|3VULN|1AART|2CDMG|1DMG	1RCVC|268VULN|3DMG|4aCDMG|5LIT|7RCR|9AART
47	53152 31325	   	210.97	DCR|4VULN|1AART|1DMG|2ZMB	1FEWX|2456VULN|35ZMB|5BPWR|7AART|8RCR|9MLV|aDMG
48	33262 16124	 * 	210.82	DCR|3DMG|2AART|1VULN|1CDMG	19AART|2VULN|3CDMG|46aDMG|58BEXP|7RCR
49	63362 11362	   	210.17	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1RCVC|29VULN|35DMG|45LWND|5BPWR|6RCR|7ASPD|8CDMG|aDUR
50	23152 24432	 * 	210.13	DCR|3VULN|1MDPS|1AART|1CDMG|2ZMB	1LHND|245VULN|35ZMB|5BPWR|6CDMG|7AART|8RCR|9AME|aMDPS
51	53352 11221	   	209.81	DCR|3ASPD|2VULN|1DMG|1ZMB|1DUR	13FEWX|25VULN|457ASPD|5BPWR|6RCR|8DMG|9DUR|aZMB
52	63262 11214	   	209.64	DCR|3VULN|1AART|1ASPD|1DMG	1RCVC|24aVULN|34CGEN|4BPWR|5LWND|6RCR|7ASPD|8AART|9DMG
53	63332 11615	   	209.58	DCR|3DMG|2VULN|1ASPD|1DUR	1RCVC|28VULN|35aDMG|45LHND|5BPWR|6RCR|7ASPD|9DUR
54	53352 31311	   	209.34	DCR|3VULN|2ASPD|1AART|2DUR	13FEWX|256VULN|45ASPD|5BPWR|7AART|8RCR|9aDUR
55	23152 16263	   	209.16	DCR|5VULN|1AART|2ZMB	1LHND|24578VULN|35ZMB|5BPWR|6RCR|9RPLT|aAART
56	63652 31312	   	209.09	DCR|2VULN|1MDPS|2ASPD|1AART|1DUR	1RCVC|26VULN|35FEWX|45ASPD|5BPWR|7AART|8RCR|9DUR|aMDPS
57	53352 11124	   	209.00	DCR|3VULN|3ASPD|1DMG	13FEWX|258VULN|457ASPD|5BPWR|6RCR|9LIT|aDMG
58	53352 11162	   	209.00	DCR|3VULN|3ASPD|1DMG	13FEWX|258VULN|457ASPD|5BPWR|6RCR|9RPLT|aDMG
59	23152 41141	 * 	208.97	DCR|4VULN|1AART|1NUKE|2ZMB	1LHND|2457VULN|35ZMB|5BPWR|6AART|8BELT|9RCR|aNUKE
60	63332 11365	   	208.64	DCR|2VULN|2DMG|1ASPD|1CDMG|1AAC	1RCVC|29VULN|35DMG|45LHND|5BPWR|6RCR|7ASPD|8CDMG|aAAC
61	63332 11613	   	208.14	DCR|2VULN|2DMG|2ASPD|1DUR	1RCVC|28VULN|35DMG|45LHND|5BPWR|6RCR|7aASPD|9DUR
62	63362 11613	   	208.14	DCR|2VULN|2DMG|2ASPD|1DUR	1RCVC|28VULN|35DMG|45LWND|5BPWR|6RCR|7aASPD|9DUR
63	63262 11212	 * 	208.06	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1RCVC|24VULN|34CGEN|4BPWR|5LWND|6RCR|7ASPD|8AART|9DMG|aCDMG
64	33422 66331	   	208.03	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1AART|23aVULN|4CDMG|5LWND|6ASPD|7RCR|8LIT|9DUR
