0	Index      	 *	Score 	Summary	Detail	
1	33432 22142	 * 	235.44	DCR|4VULN|2AART|2DMG	18DUST|24AART|38DMG|5RCVC|689aVULN|7RCR|8BPWR
2	33432 22144	   	227.90	DCR|3VULN|2AART|2DMG|1DUR	18DUST|24AART|38DMG|5RCVC|689VULN|7RCR|8BPWR|aDUR
3	33432 22141	   	219.59	DCR|3VULN|2AART|2DMG	18DUST|24AART|38DMG|5RCVC|689VULN|7RCR|8BPWR|aCGEN
4	33432 22143	   	219.59	DCR|3VULN|2AART|2DMG	18DUST|24AART|38DMG|5RCVC|689VULN|7RCR|8BPWR|aBEXP
5	33432 22146	   	219.59	DCR|3VULN|2AART|2DMG	18DUST|24AART|38DMG|5RCVC|689VULN|7RCR|8BPWR|aLIT
6	33422 22112	   	219.59	DCR|3VULN|2AART|2DMG	18DUST|29AART|38DMG|4DMSP|5RCVC|68aVULN|7RCR|8BPWR
7	33432 22145	   	219.49	DCR|3VULN|2AART|2DMG	18DUST|24AART|38DMG|5RCVC|689VULN|7RCR|8BPWR|aTLV
8	33422 22142	   	219.36	DCR|4VULN|2DMG|1AART	18DUST|2AART|38DMG|4DMSP|5RCVC|689aVULN|7RCR|8BPWR
9	33452 22111	 * 	219.17	DCR|3VULN|3DMG|1AART	18DUST|2AART|348DMG|5RCVC|689VULN|7RCR|8BPWR|aRMIN
10	33452 22115	   	219.17	DCR|3VULN|3DMG|1AART	18DUST|2AART|348DMG|5RCVC|689VULN|7RCR|8BPWR|aCGEN
11	33452 22112	   	219.07	DCR|3VULN|3DMG|1AART	18aDUST|2AART|348DMG|5RCVC|689VULN|7RCR|8BPWR
12	33452 22113	   	219.07	DCR|3VULN|3DMG|1AART|1MSE	18DUST|2AART|348DMG|5RCVC|689VULN|7RCR|8BPWR|aMSE
13	33452 22114	   	219.07	DCR|3VULN|3DMG|1AART	18DUST|2AART|348DMG|5RCVC|689VULN|7RCR|8BPWR|aERES
14	33452 22116	   	219.07	DCR|3VULN|3DMG|1AART	18DUST|2AART|348DMG|5RCVC|689VULN|7RCR|8BPWR|aAIRARM
15	33432 22136	 * 	217.91	DCR|2VULN|2AART|2DMG|1CDMG	18DUST|24AART|38DMG|5RCVC|68VULN|7RCR|8BPWR|9CANARM|aCDMG
16	33432 22114	 * 	217.36	DCR|3AART|2VULN|2DMG|1ZMB	18DUST|249AART|38DMG|5RCVC|68VULN|7RCR|8BPWR|aZMB
17	33456 22112	   	217.13	DCR|3VULN|2AART|2DMG	18DUST|29AART|34DMG|58AELBLL|68aVULN|7RCR|8BPWR
18	33436 22142	   	215.39	DCR|4VULN|2AART|1DMG	18DUST|24AART|3DMG|58AELBLL|689aVULN|7RCR|8BPWR
19	33432 22125	   	213.40	DCR|2VULN|2AART|2DMG|1AAC|1DUR	18DUST|24AART|38DMG|5RCVC|68VULN|7RCR|8BPWR|9DUR|aAAC
20	33422 22144	   	211.82	DCR|3VULN|2DMG|1AART|1DUR	18DUST|2AART|38DMG|4DMSP|5RCVC|689VULN|7RCR|8BPWR|aDUR
21	33452 22151	   	211.67	DCR|3DMG|2VULN|1AART|1ZMB	18DUST|2AART|348DMG|5RCVC|68VULN|7RCR|8BPWR|9ZMB|aMULFIG
22	33452 22153	   	211.67	DCR|3DMG|2VULN|1AART|1ZMB	18DUST|2AART|348DMG|5RCVC|68VULN|7RCR|8BPWR|9ZMB|aAELBLL
23	33452 22152	   	211.57	DCR|3DMG|2VULN|1AART|1ZMB	18DUST|2AART|348DMG|5RCVC|68VULN|7RCR|8BPWR|9ZMB|aTLV
24	33432 22121	   	210.07	DCR|2VULN|2AART|2DMG|1DUR	18DUST|24AART|38DMG|5RCVC|68VULN|7RCR|8BPWR|9DUR|aCGEN
25	33432 22124	   	210.07	DCR|2VULN|2AART|2DMG|1DUR	18DUST|24AART|38DMG|5RCVC|68VULN|7RCR|8BPWR|9DUR|aLHND
26	33422 22114	   	210.07	DCR|2VULN|2AART|2DMG|1DUR	18DUST|29AART|38DMG|4DMSP|5RCVC|68VULN|7RCR|8BPWR|aDUR
27	33432 22122	   	209.97	DCR|2VULN|2AART|2DMG|1DUR	18aDUST|24AART|38DMG|5RCVC|68VULN|7RCR|8BPWR|9DUR
28	33432 22123	   	209.97	DCR|2VULN|2AART|2DMG|1DUR	18DUST|24AART|38DMG|5RCVC|68VULN|7RCR|8BPWR|9DUR|aERES
29	33432 22126	   	209.97	DCR|2VULN|2AART|2DMG|1DUR	18DUST|24AART|38DMG|5RCVC|68VULN|7RCR|8BPWR|9DUR|aLEGI
30	33452 22125	   	209.65	DCR|3DMG|2VULN|1AART|1DUR	18DUST|2AART|348DMG|5RCVC|68VULN|7RCR|8BPWR|9BEXP|aDUR
31	33432 22115	   	207.34	DCR|3AART|2VULN|2DMG	18DUST|249AART|38DMG|5aRCVC|68VULN|7RCR|8BPWR
32	33432 22111	   	207.02	DCR|3AART|2VULN|2DMG	18DUST|249AART|38DMG|5RCVC|68VULN|7RCR|8BPWR|aFEWX
33	33432 22112	   	207.02	DCR|3AART|2VULN|2DMG	18DUST|249AART|38DMG|5RCVC|68VULN|7RCR|8BPWR|aLWND
34	33432 22113	   	207.02	DCR|3AART|2VULN|2DMG	18DUST|249AART|38DMG|5RCVC|68VULN|7RCR|8BPWR|aBEXP
35	33432 22116	   	207.02	DCR|3AART|2VULN|2DMG	18DUST|249AART|38DMG|5RCVC|68VULN|7RCR|8BPWR|aLIT
36	13436 21341	   	205.81	DCR|2VULN|2AART|2DMG|1DUR	19FEWX|24AART|39DMG|5AELBLL|6LIT|79VULN|8RCR|9BPWR|aDUR
