0	Index      	 *	Score 	Summary	Detail	
1	13134 32215	 * 	300.52	DCR|3VULN|2TLV|2ASPD|1AEBURN	17aVULN|2aTLV|3LEGI|4ERES|5AEBURN|6RCR|8BELT|9aASPD|aBPWR
2	12222 51231	 * 	298.53	DCR|3VULN|1TLV|1DMG|1AEBURN|1CDMG	136VULN|2FRZARM|4TLV|5DUR|7CDMG|8AEBURN|9DMG|aRCR
3	12222 51421	 * 	298.53	DCR|3VULN|1TLV|1DMG|1AEPOI|1CDMG	136VULN|2FRZARM|4TLV|5DUR|7CDMG|8DMG|9AEPOI|aRCR
4	12211 62133	 * 	297.49	DCR|3VULN|1TLV|2DMG|1CDMG|1AART	136VULN|2FRZARM|4CDMG|56DMG|6BPWR|7RCR|8LHND|9AART|aTLV
5	16211 85231	 * 	295.12	ACR|4VULN|2TLV|1AEFBLL|1SELL	167aVULN|2SELL|3MBVNT|4AEFBLL|5RCR|89TLV
6	11222 51231	   	291.59	DCR|3VULN|1TLV|1DMG|1AEBURN|1CDMG	136VULN|2FRZFST|4TLV|5DUR|7CDMG|8AEBURN|9DMG|aRCR
7	11222 51421	   	291.59	DCR|3VULN|1TLV|1DMG|1AEPOI|1CDMG	136VULN|2FRZFST|4TLV|5DUR|7CDMG|8DMG|9AEPOI|aRCR
8	12226 41612	 * 	290.90	DCR|3VULN|1TLV|1AEFBLL|2DUR|2FRZARM|2ZMB	139VULN|29FRZARM|4TLV|56ZMB|7RCR|89DUR|9BPWR|aAEFBLL
9	11211 62133	   	290.55	DCR|3VULN|1TLV|2DMG|1CDMG|1AART	136VULN|2FRZFST|4CDMG|56DMG|6BPWR|7RCR|8LHND|9AART|aTLV
10	13423 15353	 * 	289.15	DCR|4VULN|2TLV|1CDMG	1589VULN|29TLV|3LWND|4DUST|69LHND|7RCR|9BPWR|aCDMG
11	13423 15352	 * 	289.15	DCR|4VULN|3TLV	1589VULN|29aTLV|3LWND|4DUST|69LHND|7RCR|9BPWR
12	12212 33622	   	288.87	DCR|3VULN|1TLV|1DMG|1AEBURN|1CDMG	137VULN|2FRZARM|4CDMG|5BELT|6AEBURN|8DMG|9TLV|aRCR
13	16211 85232	 * 	287.72	ACR|3VULN|2TLV|1AEFBLL|1CDMG|1SELL	167VULN|2SELL|3MBVNT|4AEFBLL|5RCR|89TLV|aCDMG
14	13225 36523	 * 	286.74	DCR|DCR|1TLV|1VULN|1CDMG|1AART	1VULN|2TLV|3ZMB|4FEWX|5LIT|6aRCR|7AART|8DUR|9CDMG
15	12211 62155	   	286.39	DCR|3VULN|1TLV|2DMG|1CDMG	136VULN|2FRZARM|4CDMG|56DMG|6BPWR|7RCR|8LHND|9SNIHEL|aTLV
16	12211 62635	   	286.39	DCR|3VULN|1TLV|2DMG|1CDMG	136VULN|2FRZARM|4CDMG|56DMG|6BPWR|7RCR|8BASICY|9LHND|aTLV
17	12211 62622	   	286.29	DCR|3VULN|1TLV|2DMG|1CDMG	136VULN|2FRZARM|4CDMG|56DMG|6BPWR|7RCR|8BASICY|9MDPS|aTLV
18	13324 36323	 * 	285.42	DCR|3VULN|2TLV|2AEBURN|1AART	189VULN|29TLV|3ERES|4FEWX|59AEBURN|6RCR|7AART|9BPWR|aBEXP
19	13324 36324	   	285.42	DCR|3VULN|2TLV|2AEBURN|1AART	189VULN|29TLV|3ERES|4FEWX|59AEBURN|6RCR|7AART|9BPWR|aMLV
20	13534 36323	   	285.42	DCR|3VULN|2TLV|2AEBURN|1AART	189VULN|29TLV|3FEWX|4ERES|59AEBURN|6RCR|7AART|9BPWR|aBEXP
21	12222 55215	   	285.40	DCR|3VULN|1TLV|1DMG|1ASPD	136VULN|2FRZARM|4TLV|5DUR|7DMG|8ASPD|9ZMB|aRCR
