0	Index      	 *	Score 	Summary	Detail	
1	51251 61122	 * 	308.90	ACR|ACR|2VULN|2DMG|3DUR|1AEBURN	19DMG|2AETHUN|35RCR|4ZMB|679DUR|89VULN|9BPWR|aAEBURN
2	51251 62233	 * 	302.64	ACR|ACR|1TLV|1VULN|1DMG|1ASPD	1DMG|2AETHUN|35RCR|4ZMB|6DUR|7RAT|8VULN|9ASPD|aTLV
3	51251 63223	 * 	302.49	ACR|ACR|2TLV|2DMG|1AART|2ZMB	19DMG|2AETHUN|35RCR|49ZMB|6DUR|7ERES|89TLV|9BPWR|aAART
4	51251 61123	   	302.49	ACR|ACR|2VULN|2DMG|3DUR|1CDMG	19DMG|2AETHUN|35RCR|4ZMB|679DUR|89VULN|9BPWR|aCDMG
5	53362 53123	 * 	293.06	DCR|2TLV|3DMG|1VULN|2ASPD|1CDMG	137DMG|2RMIN|37BPWR|47TLV|57ASPD|6AAC|8VULN|9RCR|aCDMG
6	51251 34233	   	292.98	ACR|ACR|1TLV|1VULN|1DMG|1ASPD	1DMG|2AETHUN|35RCR|4ZMB|6RAT|7FEWX|8VULN|9ASPD|aTLV
7	51251 35233	   	292.98	ACR|ACR|1TLV|1VULN|1DMG|1ASPD	1DMG|2AETHUN|35RCR|4ZMB|6RAT|7LHND|8VULN|9ASPD|aTLV
8	51251 23223	   	292.73	ACR|ACR|2TLV|2DMG|1AART|2ZMB	19DMG|2AETHUN|35RCR|49ZMB|6DUST|7ERES|89TLV|9BPWR|aAART
9	51251 51223	   	292.73	ACR|ACR|2TLV|2DMG|1AART|2ZMB	19DMG|2AETHUN|35RCR|49ZMB|6ERES|7DUST|89TLV|9BPWR|aAART
10	51251 63221	   	291.49	ACR|ACR|2TLV|2DMG|2ZMB	19DMG|2AETHUN|35RCR|49ZMB|6DUR|7ERES|89TLV|9BPWR|aFEWX
11	51251 63222	   	291.49	ACR|ACR|2TLV|2DMG|2ZMB	19DMG|2AETHUN|35RCR|49ZMB|6DUR|7ERES|89TLV|9BPWR|aLIT
12	53363 11532	 * 	289.22	DCR|2VULN|1TLV|3DMG|2DUR|1ASPD	13aDMG|2RMIN|3aBPWR|4TLV|5aVULN|6ASPD|7ERES|8aDUR|9RCR
13	53362 53121	   	289.07	DCR|2TLV|3DMG|1VULN|2ASPD	137DMG|2RMIN|37BPWR|47TLV|57ASPD|6AAC|8VULN|9RCR|aDUR
14	51251 61121	   	288.84	ACR|ACR|2VULN|2DMG|3DUR	19DMG|2AETHUN|35RCR|4ZMB|679DUR|89VULN|9BPWR|aLWND
15	51251 53223	   	287.99	ACR|ACR|2TLV|2DMG	19DMG|2AETHUN|35RCR|4ZMB|69ERES|7LEGI|89TLV|9BPWR|aDUR
16	51251 43133	   	286.04	ACR|ACR|1TLV|1VULN|1DMG|1CDMG	1DMG|2AETHUN|35RCR|4ZMB|6AAC|7LHND|8VULN|9TLV|aCDMG
17	51251 41133	   	283.30	ACR|ACR|1TLV|1VULN|1DMG|1AART	1DMG|2AETHUN|35RCR|4ZMB|6AAC|7DUST|8VULN|9TLV|aAART
18	56232 23532	 * 	283.17	ACR|2TLV|2VULN|3DMG	14aDMG|24FEWX|3RCR|4aBPWR|5aTLV|6MDPS|7AAC|8BELT|9aVULN
19	53362 21432	 * 	282.97	DCR|2VULN|1TLV|3DMG|2ASPD	13aDMG|2RMIN|3aBPWR|4TLV|5aASPD|6BEXP|7ERES|8aVULN|9RCR
20	51251 36211	   	282.63	ACR|ACR|1TLV|1VULN|1DMG|2ZMB	1DMG|2AETHUN|35RCR|47ZMB|6RAT|8VULN|9RMIN|aTLV
21	51251 13221	   	281.83	ACR|ACR|2TLV|2DMG|2ZMB	19DMG|2AETHUN|35RCR|49ZMB|6aFEWX|7ERES|89TLV|9BPWR
22	51251 13222	   	281.83	ACR|ACR|2TLV|2DMG|2ZMB	19DMG|2AETHUN|35RCR|49ZMB|6FEWX|7ERES|89TLV|9BPWR|aBEXP
23	51251 13224	   	281.83	ACR|ACR|2TLV|2DMG|2ZMB	19DMG|2AETHUN|35RCR|49ZMB|6FEWX|7ERES|89TLV|9BPWR|aLHND
24	51251 13226	   	281.83	ACR|ACR|2TLV|2DMG|2ZMB	19DMG|2AETHUN|35RCR|49ZMB|6FEWX|7ERES|89TLV|9BPWR|aLIT
25	51251 13223	   	281.73	ACR|ACR|2TLV|2DMG|2ZMB	19DMG|2AETHUN|35RCR|49ZMB|6FEWX|7ERES|89TLV|9BPWR|aAEFRZ
26	51251 23221	   	281.73	ACR|ACR|2TLV|2DMG|2ZMB	19DMG|2AETHUN|35RCR|49ZMB|6DUST|7ERES|89TLV|9BPWR|aFEWX
27	51251 23222	   	281.73	ACR|ACR|2TLV|2DMG|2ZMB	19DMG|2AETHUN|35RCR|49ZMB|6DUST|7ERES|89TLV|9BPWR|aLIT
28	51251 23224	   	281.73	ACR|ACR|2TLV|2DMG|2ZMB	19DMG|2AETHUN|35RCR|49ZMB|6DUST|7ERES|89TLV|9BPWR|aLHND
29	51251 23225	   	281.73	ACR|ACR|2TLV|2DMG|2ZMB	19DMG|2AETHUN|35RCR|49ZMB|6DUST|7ERES|89TLV|9BPWR|aBEXP
30	51251 51221	   	281.73	ACR|ACR|2TLV|2DMG|2ZMB	19DMG|2AETHUN|35RCR|49ZMB|6ERES|7DUST|89TLV|9BPWR|aFEWX
31	51251 51222	   	281.73	ACR|ACR|2TLV|2DMG|2ZMB	19DMG|2AETHUN|35RCR|49ZMB|6ERES|7DUST|89TLV|9BPWR|aLIT
32	56251 13311	   	279.43	ACR|ACR|1TLV|1VULN|1DMG	1DMG|26FEWX|35RCR|4ZMB|7VULN|8RAT|9RMIN|aTLV
33	56251 12211	   	279.43	ACR|ACR|1TLV|1VULN|1DMG	1DMG|26FEWX|35RCR|4ZMB|7RAT|8VULN|9RMIN|aTLV
34	53362 53122	   	279.41	DCR|2TLV|3DMG|1VULN|2ASPD	137DMG|2RMIN|37BPWR|47TLV|57ASPD|6AAC|8VULN|9RCR|aLWND
35	54222 16221	 * 	279.41	ACR|2TLV|3DMG|1VULN|2ASPD	169DMG|2LHND|3RCR|4RCVC|59TLV|7RMIN|89ASPD|9BPWR|aVULN
36	54251 13223	   	279.33	ACR|ACR|1TLV|1VULN|1DMG	1DMG|2LHND|35RCR|4ZMB|6FEWX|7ERES|8TLV|9FLTHEA|aVULN
37	56251 32221	   	279.33	ACR|ACR|1TLV|1VULN|1DMG	1DMG|28FEWX|35RCR|4ZMB|6RAT|7ERES|9VULN|aTLV
38	54222 14221	   	279.31	ACR|2TLV|3DMG|1VULN|2ASPD	169DMG|2LHND|3RCR|4RCVC|59TLV|79ASPD|8NUKE|9BPWR|aVULN
39	54251 23223	   	279.23	ACR|ACR|1TLV|1VULN|1DMG	1DMG|2LHND|35RCR|4ZMB|6DUST|7ERES|8TLV|9FLTHEA|aVULN
40	54251 31311	   	279.23	ACR|ACR|1TLV|1VULN|1DMG	1DMG|2LHND|35RCR|4ZMB|6RAT|7MDPS|8ERES|9VULN|aTLV
41	56251 31311	   	279.23	ACR|ACR|1TLV|1VULN|1DMG	1DMG|2FEWX|35RCR|4ZMB|6RAT|7MDPS|8ERES|9VULN|aTLV
42	51251 31315	   	279.13	ACR|ACR|1TLV|1VULN|1DMG	1DMG|2AETHUN|35RCR|4ZMB|6RAT|7MDPS|8ERES|9VULN|aTLV
