0	Index      	 *	Score 	Summary	Detail	
1	14333 16135	 * 	301.25	DCR|DCR|2VULN|1TLV|2ASPD	13ASPD|23ERES|3BPWR|4MDPS|56VULN|79RCR|8FEWX|aTLV
2	33133 13516	 * 	290.30	DCR|DCR|2TLV|1VULN|2DUR	1AAC|24DUR|3DMSP|5AIRHEA|67TLV|8aRCR|9VULN
3	33633 13516	   	290.30	DCR|DCR|2TLV|1VULN|2DUR	1AAC|24DUR|3RCVC|5AIRHEA|67TLV|8aRCR|9VULN
4	15233 11516	   	290.10	DCR|DCR|1TLV|1VULN|2ASPD|2DUR	17ASPD|2AEFRZ|34DUR|5AIRHEA|6TLV|8aRCR|9VULN
5	14133 16135	   	288.80	DCR|DCR|2VULN|1TLV|1ASPD	1ASPD|2ERES|3DMSP|4MDPS|56VULN|79RCR|8FEWX|aTLV
6	14243 13135	   	288.67	DCR|DCR|1TLV|1VULN|1AEFBLL|1ASPD	1ASPD|2ERES|3DUST|4VULN|5AEFBLL|69RCR|7DUR|8FEWX|aTLV
7	14243 13335	   	288.67	DCR|DCR|1TLV|1VULN|1AEFBLL|1ASPD	1ASPD|2ERES|3DUST|4VULN|5AEFBLL|69RCR|7DUR|8BEXP|aTLV
8	14331 23316	   	284.94	DCR|DCR|1TLV|1VULN|2ASPD|1CDMG	13ASPD|235ERES|3BPWR|4MDPS|6CDMG|7TLV|8VULN|9aRCR
9	11121 56151	 * 	280.66	ACR|3VULN|2TLV|2ASPD	19ASPD|2AAC|3DMSP|4aLHND|5RCR|679VULN|89TLV|9BPWR
10	11121 56152	   	280.66	ACR|3VULN|2TLV|2ASPD	19ASPD|2AAC|3DMSP|4LHND|5RCR|679VULN|89TLV|9BPWR|aFEWX
11	11121 56153	   	280.66	ACR|3VULN|2TLV|2ASPD	19ASPD|2AAC|3DMSP|4LHND|5RCR|679VULN|89TLV|9BPWR|aCGEN
12	13121 56151	   	280.66	ACR|3VULN|2TLV|2ASPD	19ASPD|2RMIN|3DMSP|4aLHND|5RCR|679VULN|89TLV|9BPWR
13	13121 56152	   	280.66	ACR|3VULN|2TLV|2ASPD	19ASPD|2RMIN|3DMSP|4LHND|5RCR|679VULN|89TLV|9BPWR|aFEWX
14	13121 56153	   	280.66	ACR|3VULN|2TLV|2ASPD	19ASPD|2RMIN|3DMSP|4LHND|5RCR|679VULN|89TLV|9BPWR|aCGEN
15	32121 56151	   	280.66	ACR|3VULN|2TLV|2ASPD	1AAC|29ASPD|3DMSP|4aLHND|5RCR|679VULN|89TLV|9BPWR
16	32121 56152	   	280.66	ACR|3VULN|2TLV|2ASPD	1AAC|29ASPD|3DMSP|4LHND|5RCR|679VULN|89TLV|9BPWR|aFEWX
17	32121 56153	   	280.66	ACR|3VULN|2TLV|2ASPD	1AAC|29ASPD|3DMSP|4LHND|5RCR|679VULN|89TLV|9BPWR|aCGEN
18	13236 26135	   	279.10	DCR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1ASPD|2RMIN|3DUST|4TLV|5MLV|6VULN|79RCR|8FEWX|aAEBURN
19	53253 11413	 * 	276.32	DCR|2TLV|1VULN|2DMG|1AEBURN|2DUR	18DUR|2RMIN|3MDPS|4AEBURN|5BELT|68TLV|78DMG|8BPWR|9VULN|aRCR
20	14233 16135	   	273.50	DCR|DCR|2VULN|1TLV|1ASPD|1MSE	1ASPD|2ERES|3DUST|4MSE|56VULN|79RCR|8FEWX|aTLV
21	53332 13315	 * 	273.26	DCR|3VULN|2TLV|2DUR	1aDUR|2RMIN|3BELT|489VULN|5aLWND|6aTLV|7RCR|aBPWR
22	13133 11516	   	271.59	DCR|DCR|1TLV|1VULN|2ASPD	17ASPD|2RMIN|3DMSP|4AME|5TSLARM|6TLV|8aRCR|9VULN
23	13533 12516	   	271.59	DCR|DCR|1TLV|1VULN|2ASPD	13ASPD|2RMIN|47AME|5TSLARM|6TLV|8aRCR|9VULN
24	13633 11516	   	271.59	DCR|DCR|1TLV|1VULN|2ASPD	17ASPD|2RMIN|3CGEN|4RCVC|5TSLARM|6TLV|8aRCR|9VULN
25	23533 11516	   	271.59	DCR|DCR|1TLV|1VULN|2ASPD	1CGEN|2RMIN|37ASPD|4RCVC|5TSLARM|6TLV|8aRCR|9VULN
26	13144 26131	   	271.49	DCR|DCR|1TLV|1VULN|2ASPD	15ASPD|2RMIN|3DMSP|4MDPS|5BPWR|6VULN|79RCR|8FEWX|aTLV
27	13144 26331	   	271.49	DCR|DCR|1TLV|1VULN|2ASPD	15ASPD|2RMIN|3DMSP|4MDPS|5BPWR|6VULN|79RCR|8BEXP|aTLV
28	13161 21535	 * 	271.39	ACR|DCR|2TLV|3ASPD	167ASPD|2RMIN|3DMSP|46DUST|59RCR|6BPWR|8aTLV
29	13211 21535	   	271.39	ACR|DCR|2TLV|3ASPD	167ASPD|24RMIN|36DUST|59RCR|6BPWR|8aTLV
