0	Index      	 *	Score 	Summary	Detail	
1	52336 13521	 * 	309.06	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1AME|25VULN|3CDMG|4aRCR|6LIT|7DMG|8TLV|9FEWX
2	31485 52144	   	308.81	ACR|DCR|1TLV|1VULN|1DMG|2DUR|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5VULN|6TLV|89DUR|aDMG
3	31485 52114	   	306.08	ACR|DCR|1TLV|1VULN|1DMG|2CDMG|1AART	1MBVNT|29CDMG|37RCR|4AART|5VULN|6TLV|8DUR|aDMG
4	23421 41351	 * 	302.30	DCR|DCR|2VULN|1TLV|1ASPD|1CDMG|1SELL	1MSLTOX|2ASPD|36VULN|4CDMG|5RMIN|78RCR|9SELL|aTLV
5	31485 52224	 * 	300.32	ACR|DCR|1TLV|1VULN|2AART|1DMG|1CDMG	1MBVNT|2CDMG|37RCR|48AART|5VULN|6TLV|9LHND|aDMG
6	31485 52233	   	300.32	ACR|DCR|1TLV|1VULN|2AART|1DMG|1CDMG	1MBVNT|2CDMG|37RCR|48AART|5VULN|6TLV|9DMSP|aDMG
7	31485 52142	   	298.41	ACR|DCR|1TLV|1VULN|2DUR|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5VULN|6TLV|89DUR|aNUKE
8	31481 52514	   	296.42	ACR|DCR|1TLV|1VULN|1DMG|2CDMG|1AART	1MBVNT|29CDMG|37RCR|4AART|5FEWX|6TLV|8VULN|aDMG
9	31485 52314	   	296.42	ACR|DCR|1TLV|1VULN|1DMG|2CDMG|1AART	1MBVNT|29CDMG|37RCR|4AART|5VULN|6TLV|8LWND|aDMG
10	31485 52424	   	296.42	ACR|DCR|1TLV|1VULN|1DMG|2CDMG|1AART	1MBVNT|28CDMG|37RCR|4AART|5VULN|6TLV|9LHND|aDMG
11	31485 52433	   	296.42	ACR|DCR|1TLV|1VULN|1DMG|2CDMG|1AART	1MBVNT|28CDMG|37RCR|4AART|5VULN|6TLV|9DMSP|aDMG
12	31483 52514	   	296.32	ACR|DCR|1TLV|1VULN|1DMG|2CDMG|1AART	1MBVNT|29CDMG|37RCR|4AART|5DUST|6TLV|8VULN|aDMG
13	31485 52112	   	295.68	ACR|DCR|1TLV|1VULN|2CDMG|1AART	1MBVNT|29CDMG|37RCR|4AART|5VULN|6TLV|8DUR|aNUKE
14	31485 52143	   	295.06	ACR|DCR|1TLV|1VULN|2CDMG|2DUR|1AART	1MBVNT|2aCDMG|37RCR|4AART|5VULN|6TLV|89DUR
15	31485 52113	 * 	292.06	ACR|DCR|1TLV|1VULN|3CDMG|1AART	1MBVNT|29aCDMG|37RCR|4AART|5VULN|6TLV|8DUR
16	31481 52534	   	290.11	ACR|DCR|1TLV|1VULN|1DMG|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|59FEWX|6TLV|8VULN|aDMG
17	31485 52222	   	289.91	ACR|DCR|1TLV|1VULN|2AART|1CDMG	1MBVNT|2CDMG|37RCR|48AART|5VULN|6TLV|9LHND|aNUKE
18	31485 52243	   	289.91	ACR|DCR|1TLV|1VULN|2AART|1CDMG	1MBVNT|2CDMG|37RCR|48AART|5VULN|6TLV|9AME|aDUR
19	31481 52164	   	288.75	ACR|DCR|1TLV|1VULN|2DUR|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5FEWX|6TLV|8aDUR|9VULN
20	31485 52134	   	288.75	ACR|DCR|1TLV|1VULN|2DUR|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5VULN|6TLV|8aDUR|9FEWX
21	31485 52141	   	288.75	ACR|DCR|1TLV|1VULN|2DUR|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5VULN|6TLV|89DUR|aLIT
22	31483 52544	   	288.65	ACR|DCR|1TLV|1VULN|2DUR|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5DUST|6TLV|8VULN|9aDUR
23	31483 52164	   	288.65	ACR|DCR|1TLV|1VULN|2DUR|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5DUST|6TLV|8aDUR|9VULN
24	31813 64328	 * 	287.80	DCR|2TLV|2VULN|2DMG|1CDMG	1MBVNT|2CDMG|3aTLV|4MULFIG|5SNIFST|6aVULN|7RCR|8RAT|9aDMG|aBPWR
25	31485 52244	   	287.19	ACR|DCR|1TLV|1VULN|2AART|1CDMG	1MBVNT|2CDMG|37RCR|48AART|5VULN|6TLV|9AME|aFRZICY
26	31485 52223	   	286.57	ACR|DCR|1TLV|1VULN|2AART|2CDMG	1MBVNT|2aCDMG|37RCR|48AART|5VULN|6TLV|9LHND
27	31481 52512	   	286.02	ACR|DCR|1TLV|1VULN|2CDMG|1AART	1MBVNT|29CDMG|37RCR|4AART|5FEWX|6TLV|8VULN|aNUKE
28	31485 52111	   	286.02	ACR|DCR|1TLV|1VULN|2CDMG|1AART	1MBVNT|29CDMG|37RCR|4AART|5VULN|6TLV|8DUR|aLIT
29	31485 52312	   	286.02	ACR|DCR|1TLV|1VULN|2CDMG|1AART	1MBVNT|29CDMG|37RCR|4AART|5VULN|6TLV|8LWND|aNUKE
30	31485 52422	   	286.02	ACR|DCR|1TLV|1VULN|2CDMG|1AART	1MBVNT|28CDMG|37RCR|4AART|5VULN|6TLV|9LHND|aNUKE
31	31485 52443	   	286.02	ACR|DCR|1TLV|1VULN|2CDMG|1AART	1MBVNT|28CDMG|37RCR|4AART|5VULN|6TLV|9AME|aDUR
32	31483 52512	   	285.92	ACR|DCR|1TLV|1VULN|2CDMG|1AART	1MBVNT|29CDMG|37RCR|4AART|5DUST|6TLV|8VULN|aNUKE
33	31832 51474	 * 	285.76	DCR|3VULN|1TLV|2DMG|2CDMG	1MBVNT|28CDMG|3TLV|4MDPS|58DMG|678VULN|8BPWR|9BELT|aRCR
34	21214 61315	 * 	285.24	DCR|DCR|2TLV|1VULN|1CDMG	1MSLTOX|2LWND|3AAC|46TLV|5CDMG|78RCR|9BELT|aVULN
35	21214 61362	 * 	285.24	DCR|DCR|2TLV|2DMG|1CDMG	1aMSLTOX|2aLWND|3AAC|46TLV|5CDMG|78RCR|9aDMG|aBPWR
36	21226 61315	   	285.24	DCR|DCR|2TLV|1VULN|1CDMG	1MSLTOX|2LWND|3AAC|4CDMG|56TLV|78RCR|9BELT|aVULN
37	21226 61362	   	285.24	DCR|DCR|2TLV|2DMG|1CDMG	1aMSLTOX|2aLWND|3AAC|4CDMG|56TLV|78RCR|9aDMG|aBPWR
38	31483 52841	   	283.59	ACR|DCR|1TLV|1VULN|1ASPD|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5DUST|6TLV|8ASPD|9VULN|aLIT
39	31483 52842	   	283.59	ACR|DCR|1TLV|1VULN|1ASPD|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5DUST|6TLV|8ASPD|9VULN|aLWND
40	31483 52843	   	283.59	ACR|DCR|1TLV|1VULN|1ASPD|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5DUST|6TLV|8ASPD|9VULN|aRCVC
41	31483 52844	   	283.59	ACR|DCR|1TLV|1VULN|1ASPD|1CDMG|1AART	1MBVNT|2CDMG|37RCR|4AART|5DUST|6TLV|8ASPD|9VULN|aMLV
42	31485 52444	   	283.30	ACR|DCR|1TLV|1VULN|2CDMG|1AART	1MBVNT|28CDMG|37RCR|4AART|5VULN|6TLV|9AME|aFRZICY
43	31481 52513	   	282.40	ACR|DCR|1TLV|1VULN|3CDMG|1AART	1MBVNT|29aCDMG|37RCR|4AART|5FEWX|6TLV|8VULN
44	31485 52313	   	282.40	ACR|DCR|1TLV|1VULN|3CDMG|1AART	1MBVNT|29aCDMG|37RCR|4AART|5VULN|6TLV|8LWND
