0	Index      	 *	Score 	Summary	Detail	
1	32336 43326	 * 	311.72	DCR|DCR|2TLV|1VULN|1DMG|1AEPOI	1MDPS|2AAC|3LIT|4VULN|59TLV|6DMG|78RCR|aAEPOI
2	32336 15326	   	305.31	DCR|DCR|2TLV|1VULN|1AEPOI|1ASPD	1MDPS|2AAC|3LIT|4VULN|59TLV|68RCR|7ASPD|aAEPOI
3	23126 12334	 * 	301.77	ACR|3VULN|2TLV|2DMG	19DMG|2RPLT|3AETHUN|4RCR|5DUR|69aVULN|7DMSP|89TLV|9BPWR
4	36236 43321	   	298.60	DCR|DCR|2TLV|1VULN|1DMG	1MDPS|2ZMB|3LIT|4VULN|59TLV|6DMG|78RCR|aAME
5	36236 43323	   	298.60	DCR|DCR|2TLV|1VULN|1DMG	1MDPS|2ZMB|3aLIT|4VULN|59TLV|6DMG|78RCR
6	36236 43322	   	298.50	DCR|DCR|2TLV|1VULN|1DMG	1MDPS|2ZMB|3LIT|4VULN|59TLV|6DMG|78RCR|aERES
7	23126 12335	   	297.14	ACR|2TLV|2VULN|2DMG|1AEFBLL	19DMG|2RPLT|3AETHUN|4RCR|5DUR|69VULN|7DMSP|89TLV|9BPWR|aAEFBLL
8	22154 33632	   	296.52	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1AART	1DMG|2ERES|3AME|4AEFBLL|5RCVC|6TLV|7AART|8VULN|9aRCR
9	36233 15323	 * 	295.84	DCR|DCR|2VULN|1TLV|1ASPD	1MDPS|2ZMB|3LIT|4aVULN|5CGEN|68RCR|7ASPD|9TLV
10	32336 43363	   	295.21	DCR|DCR|2VULN|1TLV|1DMG	1MDPS|2AAC|3LIT|4aVULN|5TLV|6DMG|78RCR|9ERES
11	36233 15326	   	292.18	DCR|DCR|2TLV|1VULN|1ASPD	1MDPS|2ZMB|3LIT|4VULN|5CGEN|68RCR|7ASPD|9aTLV
12	36236 15321	   	292.18	DCR|DCR|2TLV|1VULN|1ASPD	1MDPS|2ZMB|3LIT|4VULN|59TLV|68RCR|7ASPD|aAME
13	36236 15323	   	292.18	DCR|DCR|2TLV|1VULN|1ASPD	1MDPS|2ZMB|3aLIT|4VULN|59TLV|68RCR|7ASPD
14	23121 12354	   	292.10	ACR|3VULN|2TLV|2DMG	19DMG|2RPLT|3AETHUN|4RCR|5FEWX|69aVULN|7DMSP|89TLV|9BPWR
15	36236 15322	   	292.08	DCR|DCR|2TLV|1VULN|1ASPD	1MDPS|2ZMB|3LIT|4VULN|59TLV|68RCR|7ASPD|aERES
16	23124 12354	   	292.00	ACR|3VULN|2TLV|2DMG	19DMG|2RPLT|3AETHUN|4RCR|5DUST|69aVULN|7DMSP|89TLV|9BPWR
17	34236 63321	   	291.66	DCR|DCR|2TLV|1VULN|1DMG	1MDPS|2DMG|3LIT|4VULN|59TLV|6AAC|78RCR|aAME
18	34236 63323	   	291.66	DCR|DCR|2TLV|1VULN|1DMG	1MDPS|2DMG|3aLIT|4VULN|59TLV|6AAC|78RCR
19	32336 43321	   	291.66	DCR|DCR|2TLV|1VULN|1DMG	1MDPS|2AAC|3LIT|4VULN|59TLV|6DMG|78RCR|aAME
20	32336 43323	   	291.66	DCR|DCR|2TLV|1VULN|1DMG	1MDPS|2AAC|3aLIT|4VULN|59TLV|6DMG|78RCR
21	32336 43325	   	291.66	DCR|DCR|2TLV|1VULN|1DMG	1MDPS|2AAC|3LIT|4VULN|59TLV|6DMG|78RCR|aLHND
22	34236 63322	   	291.56	DCR|DCR|2TLV|1VULN|1DMG	1MDPS|2DMG|3LIT|4VULN|59TLV|6AAC|78RCR|aERES
