0	Index      	 *	Score 	Summary	Detail	
1	25162 12224	 * 	305.83	DCR|DCR|3TLV|1VULN|1CDMG	1ERES|258TLV|3RAT|4LWND|6aRCR|7CDMG|9VULN
2	51113 61316	 * 	299.79	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD|1CDMG	1AEBURN|2CDMG|3LWND|49RCR|5RCVC|6VULN|7TLV|8RAT|aASPD
3	25112 12263	   	297.24	DCR|DCR|2TLV|1VULN|2DUR	1ERES|25TLV|3RAT|47DUR|69RCR|8FRZFST|aVULN
4	25112 13163	   	287.99	DCR|DCR|2TLV|1VULN	18ERES|25TLV|3RAT|4DUR|69RCR|7BASICY|aVULN
5	51113 61311	   	286.14	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1AEBURN|2CDMG|3LWND|49RCR|5RCVC|6VULN|7TLV|8RAT|aLHND
6	51113 61312	   	286.14	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1AEBURN|2CDMG|3LWND|49RCR|5RCVC|6VULN|7TLV|8RAT|aBEXP
7	51113 61314	   	286.14	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1AEBURN|2CDMG|3LWND|49RCR|5RCVC|6VULN|7TLV|8RAT|aFEWX
8	52431 62211	   	286.14	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1AEBURN|23LWND|4VULN|59RCR|6RAT|7CDMG|8TLV|aLHND
9	52431 62212	   	286.14	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1AEBURN|23LWND|4VULN|59RCR|6RAT|7CDMG|8TLV|aBEXP
10	52531 62211	   	286.14	ACR|DCR|1TLV|1VULN|1AEPOI|1AEBURN|1CDMG	1AEBURN|2LWND|3AEPOI|4VULN|59RCR|6RAT|7CDMG|8TLV|aLHND
11	52531 62212	   	286.14	ACR|DCR|1TLV|1VULN|1AEPOI|1AEBURN|1CDMG	1AEBURN|2LWND|3AEPOI|4VULN|59RCR|6RAT|7CDMG|8TLV|aBEXP
12	56161 12211	   	286.14	DCR|DCR|1TLV|1VULN|1AEFBLL|1AEBURN|1CDMG	1AEBURN|2VULN|3RAT|4LWND|5AEFBLL|69RCR|7CDMG|8TLV|aLHND
13	56161 12212	   	286.14	DCR|DCR|1TLV|1VULN|1AEFBLL|1AEBURN|1CDMG	1AEBURN|2VULN|3RAT|4LWND|5AEFBLL|69RCR|7CDMG|8TLV|aBEXP
14	56162 12211	   	286.14	DCR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1AEBURN|2VULN|3RAT|4LWND|5RCVC|69RCR|7CDMG|8TLV|aLHND
15	56162 12212	   	286.14	DCR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1AEBURN|2VULN|3RAT|4LWND|5RCVC|69RCR|7CDMG|8TLV|aBEXP
16	51113 61313	   	286.04	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1AEBURN|2CDMG|3LWND|49RCR|5RCVC|6VULN|7TLV|8RAT|aAEWIND
17	52431 62213	   	286.04	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1AEBURN|23LWND|4VULN|59RCR|6RAT|7CDMG|8TLV|aAEWIND
18	52531 62213	   	286.04	ACR|DCR|1TLV|1VULN|1AEPOI|1AEBURN|1CDMG	1AEBURN|2LWND|3AEPOI|4VULN|59RCR|6RAT|7CDMG|8TLV|aAEWIND
19	56161 12213	   	286.04	DCR|DCR|1TLV|1VULN|1AEFBLL|1AEBURN|1CDMG	1AEBURN|2VULN|3RAT|4LWND|5AEFBLL|69RCR|7CDMG|8TLV|aAEWIND
20	56162 12213	   	286.04	DCR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1AEBURN|2VULN|3RAT|4LWND|5RCVC|69RCR|7CDMG|8TLV|aAEWIND
21	21342 16263	   	278.53	DCR|DCR|2TLV|1VULN	1ERES|27LHND|3RAT|45TLV|69RCR|8FRZFST|aVULN
22	25162 11263	   	278.53	DCR|DCR|2TLV|1VULN	1ERES|25TLV|3RAT|47LWND|69RCR|8FRZFST|aVULN
23	22342 15263	   	278.33	DCR|DCR|2TLV|1VULN	1ERES|27DUST|3RAT|45TLV|69RCR|8FRZFST|aVULN
24	36242 14313	 * 	277.89	DCR|3VULN|2TLV	1ZMB|2RAT|3DUR|45TLV|6RCR|7FEWX|89aVULN
25	36242 15313	   	277.79	DCR|3VULN|2TLV	1ZMB|2RAT|3DUR|45TLV|6RCR|7DUST|89aVULN
