0	Index      	 *	Score 	Summary	Detail	
1	32145 32623	 * 	325.47	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN|1CDMG	14TLV|2LIT|3LWND|59RCR|6AEBURN|7VULN|8CDMG|aDMG
2	36222 42623	 * 	318.62	DCR|DCR|2VULN|1TLV|1AEFBLL|1ASPD	1TLV|2LWND|3ASPD|4AEFBLL|59VULN|6LSRHEA|7aRCR|8DUR
3	36222 55323	   	318.62	DCR|DCR|2VULN|1TLV|1AEFBLL|1ASPD	1TLV|2LWND|3ASPD|4AEFBLL|59VULN|6aRCR|7DUR|8VENICY
4	21222 53513	   	317.87	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|2DUR|1ASPD	1aDUR|2DMG|3ASPD|4AEFBLL|5VULN|69RCR|7TLV|8MBVNT
5	32561 12241	   	316.00	DCR|DCR|2VULN|1TLV|1AEFBLL|1CDMG	1TLV|2LIT|36VULN|4RCVC|5RAT|79RCR|8CDMG|aAEFBLL
6	21222 53518	   	315.77	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD	1DUR|2DMG|3ASPD|4AEFBLL|5VULN|69RCR|7TLV|8MBVNT|aZMB
7	34122 41123	   	315.47	DCR|DCR|2VULN|1TLV|1AEFBLL|1DMG	1TLV|26AME|3BEXP|4AEFBLL|56VULN|6BPWR|7aRCR|8DMG|9BASHEA
8	34122 31123	   	315.37	DCR|DCR|2VULN|1TLV|1AEFBLL|1DMG	1TLV|2AME|3BEXP|4AEFBLL|56VULN|7aRCR|8DMG|9BASHEA
9	34222 41123	   	315.37	DCR|DCR|2VULN|1TLV|1AEFBLL|1DMG	1TLV|26AME|3DUST|4AEFBLL|56VULN|6BPWR|7aRCR|8DMG|9BASHEA
10	34222 31123	   	315.27	DCR|DCR|2VULN|1TLV|1AEFBLL|1DMG	1TLV|2AME|3DUST|4AEFBLL|56VULN|7aRCR|8DMG|9BASHEA
11	32245 22623	   	315.07	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	14TLV|2LIT|3DUR|59RCR|6RCVC|7VULN|8CDMG|aDMG
12	32145 32621	   	312.35	ACR|DCR|2TLV|1VULN|1AEBURN|1CDMG	14TLV|2LIT|3LWND|59RCR|6AEBURN|7VULN|8CDMG|aRAT
13	31222 42623	   	311.81	DCR|DCR|2VULN|1TLV|1AEFBLL	1TLV|2ZMB|3DUST|4AEFBLL|59VULN|6LSRHEA|7aRCR|8DUR
14	31522 42623	   	311.81	DCR|DCR|2VULN|1TLV|1AEFBLL	1TLV|2ZMB|3LEGI|4AEFBLL|59VULN|6LSRHEA|7aRCR|8DUR
15	36232 42623	 * 	311.01	DCR|DCR|2VULN|1TLV|2ASPD	1TLV|2LWND|34ASPD|59VULN|6LSRHEA|7aRCR|8DUR
16	36232 55323	   	311.01	DCR|DCR|2VULN|1TLV|2ASPD	1TLV|2LWND|34ASPD|59VULN|6aRCR|7DUR|8VENICY
17	43123 32223	   	311.01	DCR|DCR|2VULN|1TLV|2ASPD	1FEWX|29VULN|3SNITOX|48ASPD|5TLV|6DUR|7aRCR
18	43143 32223	   	311.01	DCR|DCR|2VULN|1TLV|2ASPD	1FEWX|29VULN|3SNITOX|4DUR|5TLV|68ASPD|7aRCR
