0	Index      	 *	Score 	Summary	Detail	
1	36623 34331	 * 	318.62	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	1DUR|2aVULN|3DMG|4TLV|5MDPS|69RCR|7ASPD|8RMIN
2	36623 31331	   	311.91	DCR|DCR|2VULN|1TLV|1DMG	1DUR|2aVULN|3DMG|4TLV|5MDPS|69RCR|7ZMB|8RMIN
3	36623 31431	   	311.91	DCR|DCR|2VULN|1TLV|1DMG	1DUR|2aVULN|3DMG|4TLV|5MDPS|69RCR|7ZMB|8AME
4	36653 31131	   	311.81	DCR|DCR|2VULN|1TLV|1DMG	1DUR|2aVULN|3DMG|4ERES|5MDPS|69RCR|7ZMB|8TLV
5	36623 36331	   	304.97	DCR|DCR|2VULN|1TLV|1DMG	1DUR|2aVULN|3DMG|4TLV|5MDPS|69RCR|7AAC|8RMIN
6	36623 33631	   	304.87	DCR|DCR|2VULN|1TLV|1DMG	1DUR|2aVULN|3DMG|4TLV|5MDPS|69RCR|7ERES|8AAC
7	24133 22414	 * 	303.95	ACR|DCR|1TLV|1VULN|2ASPD|2DUR|1CDMG	1ERES|25DUR|35ASPD|49RCR|5BPWR|6CDMG|7AME|8TLV|aVULN
8	36653 31133	 * 	299.54	DCR|DCR|1TLV|1VULN|2DMG	1DUR|2VULN|3aDMG|4ERES|5MDPS|69RCR|7ZMB|8TLV
9	33221 52641	 * 	299.24	DCR|2TLV|2VULN|2ASPD|1AEBURN|2RAT	1DUR|28ASPD|3MLV|4AEBURN|58TLV|6aVULN|78RAT|8BPWR|9RCR
10	33121 52141	 * 	298.53	DCR|3VULN|1TLV|1DMG|1AEBURN|1ASPD	1DUR|2ASPD|3DMG|4AEBURN|5TLV|68aVULN|7RAT|9RCR
11	36623 33633	   	292.60	DCR|DCR|1TLV|1VULN|2DMG	1DUR|2VULN|3aDMG|4TLV|5MDPS|69RCR|7ERES|8AAC
12	32352 12158	   	291.85	DCR|DCR|2VULN|1TLV	1DUR|2BEXP|34VULN|5CGEN|6RAT|7MBVNT|8aRCR|9TLV
13	32352 36238	   	291.85	DCR|DCR|2VULN|1TLV	1DUR|2BEXP|34VULN|5CGEN|6TLV|7MBVNT|8RAT|9aRCR
14	33111 52141	 * 	290.92	DCR|3VULN|1TLV|2ASPD|1DMG	1DUR|24ASPD|3DMG|5TLV|68aVULN|7RAT|9RCR
15	36623 34333	   	288.77	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1DUR|2VULN|3DMG|4TLV|5MDPS|69RCR|7ASPD|8RMIN|aBEXP
16	33143 33431	   	288.67	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1DUR|2ASPD|3DMG|4BEXP|5MDPS|69RCR|7ERES|8TLV|aVULN
17	36623 34332	   	288.67	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1DUR|2VULN|3DMG|4TLV|5MDPS|69RCR|7ASPD|8RMIN|aERES
