0	Index      	 *	Score 	Summary	Detail	
1	41417 43317	 * 	330.65	ACR|DCR|4VULN|1TLV	1LIT|2MBVNT|348aVULN|56RCR|7DUR|9TLV
2	41417 43117	   	329.66	ACR|DCR|3VULN|1TLV|1AEPOI	1LIT|2MBVNT|34aVULN|56RCR|7DUR|8AEPOI|9TLV
3	53621 13141	 * 	329.49	ACR|3TLV|3VULN|3ASPD	1RCR|2RPLT|39aVULN|4DUR|59aTLV|6ZMB|7FRZARM|89aASPD|9aBPWR
4	53141 31141	   	325.92	ACR|3TLV|3VULN|3ASPD|1DMG	1RCR|2RPLT|39aTLV|4CANARM|59aVULN|6DMG|7LHND|89aASPD|9aBPWR
5	53141 33141	   	325.82	ACR|3TLV|3VULN|3ASPD|1DMG	1RCR|2RPLT|39aTLV|4CANARM|59aVULN|6DMG|7DUST|89aASPD|9aBPWR
6	41417 45212	 * 	322.04	ACR|DCR|2TLV|2VULN|1CDMG	1LIT|2MBVNT|34VULN|56RCR|7ZMB|89TLV|aCDMG
7	41417 43316	   	320.60	ACR|DCR|3VULN|1TLV|1AART	1LIT|2MBVNT|348VULN|56RCR|7DUR|9TLV|aAART
8	53121 13141	   	319.83	ACR|3TLV|3VULN|3ASPD	1RCR|2RPLT|39aTLV|4FEWX|59aVULN|6ZMB|7FRZARM|89aASPD|9aBPWR
9	53631 13141	   	319.83	ACR|3TLV|3VULN|3ASPD	1RCR|2RPLT|39aVULN|4LHND|59aTLV|6ZMB|7FRZARM|89aASPD|9aBPWR
10	53161 13141	   	319.73	ACR|3TLV|3VULN|3ASPD	1RCR|2RPLT|39aTLV|4DUST|59aVULN|6ZMB|7FRZARM|89aASPD|9aBPWR
11	41417 43311	   	316.54	ACR|DCR|3VULN|1TLV	1LIT|2MBVNT|348VULN|56RCR|7DUR|9TLV|aRAT
12	41417 43116	   	315.97	ACR|DCR|2VULN|1TLV|1AEPOI|1AART	1LIT|2MBVNT|34VULN|56RCR|7DUR|8AEPOI|9TLV|aAART
13	41417 44217	 * 	315.30	ACR|DCR|3TLV|2VULN	1aLIT|2MBVNT|34VULN|56RCR|7aAME|89aTLV|aBPWR
14	41437 44217	   	315.20	ACR|DCR|3TLV|2VULN	1aLIT|2MBVNT|3aVULN|4AEWIND|56RCR|7AME|89aTLV|aBPWR
15	41417 44212	   	315.10	ACR|DCR|2TLV|2VULN|1CDMG	1LIT|2MBVNT|34VULN|56RCR|7AME|89TLV|aCDMG
16	41417 44252	   	313.59	ACR|DCR|3VULN|1TLV|1CDMG	1LIT|2MBVNT|349VULN|56RCR|7AME|8TLV|aCDMG
17	41417 43111	   	311.91	ACR|DCR|2VULN|1TLV|1AEPOI	1LIT|2MBVNT|34VULN|56RCR|7DUR|8AEPOI|9TLV|aRAT
18	41547 43311	   	311.91	ACR|DCR|2VULN|1TLV|1AEFBLL	1LIT|2MBVNT|3AEFBLL|48VULN|56RCR|7DUR|9TLV|aRAT
19	41417 44216	   	311.11	ACR|DCR|2TLV|2VULN	1LIT|2MBVNT|34VULN|56RCR|7AME|89TLV|aDUR
20	41417 43313	   	309.60	ACR|DCR|3VULN|1TLV	1LIT|2MBVNT|348VULN|56RCR|7DUR|9TLV|aFRZFST
21	41417 43314	   	309.60	ACR|DCR|3VULN|1TLV	1LIT|2MBVNT|348VULN|56RCR|7DUR|9TLV|aLHND
22	41417 43315	   	309.60	ACR|DCR|3VULN|1TLV	1LIT|2MBVNT|348VULN|56RCR|7DUR|9TLV|aRMIN
23	41417 43318	   	309.60	ACR|DCR|3VULN|1TLV	1LIT|2MBVNT|348VULN|56RCR|7DUR|9TLV|aDMSP
24	41417 43312	   	309.50	ACR|DCR|3VULN|1TLV	1LIT|2MBVNT|348VULN|56RCR|7DUR|9TLV|aMDPS
25	41437 43317	   	309.50	ACR|DCR|3VULN|1TLV	1LIT|2MBVNT|38aVULN|4AEWIND|56RCR|7DUR|9TLV
26	41417 45231	   	309.19	ACR|DCR|2VULN|1TLV|1DMG	1LIT|2MBVNT|34VULN|56RCR|7ZMB|8TLV|9DMG|aRAT
27	41417 45211	   	308.39	ACR|DCR|2TLV|2VULN	1LIT|2MBVNT|34VULN|56RCR|7ZMB|89TLV|aAME
28	41417 45213	   	308.39	ACR|DCR|2TLV|2VULN	1LIT|2MBVNT|34VULN|56RCR|7ZMB|89TLV|aFEWX
29	41417 45214	   	308.39	ACR|DCR|2TLV|2VULN	1LIT|2MBVNT|34VULN|56RCR|7ZMB|89TLV|aLWND
30	53141 31341	   	308.23	ACR|3TLV|3VULN|1DMG|3ZMB	1RCR|2RPLT|39aTLV|4CANARM|59aVULN|6DMG|7LHND|89aZMB|9aBPWR
31	53141 33341	   	308.13	ACR|3TLV|3VULN|1DMG|3ZMB	1RCR|2RPLT|39aTLV|4CANARM|59aVULN|6DMG|7DUST|89aZMB|9aBPWR
32	41417 44417	   	306.88	ACR|DCR|3VULN|1TLV	1LIT|2MBVNT|34aVULN|56RCR|7AME|8ZMB|9TLV
33	41417 44452	   	306.88	ACR|DCR|3VULN|1TLV	1LIT|2MBVNT|349VULN|56RCR|7AME|8ZMB|aTLV
