0	Index      	 *	Score 	Summary	Detail	
1	33216 12364	 * 	305.05	橙橙2易伤1等级2时间1全技能	14时间2核弹34易伤4序列升级5低血量敌人68核7随机矿9全技能a等级
2	32332 66221	   	302.02	橙橙1等级1易伤1伤害1毒气减费	1时间2双倍秒伤3等级4毒气减费5易伤6随机技能7基础对冰8伤害9a核
3	26211 12354	   	295.91	橙橙2易伤1等级1全技能	14挖尘2技能34易伤4序列升级5时间68核7随机矿9全技能a等级
4	23211 12354	   	295.81	橙橙2易伤1等级1全技能	14挖尘2核弹34易伤4序列升级5时间68核7随机矿9全技能a等级
5	33216 12325	   	294.05	橙橙2易伤1等级2时间	14时间2核弹34易伤4序列升级5低血量敌人68核7随机矿9敌人爆炸a等级
6	33216 12334	   	293.95	橙橙2易伤1等级2时间	14时间2核弹34易伤4序列升级5低血量敌人68核7随机矿9导弹对绿a等级
7	33216 12344	   	293.95	橙橙2易伤1等级2时间	14时间2核弹34易伤4序列升级5低血量敌人68核7随机矿9加农对毒a等级
8	31253 12365	 * 	292.70	橙橙1等级1易伤2伤害	1时间2低血量敌人3挖尘45伤害68核7随机矿9易伤a等级
9	22332 66221	   	292.26	橙橙1等级1易伤1伤害1毒气减费	1挖尘2双倍秒伤3等级4毒气减费5易伤6随机技能7基础对冰8伤害9a核
10	32332 24621	   	288.89	橙橙1等级1易伤1毒气减费	1时间2双倍秒伤3等级4毒气减费5易伤6策反7随机技能8加农对壮9a核
11	31334 12365	   	288.77	橙橙1等级1易伤1毒气减费1攻速	1时间2低血量敌人3攻速4挖尘5毒气减费68核7随机矿9易伤a等级
12	26211 12325	   	284.91	橙橙2易伤1等级	14挖尘2技能34易伤4序列升级5时间68核7随机矿9最后敌人a等级
13	23211 12325	   	284.81	橙橙2易伤1等级	14挖尘2核弹34易伤4序列升级5时间68核7随机矿9敌人爆炸a等级
14	23216 12355	   	284.81	橙橙2易伤1等级	14挖尘2核弹34易伤4序列升级5低血量敌人68核7随机矿9时间a等级
15	26211 12343	   	284.81	橙橙2易伤1等级	14挖尘2技能34易伤4序列升级5时间68核7随机矿9加农对毒a等级
16	26211 15313	   	284.81	橙橙2易伤1等级	14挖尘2技能34易伤4序列升级5时间68核7金币生成9核弹a等级
17	23211 12333	   	284.71	橙橙2易伤1等级	14挖尘2核弹34易伤4序列升级5时间68核7随机矿9导弹对绿a等级
18	23211 12343	   	284.71	橙橙2易伤1等级	14挖尘2核弹34易伤4序列升级5时间68核7随机矿9加农对毒a等级
19	21153 12365	   	283.04	橙橙1等级1易伤2伤害	1挖尘2低血量敌人3敌人爆炸45伤害68核7随机矿9易伤a等级
20	46322 23121	   	282.05	橙橙1等级1易伤1伤害	1加农对甲2等级3随机技能4最后敌人5易伤6时间7伤害8低血量敌人9a核
21	46332 43321	   	282.05	橙橙1等级1易伤1伤害	1加农对甲2等级3随机技能4时间5易伤6低血量敌人7伤害8敌人爆炸9a核
22	32312 66221	   	281.95	橙橙1等级1易伤1伤害	1时间2双倍秒伤3等级4双倍矿5易伤6随机技能7基础对冰8伤害9a核
23	46332 53121	   	281.95	橙橙1等级1易伤1伤害	1加农对甲2等级3随机技能4时间5易伤6挖尘7伤害8低血量敌人9a核
24	46352 23121	   	281.95	橙橙1等级1易伤1伤害	1加农对甲2等级3随机技能4挖尘5易伤6时间7伤害8低血量敌人9a核
25	22332 24621	   	279.13	橙橙1等级1易伤1毒气减费	1挖尘2双倍秒伤3等级4毒气减费5易伤6策反7随机技能8加农对壮9a核
26	42532 21631	   	278.90	橙橙1等级1易伤1伤害1暴击	1加农对甲2技能3等级4掉矿5暴击6伤害7雷电减费8a核9易伤
27	13224 12354	   	276.65	橙橙2易伤1等级1挖怪	1技能点2挖怪3a易伤4等级5策反68核7随机矿9时间
28	33215 15336	 * 	275.88	橙橙3易伤3时间	149时间2核弹349易伤49序列升级5雷电减费68核79金币生成a随机技能
29	33253 15336	   	275.88	橙橙3易伤3时间	159时间2核弹359易伤4雷电减费59序列升级68核79金币生成a随机技能
30	26216 12325	   	275.25	橙橙2易伤1等级	14挖尘2技能34易伤4序列升级5低血量敌人68核7随机矿9最后敌人a等级
31	26216 12363	   	275.25	橙橙2易伤1等级	14挖尘2技能34易伤4序列升级5低血量敌人68核7随机矿9技能点a等级
32	23216 12325	   	275.15	橙橙2易伤1等级	14挖尘2核弹34易伤4序列升级5低血量敌人68核7随机矿9敌人爆炸a等级
33	23216 12363	   	275.15	橙橙2易伤1等级	14挖尘2核弹34易伤4序列升级5低血量敌人68核7随机矿9技能点a等级
34	23216 15363	   	275.15	橙橙2易伤1等级	14挖尘2核弹34易伤4序列升级5低血量敌人68核7金币生成9技能点a等级
35	26215 12363	   	275.15	橙橙2易伤1等级	14挖尘2技能34易伤4序列升级5雷电减费68核7随机矿9技能点a等级
36	26216 15313	   	275.15	橙橙2易伤1等级	14挖尘2技能34易伤4序列升级5低血量敌人68核7金币生成9核弹a等级
37	26252 12363	   	275.15	橙橙2易伤1等级	1挖尘2技能35易伤4雷电减费68核7随机矿9技能点a等级
38	26253 12363	   	275.15	橙橙2易伤1等级	15挖尘2技能35易伤4雷电减费5序列升级68核7随机矿9技能点a等级
