0	Index      	 *	Score 	Summary	Detail	
1	32511 41121	 * 	321.83	紫3易伤2等级2伤害1火球减费	1立即金币2核37a易伤4a伤害5火球减费6双倍秒伤8时间9a等级a序列升级
2	32522 51151	   	321.83	紫3易伤2等级2伤害1火球减费	1立即金币2核37a易伤4双倍秒伤5a等级6火球减费8时间9a伤害a序列升级
3	32522 35251	   	312.69	紫3易伤2等级2伤害1攻速	1立即金币2核37a易伤4双倍秒伤5a等级6策反8攻速9a伤害a序列升级
4	32511 41421	   	312.17	紫3易伤2等级2伤害1火球减费	1立即金币2核37a易伤4a伤害5火球减费6双倍秒伤8敌人爆炸9a等级a序列升级
5	32516 41121	   	310.81	紫3易伤2等级2伤害2时间	1立即金币2核37a易伤46伤害5双倍秒伤8a时间9a等级a序列升级
6	36364 23312	 * 	302.35	紫橙2易伤1等级1伤害	1立即金币2技能34易伤58核6雷电7随机技能9伤害a等级
7	52364 23312	   	302.35	紫橙2易伤1等级1伤害	12技能34易伤58核6雷电7随机技能9伤害a等级
8	32516 31121	   	301.67	紫3易伤2等级2伤害	1立即金币2核37a易伤4a伤害5双倍秒伤6风暴减费8时间9a等级a序列升级
9	32511 54221	   	301.13	紫2等级2易伤2伤害1火球减费1攻速	1立即金币2核3a易伤4a伤害5火球减费6技能7双倍秒伤8攻速9a等级a序列升级
10	32522 43631	   	294.48	紫3易伤2等级2烈焰减费1伤害	1立即金币2核38a易伤4双倍秒伤5a等级6伤害7基地爆炸9a烈焰减费a序列升级
11	32555 31121	 * 	292.73	紫2等级2易伤3伤害	1立即金币2核3a易伤4挖尘56a伤害7最后敌人8时间9a等级a序列升级
12	32511 23342	   	292.56	紫橙1等级1易伤1火球减费1伤害	1立即金币28核3易伤4伤害5火球减费6雷电7随机技能9技能a等级
13	32511 23352	   	292.56	紫橙1等级1易伤1火球减费1伤害	1立即金币28核3易伤4伤害5火球减费6雷电7随机技能9技能点a等级
14	32516 31421	   	292.00	紫3易伤2等级2伤害	1立即金币2核37a易伤4a伤害5双倍秒伤6风暴减费8敌人爆炸9a等级a序列升级
